total cycles (32767 Hz), repeat for 10 times: 83 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 225 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 767 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1495 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2937 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 5840 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 11606 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 23177 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 46246 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 167 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 557 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 2050 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 4066 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 8047 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 16058 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 31984 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 63931 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 127634 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 322 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1193 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4496 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 8957 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 17769 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 35500 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 70742 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 141450 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 282413 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 474 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1785 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 6769 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 13510 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 26811 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 53593 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 106802 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 213556 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 426364 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 895 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 28)
