============================ benchmark fir ============================
total cycles (32767 Hz), repeat for 10 times: 89 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 139 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 235 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 431 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 815 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1204 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1783 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2369 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3130 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3908 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 4869 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 5835 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 6988 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 8150 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 9497 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 10846 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 12385 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 13927 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 15659 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 17394 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 19319 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 21248 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 23364 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 25485 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 27790 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 30106 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 32607 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 35115 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 37808 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 40505 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 43391 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 46283 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 49361 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 136 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 234 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 420 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 801 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1548 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 2302 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 3421 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 4551 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 6039 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 7546 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 9412 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 11286 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 13525 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 15779 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 18387 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 21004 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 23995 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 26989 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 30346 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 33717 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 37450 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 41191 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 45298 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 49411 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 53891 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 58378 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 63233 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 68094 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 8)
