total cycles (32767 Hz), repeat for 10 times: 139 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 355 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 1353 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 2474 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 4918 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 9385 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 18720 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 36555 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 73024 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 799 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 2083 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 8206 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 14969 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 29877 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 56884 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 113659 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 221599 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 442995 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 10)
total cycles (32767 Hz), repeat for 10 times: 2371 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 6209 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 24631 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 44935 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 89744 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 170842 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 341458 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 665640 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1330849 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 3896 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 10216 (kernel size: 3, in_channels: 1, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 40551 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 73985 (kernel size: 3, in_channels: 4, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 147781 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 281324 (kernel size: 3, in_channels: 8, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 562300 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1096157 (kernel size: 3, in_channels: 16, out_channels: 32, input size: 20)
