total cycles (32767 Hz), repeat for 10 times: 185 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 362 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 712 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1426 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2831 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 4248 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 6358 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 8470 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 11285 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 14104 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 17622 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 21143 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 25364 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 29594 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 34521 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 39450 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 45076 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 50711 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 57043 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 63380 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 70417 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 77454 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 85192 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 92937 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 101384 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 109829 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 118971 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 128122 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 137974 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 147834 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 158382 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 168941 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 180194 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 557 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1107 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 2174 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 4342 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 8605 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 12906 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 19303 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 25734 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 34257 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 42822 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 53479 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 64176 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 76967 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 89793 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 104708 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 119666 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 136720 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 153811 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 173001 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 192214 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 213518 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 234867 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 258314 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 281797 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 307373 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 332984 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 360701 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 388461 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 418284 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 448153 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 480114 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 512124 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 546254 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 974 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1947 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3785 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 7566 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 14925 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 22391 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 33435 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 44575 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 59301 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 74125 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 92532 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 111034 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 133119 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 155307 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 181074 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 206940 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 12)
