total cycles (32767 Hz), repeat for 10 times: 83 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 131 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 221 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 406 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 765 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1132 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1671 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2217 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2937 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3661 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 4564 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 5473 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 6552 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 7636 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 8897 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 10163 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 11599 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 13051 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 14672 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 16298 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 18097 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 19907 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 21890 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 23873 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 26036 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 28205 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 30545 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 32890 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 35417 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 37941 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 40647 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 43350 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 46237 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 129 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 226 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 407 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 773 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1492 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 2220 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 3302 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 4394 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 5831 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 7277 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 9077 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 10885 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 13047 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 15212 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 17732 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 20262 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 23141 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 26027 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 29271 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 32520 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 36116 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 39724 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 43685 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 47656 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 51973 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 56302 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 60984 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 65672 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 70713 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 75760 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 81156 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 86565 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 92326 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 211 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 386 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 720 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1402 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2735 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 4085 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 6085 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 8102 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 10767 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 13453 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 16781 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 20130 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 24131 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 28147 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 32810 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 37494 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 42827 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 48174 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 54171 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 60192 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 66858 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 73539 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 80871 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 88213 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 96216 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 104231 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 112898 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 121580 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 130909 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 140256 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 150254 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 160264 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 170933 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 325 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 614 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1163 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2291 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4492 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 6721 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 10019 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 13348 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 17747 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 22176 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 27676 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 33202 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 39805 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 46439 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 54135 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 61863 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 70664 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 79491 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 89391 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 99317 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 110316 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 121345 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 133447 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 145571 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 158769 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 171996 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 186294 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 16)
