total cycles (32767 Hz), repeat for 10 times: 276 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 345 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 343 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 475 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 474 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 736 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 734 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 1257 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 1257 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 2297 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 4644 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 4284 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 5327 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 5326 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 7410 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 7410 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 11574 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 11583 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 19915 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 19915 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 36590 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 74152 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 17096 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 21261 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 21262 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 29599 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 29598 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 46272 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 46272 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 79618 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 79618 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 146310 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 296543 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 38443 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 47819 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 47816 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 66571 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 66578 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 104091 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 104092 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 179123 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 179121 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 329163 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 667162 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 68325 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 84992 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 84995 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 118331 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 118340 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 185030 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 185034 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 318409 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 318420 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 585170 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1186036 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 106742 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 132778 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 132784 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 184879 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 184889 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 289083 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 289069 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 497484 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 497502 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 914285 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1853114 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 153693 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 191186 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 191188 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 266201 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 266219 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 416280 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 416273 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 716331 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 716309 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1316465 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2668263 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 209166 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 260199 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 260201 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 362284 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 362321 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 566516 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 566507 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 974877 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 974882 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 1791625 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 3631524 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 32)
