Image 0, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 1, true label: 5, predicted label: 10, accumulative accuracy: 0.5
Image 2, true label: 5, predicted label: 5, accumulative accuracy: 0.6666666666666666
Image 3, true label: 5, predicted label: 5, accumulative accuracy: 0.75
Image 4, true label: 5, predicted label: 5, accumulative accuracy: 0.8
Image 5, true label: 5, predicted label: 5, accumulative accuracy: 0.8333333333333334
Image 6, true label: 5, predicted label: 5, accumulative accuracy: 0.8571428571428571
Image 7, true label: 5, predicted label: 5, accumulative accuracy: 0.875
Image 8, true label: 5, predicted label: 5, accumulative accuracy: 0.8888888888888888
Image 9, true label: 5, predicted label: 5, accumulative accuracy: 0.9
total cycles (32767 Hz): 611413
Image 10, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
Image 11, true label: 5, predicted label: 5, accumulative accuracy: 0.9166666666666666
Image 12, true label: 5, predicted label: 5, accumulative accuracy: 0.9230769230769231
Image 13, true label: 5, predicted label: 5, accumulative accuracy: 0.9285714285714286
Image 14, true label: 5, predicted label: 5, accumulative accuracy: 0.9333333333333333
Image 15, true label: 5, predicted label: 5, accumulative accuracy: 0.9375
Image 16, true label: 5, predicted label: 5, accumulative accuracy: 0.9411764705882353
Image 17, true label: 5, predicted label: 5, accumulative accuracy: 0.9444444444444444
Image 18, true label: 5, predicted label: 5, accumulative accuracy: 0.9473684210526315
Image 19, true label: 5, predicted label: 5, accumulative accuracy: 0.95
total cycles (32767 Hz): 611394
Image 20, true label: 5, predicted label: 5, accumulative accuracy: 0.9523809523809523
Image 21, true label: 5, predicted label: 5, accumulative accuracy: 0.9545454545454546
Image 22, true label: 5, predicted label: 5, accumulative accuracy: 0.9565217391304348
Image 23, true label: 5, predicted label: 5, accumulative accuracy: 0.9583333333333334
Image 24, true label: 5, predicted label: 5, accumulative accuracy: 0.96
Image 25, true label: 5, predicted label: 5, accumulative accuracy: 0.9615384615384616
Image 26, true label: 5, predicted label: 5, accumulative accuracy: 0.9629629629629629
Image 27, true label: 5, predicted label: 5, accumulative accuracy: 0.9642857142857143
Image 28, true label: 5, predicted label: 5, accumulative accuracy: 0.9655172413793104
Image 29, true label: 5, predicted label: 5, accumulative accuracy: 0.9666666666666667
total cycles (32767 Hz): 611433
Image 30, true label: 5, predicted label: 10, accumulative accuracy: 0.9354838709677419
Image 31, true label: 5, predicted label: 5, accumulative accuracy: 0.9375
Image 32, true label: 5, predicted label: 5, accumulative accuracy: 0.9393939393939394
Image 33, true label: 5, predicted label: 5, accumulative accuracy: 0.9411764705882353
Image 34, true label: 5, predicted label: 10, accumulative accuracy: 0.9142857142857143
Image 35, true label: 5, predicted label: 5, accumulative accuracy: 0.9166666666666666
Image 36, true label: 5, predicted label: 5, accumulative accuracy: 0.918918918918919
Image 37, true label: 5, predicted label: 5, accumulative accuracy: 0.9210526315789473
Image 38, true label: 5, predicted label: 5, accumulative accuracy: 0.9230769230769231
Image 39, true label: 5, predicted label: 5, accumulative accuracy: 0.925
total cycles (32767 Hz): 611441
Image 40, true label: 5, predicted label: 5, accumulative accuracy: 0.926829268292683
Image 41, true label: 5, predicted label: 5, accumulative accuracy: 0.9285714285714286
Image 42, true label: 5, predicted label: 5, accumulative accuracy: 0.9302325581395349
Image 43, true label: 5, predicted label: 5, accumulative accuracy: 0.9318181818181818
Image 44, true label: 5, predicted label: 5, accumulative accuracy: 0.9333333333333333
Image 45, true label: 5, predicted label: 5, accumulative accuracy: 0.9347826086956522
Image 46, true label: 5, predicted label: 5, accumulative accuracy: 0.9361702127659575
Image 47, true label: 5, predicted label: 5, accumulative accuracy: 0.9375
Image 48, true label: 5, predicted label: 5, accumulative accuracy: 0.9387755102040817
Image 49, true label: 5, predicted label: 5, accumulative accuracy: 0.94
total cycles (32767 Hz): 611429
Image 50, true label: 5, predicted label: 5, accumulative accuracy: 0.9411764705882353
Image 51, true label: 5, predicted label: 5, accumulative accuracy: 0.9423076923076923
Image 52, true label: 5, predicted label: 5, accumulative accuracy: 0.9433962264150944
Image 53, true label: 5, predicted label: 5, accumulative accuracy: 0.9444444444444444
Image 54, true label: 5, predicted label: 5, accumulative accuracy: 0.9454545454545454
Image 55, true label: 5, predicted label: 5, accumulative accuracy: 0.9464285714285714
Image 56, true label: 5, predicted label: 5, accumulative accuracy: 0.9473684210526315
Image 57, true label: 5, predicted label: 5, accumulative accuracy: 0.9482758620689655
Image 58, true label: 5, predicted label: 5, accumulative accuracy: 0.9491525423728814
Image 59, true label: 5, predicted label: 5, accumulative accuracy: 0.95
total cycles (32767 Hz): 611427
Image 60, true label: 5, predicted label: 5, accumulative accuracy: 0.9508196721311475
Image 61, true label: 5, predicted label: 5, accumulative accuracy: 0.9516129032258065
Image 62, true label: 5, predicted label: 10, accumulative accuracy: 0.9365079365079365
Image 63, true label: 5, predicted label: 5, accumulative accuracy: 0.9375
Image 64, true label: 5, predicted label: 10, accumulative accuracy: 0.9230769230769231
Image 65, true label: 5, predicted label: 5, accumulative accuracy: 0.9242424242424242
Image 66, true label: 5, predicted label: 10, accumulative accuracy: 0.9104477611940298
Image 67, true label: 5, predicted label: 5, accumulative accuracy: 0.9117647058823529
Image 68, true label: 5, predicted label: 5, accumulative accuracy: 0.9130434782608695
Image 69, true label: 5, predicted label: 10, accumulative accuracy: 0.9
total cycles (32767 Hz): 611430
Image 70, true label: 5, predicted label: 5, accumulative accuracy: 0.9014084507042254
Image 71, true label: 5, predicted label: 5, accumulative accuracy: 0.9027777777777778
Image 72, true label: 5, predicted label: 5, accumulative accuracy: 0.9041095890410958
Image 73, true label: 5, predicted label: 5, accumulative accuracy: 0.9054054054054054
Image 74, true label: 5, predicted label: 5, accumulative accuracy: 0.9066666666666666
Image 75, true label: 5, predicted label: 5, accumulative accuracy: 0.9078947368421053
Image 76, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
Image 77, true label: 5, predicted label: 5, accumulative accuracy: 0.9102564102564102
Image 78, true label: 5, predicted label: 5, accumulative accuracy: 0.9113924050632911
Image 79, true label: 5, predicted label: 5, accumulative accuracy: 0.9125
total cycles (32767 Hz): 611409
Image 80, true label: 5, predicted label: 3, accumulative accuracy: 0.9012345679012346
Image 81, true label: 5, predicted label: 5, accumulative accuracy: 0.9024390243902439
Image 82, true label: 5, predicted label: 5, accumulative accuracy: 0.9036144578313253
Image 83, true label: 5, predicted label: 5, accumulative accuracy: 0.9047619047619048
Image 84, true label: 5, predicted label: 5, accumulative accuracy: 0.9058823529411765
Image 85, true label: 5, predicted label: 5, accumulative accuracy: 0.9069767441860465
Image 86, true label: 5, predicted label: 5, accumulative accuracy: 0.9080459770114943
Image 87, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
Image 88, true label: 5, predicted label: 5, accumulative accuracy: 0.9101123595505618
Image 89, true label: 5, predicted label: 5, accumulative accuracy: 0.9111111111111111
total cycles (32767 Hz): 611404
Image 90, true label: 5, predicted label: 10, accumulative accuracy: 0.9010989010989011
Image 91, true label: 5, predicted label: 5, accumulative accuracy: 0.9021739130434783
Image 92, true label: 5, predicted label: 5, accumulative accuracy: 0.9032258064516129
Image 93, true label: 5, predicted label: 5, accumulative accuracy: 0.9042553191489362
Image 94, true label: 5, predicted label: 5, accumulative accuracy: 0.9052631578947369
Image 95, true label: 5, predicted label: 5, accumulative accuracy: 0.90625
Image 96, true label: 5, predicted label: 5, accumulative accuracy: 0.9072164948453608
Image 97, true label: 5, predicted label: 5, accumulative accuracy: 0.9081632653061225
Image 98, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
Image 99, true label: 5, predicted label: 5, accumulative accuracy: 0.91
total cycles (32767 Hz): 611414
Image 100, true label: 5, predicted label: 5, accumulative accuracy: 0.9108910891089109
Image 101, true label: 5, predicted label: 5, accumulative accuracy: 0.9117647058823529
Image 102, true label: 5, predicted label: 10, accumulative accuracy: 0.9029126213592233
Image 103, true label: 5, predicted label: 5, accumulative accuracy: 0.9038461538461539
Image 104, true label: 5, predicted label: 5, accumulative accuracy: 0.9047619047619048
Image 105, true label: 5, predicted label: 5, accumulative accuracy: 0.9056603773584906
Image 106, true label: 5, predicted label: 5, accumulative accuracy: 0.9065420560747663
Image 107, true label: 5, predicted label: 5, accumulative accuracy: 0.9074074074074074
Image 108, true label: 5, predicted label: 5, accumulative accuracy: 0.908256880733945
Image 109, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
total cycles (32767 Hz): 611390
Image 110, true label: 5, predicted label: 5, accumulative accuracy: 0.9099099099099099
Image 111, true label: 5, predicted label: 5, accumulative accuracy: 0.9107142857142857
Image 112, true label: 5, predicted label: 5, accumulative accuracy: 0.911504424778761
Image 113, true label: 5, predicted label: 5, accumulative accuracy: 0.9122807017543859
Image 114, true label: 5, predicted label: 5, accumulative accuracy: 0.9130434782608695
Image 115, true label: 5, predicted label: 5, accumulative accuracy: 0.9137931034482759
Image 116, true label: 5, predicted label: 5, accumulative accuracy: 0.9145299145299145
Image 117, true label: 5, predicted label: 5, accumulative accuracy: 0.9152542372881356
