Image 0, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 1, true label: 5, predicted label: 10, accumulative accuracy: 0.5
Image 2, true label: 5, predicted label: 5, accumulative accuracy: 0.6666666666666666
Image 3, true label: 5, predicted label: 5, accumulative accuracy: 0.75
Image 4, true label: 5, predicted label: 5, accumulative accuracy: 0.8
Image 5, true label: 5, predicted label: 5, accumulative accuracy: 0.8333333333333334
Image 6, true label: 5, predicted label: 5, accumulative accuracy: 0.8571428571428571
Image 7, true label: 5, predicted label: 5, accumulative accuracy: 0.875
Image 8, true label: 5, predicted label: 5, accumulative accuracy: 0.8888888888888888
Image 9, true label: 5, predicted label: 5, accumulative accuracy: 0.9
total cycles (32767 Hz): 11378251
Image 10, true label: 5, predicted label: 5, accumulative accuracy: 0.9090909090909091
Image 11, true label: 5, predicted label: 5, accumulative accuracy: 0.9166666666666666
Image 12, true label: 5, predicted label: 5, accumulative accuracy: 0.9230769230769231
Image 13, true label: 5, predicted label: 5, accumulative accuracy: 0.9285714285714286
Image 14, true label: 5, predicted label: 5, accumulative accuracy: 0.9333333333333333
