Image 0, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 1, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 2, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 3, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 4, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 5, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 6, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 7, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 8, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 9, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499175
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 11, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 12, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 13, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 14, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 15, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 16, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 18, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 19, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499163
Image 20, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 21, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 22, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 23, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 24, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 25, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 26, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 27, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 28, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 29, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499175
Image 30, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 31, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 32, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 33, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 34, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 35, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 36, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 37, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 38, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 39, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499168
Image 40, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 41, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 42, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 43, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 44, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 45, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 46, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 47, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 48, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 49, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499157
Image 50, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 51, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 52, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 53, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 54, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 55, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 56, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 57, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 58, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 59, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499157
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 61, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 62, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 63, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 64, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 65, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 66, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 67, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 68, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 69, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499165
Image 70, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 71, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 72, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 73, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 74, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 75, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 76, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 77, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 78, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 79, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Running LeNet (dma) total cycles (32767 Hz) (CNT=10): 499171
Image 80, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 81, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 82, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 83, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 84, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 85, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 86, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 87, true label: 3, predicted label: 3, accumulative accuracy: 1.0
