Image 0, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 1, true label: 2, predicted label: 1, accumulative accuracy: 0.5
Image 2, true label: 1, predicted label: 4, accumulative accuracy: 0.3333333333333333
Image 3, true label: 0, predicted label: 4, accumulative accuracy: 0.25
Image 4, true label: 4, predicted label: 4, accumulative accuracy: 0.4
Image 5, true label: 1, predicted label: 1, accumulative accuracy: 0.5
Image 6, true label: 4, predicted label: 4, accumulative accuracy: 0.5714285714285714
Image 7, true label: 9, predicted label: 4, accumulative accuracy: 0.5
Image 8, true label: 5, predicted label: 2, accumulative accuracy: 0.4444444444444444
Image 9, true label: 9, predicted label: 7, accumulative accuracy: 0.4
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 0.45454545454545453
Image 11, true label: 6, predicted label: 2, accumulative accuracy: 0.4166666666666667
Image 12, true label: 9, predicted label: 7, accumulative accuracy: 0.38461538461538464
Image 13, true label: 0, predicted label: 0, accumulative accuracy: 0.42857142857142855
Image 14, true label: 1, predicted label: 1, accumulative accuracy: 0.4666666666666667
Image 15, true label: 5, predicted label: 5, accumulative accuracy: 0.5
Image 16, true label: 9, predicted label: 7, accumulative accuracy: 0.47058823529411764
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 0.5
Image 18, true label: 3, predicted label: 5, accumulative accuracy: 0.47368421052631576
Image 19, true label: 4, predicted label: 4, accumulative accuracy: 0.5
Image 20, true label: 9, predicted label: 7, accumulative accuracy: 0.47619047619047616
Image 21, true label: 6, predicted label: 2, accumulative accuracy: 0.45454545454545453
Image 22, true label: 6, predicted label: 2, accumulative accuracy: 0.43478260869565216
Image 23, true label: 5, predicted label: 2, accumulative accuracy: 0.4166666666666667
Image 24, true label: 4, predicted label: 4, accumulative accuracy: 0.44
Image 25, true label: 0, predicted label: 2, accumulative accuracy: 0.4230769230769231
Image 26, true label: 7, predicted label: 7, accumulative accuracy: 0.4444444444444444
Image 27, true label: 4, predicted label: 4, accumulative accuracy: 0.4642857142857143
Image 28, true label: 0, predicted label: 0, accumulative accuracy: 0.4827586206896552
Image 29, true label: 1, predicted label: 1, accumulative accuracy: 0.5
Image 30, true label: 3, predicted label: 5, accumulative accuracy: 0.4838709677419355
Image 31, true label: 1, predicted label: 1, accumulative accuracy: 0.5
Image 32, true label: 3, predicted label: 5, accumulative accuracy: 0.48484848484848486
Image 33, true label: 4, predicted label: 4, accumulative accuracy: 0.5
Image 34, true label: 7, predicted label: 7, accumulative accuracy: 0.5142857142857142
Image 35, true label: 2, predicted label: 2, accumulative accuracy: 0.5277777777777778
Image 36, true label: 7, predicted label: 7, accumulative accuracy: 0.5405405405405406
Image 37, true label: 1, predicted label: 1, accumulative accuracy: 0.5526315789473685
Image 38, true label: 2, predicted label: 5, accumulative accuracy: 0.5384615384615384
Image 39, true label: 1, predicted label: 1, accumulative accuracy: 0.55
Image 40, true label: 1, predicted label: 1, accumulative accuracy: 0.5609756097560976
Image 41, true label: 7, predicted label: 7, accumulative accuracy: 0.5714285714285714
Image 42, true label: 4, predicted label: 4, accumulative accuracy: 0.5813953488372093
Image 43, true label: 2, predicted label: 4, accumulative accuracy: 0.5681818181818182
Image 44, true label: 3, predicted label: 5, accumulative accuracy: 0.5555555555555556
Image 45, true label: 5, predicted label: 2, accumulative accuracy: 0.5434782608695652
Image 46, true label: 1, predicted label: 1, accumulative accuracy: 0.5531914893617021
Image 47, true label: 2, predicted label: 2, accumulative accuracy: 0.5625
Image 48, true label: 4, predicted label: 4, accumulative accuracy: 0.5714285714285714
Image 49, true label: 4, predicted label: 4, accumulative accuracy: 0.58
Image 50, true label: 6, predicted label: 2, accumulative accuracy: 0.5686274509803921
Image 51, true label: 3, predicted label: 5, accumulative accuracy: 0.5576923076923077
Image 52, true label: 5, predicted label: 2, accumulative accuracy: 0.5471698113207547
Image 53, true label: 5, predicted label: 8, accumulative accuracy: 0.5370370370370371
Image 54, true label: 6, predicted label: 2, accumulative accuracy: 0.5272727272727272
Image 55, true label: 0, predicted label: 4, accumulative accuracy: 0.5178571428571429
Image 56, true label: 4, predicted label: 4, accumulative accuracy: 0.5263157894736842
Image 57, true label: 1, predicted label: 1, accumulative accuracy: 0.5344827586206896
Image 58, true label: 9, predicted label: 7, accumulative accuracy: 0.5254237288135594
Image 59, true label: 5, predicted label: 7, accumulative accuracy: 0.5166666666666667
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 0.5245901639344263
Image 61, true label: 8, predicted label: 2, accumulative accuracy: 0.5161290322580645
Image 62, true label: 9, predicted label: 7, accumulative accuracy: 0.5079365079365079
Image 63, true label: 3, predicted label: 2, accumulative accuracy: 0.5
Image 64, true label: 7, predicted label: 7, accumulative accuracy: 0.5076923076923077
