Image 0, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 1, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 2, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 3, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 4, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 5, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 6, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 7, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 8, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 9, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 11, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 12, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 13, true label: 0, predicted label: 0, accumulative accuracy: 1.0
Image 14, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 15, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 16, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Image 18, true label: 3, predicted label: 8, accumulative accuracy: 0.9473684210526315
Image 19, true label: 4, predicted label: 4, accumulative accuracy: 0.95
Image 20, true label: 9, predicted label: 9, accumulative accuracy: 0.9523809523809523
Image 21, true label: 6, predicted label: 6, accumulative accuracy: 0.9545454545454546
Image 22, true label: 6, predicted label: 6, accumulative accuracy: 0.9565217391304348
Image 23, true label: 5, predicted label: 5, accumulative accuracy: 0.9583333333333334
Image 24, true label: 4, predicted label: 4, accumulative accuracy: 0.96
Image 25, true label: 0, predicted label: 0, accumulative accuracy: 0.9615384615384616
Image 26, true label: 7, predicted label: 7, accumulative accuracy: 0.9629629629629629
Image 27, true label: 4, predicted label: 4, accumulative accuracy: 0.9642857142857143
Image 28, true label: 0, predicted label: 0, accumulative accuracy: 0.9655172413793104
Image 29, true label: 1, predicted label: 1, accumulative accuracy: 0.9666666666666667
Image 30, true label: 3, predicted label: 3, accumulative accuracy: 0.967741935483871
Image 31, true label: 1, predicted label: 1, accumulative accuracy: 0.96875
Image 32, true label: 3, predicted label: 3, accumulative accuracy: 0.9696969696969697
Image 33, true label: 4, predicted label: 4, accumulative accuracy: 0.9705882352941176
Image 34, true label: 7, predicted label: 7, accumulative accuracy: 0.9714285714285714
Image 35, true label: 2, predicted label: 2, accumulative accuracy: 0.9722222222222222
Image 36, true label: 7, predicted label: 7, accumulative accuracy: 0.972972972972973
Image 37, true label: 1, predicted label: 1, accumulative accuracy: 0.9736842105263158
Image 38, true label: 2, predicted label: 2, accumulative accuracy: 0.9743589743589743
Image 39, true label: 1, predicted label: 1, accumulative accuracy: 0.975
Image 40, true label: 1, predicted label: 1, accumulative accuracy: 0.975609756097561
Image 41, true label: 7, predicted label: 7, accumulative accuracy: 0.9761904761904762
Image 42, true label: 4, predicted label: 4, accumulative accuracy: 0.9767441860465116
Image 43, true label: 2, predicted label: 2, accumulative accuracy: 0.9772727272727273
Image 44, true label: 3, predicted label: 3, accumulative accuracy: 0.9777777777777777
Image 45, true label: 5, predicted label: 5, accumulative accuracy: 0.9782608695652174
Image 46, true label: 1, predicted label: 1, accumulative accuracy: 0.9787234042553191
Image 47, true label: 2, predicted label: 2, accumulative accuracy: 0.9791666666666666
Image 48, true label: 4, predicted label: 4, accumulative accuracy: 0.9795918367346939
Image 49, true label: 4, predicted label: 4, accumulative accuracy: 0.98
Image 50, true label: 6, predicted label: 6, accumulative accuracy: 0.9803921568627451
Image 51, true label: 3, predicted label: 3, accumulative accuracy: 0.9807692307692307
Image 52, true label: 5, predicted label: 5, accumulative accuracy: 0.9811320754716981
Image 53, true label: 5, predicted label: 5, accumulative accuracy: 0.9814814814814815
Image 54, true label: 6, predicted label: 6, accumulative accuracy: 0.9818181818181818
Image 55, true label: 0, predicted label: 0, accumulative accuracy: 0.9821428571428571
Image 56, true label: 4, predicted label: 4, accumulative accuracy: 0.9824561403508771
Image 57, true label: 1, predicted label: 1, accumulative accuracy: 0.9827586206896551
Image 58, true label: 9, predicted label: 9, accumulative accuracy: 0.9830508474576272
Image 59, true label: 5, predicted label: 5, accumulative accuracy: 0.9833333333333333
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 0.9836065573770492
Image 61, true label: 8, predicted label: 8, accumulative accuracy: 0.9838709677419355
Image 62, true label: 9, predicted label: 9, accumulative accuracy: 0.9841269841269841
Image 63, true label: 3, predicted label: 3, accumulative accuracy: 0.984375
Image 64, true label: 7, predicted label: 7, accumulative accuracy: 0.9846153846153847
Image 65, true label: 4, predicted label: 4, accumulative accuracy: 0.9848484848484849
Image 66, true label: 6, predicted label: 6, accumulative accuracy: 0.9850746268656716
Image 67, true label: 4, predicted label: 4, accumulative accuracy: 0.9852941176470589
Image 68, true label: 3, predicted label: 3, accumulative accuracy: 0.9855072463768116
Image 69, true label: 0, predicted label: 0, accumulative accuracy: 0.9857142857142858
Image 70, true label: 7, predicted label: 7, accumulative accuracy: 0.9859154929577465
Image 71, true label: 0, predicted label: 0, accumulative accuracy: 0.9861111111111112
Image 72, true label: 2, predicted label: 2, accumulative accuracy: 0.9863013698630136
Image 73, true label: 9, predicted label: 9, accumulative accuracy: 0.9864864864864865
Image 74, true label: 1, predicted label: 1, accumulative accuracy: 0.9866666666666667
Image 75, true label: 7, predicted label: 7, accumulative accuracy: 0.9868421052631579
Image 76, true label: 3, predicted label: 3, accumulative accuracy: 0.987012987012987
Image 77, true label: 2, predicted label: 2, accumulative accuracy: 0.9871794871794872
Image 78, true label: 9, predicted label: 9, accumulative accuracy: 0.9873417721518988
Image 79, true label: 7, predicted label: 7, accumulative accuracy: 0.9875
Image 80, true label: 7, predicted label: 7, accumulative accuracy: 0.9876543209876543
Image 81, true label: 6, predicted label: 6, accumulative accuracy: 0.9878048780487805
Image 82, true label: 2, predicted label: 2, accumulative accuracy: 0.9879518072289156
Image 83, true label: 7, predicted label: 7, accumulative accuracy: 0.9880952380952381
Image 84, true label: 8, predicted label: 8, accumulative accuracy: 0.9882352941176471
Image 85, true label: 4, predicted label: 4, accumulative accuracy: 0.9883720930232558
