Image 0, true label: 7, predicted label: 9, accumulative accuracy: 0.0
Image 1, true label: 2, predicted label: 9, accumulative accuracy: 0.0
Image 2, true label: 1, predicted label: 9, accumulative accuracy: 0.0
Image 3, true label: 0, predicted label: 9, accumulative accuracy: 0.0
Image 4, true label: 4, predicted label: 9, accumulative accuracy: 0.0
Image 5, true label: 1, predicted label: 9, accumulative accuracy: 0.0
Image 6, true label: 4, predicted label: 9, accumulative accuracy: 0.0
Image 7, true label: 9, predicted label: 9, accumulative accuracy: 0.125
Image 8, true label: 5, predicted label: 9, accumulative accuracy: 0.1111111111111111
Image 9, true label: 9, predicted label: 9, accumulative accuracy: 0.2
Image 10, true label: 0, predicted label: 9, accumulative accuracy: 0.18181818181818182
Image 11, true label: 6, predicted label: 9, accumulative accuracy: 0.16666666666666666
Image 12, true label: 9, predicted label: 9, accumulative accuracy: 0.23076923076923078
Image 13, true label: 0, predicted label: 9, accumulative accuracy: 0.21428571428571427
Image 14, true label: 1, predicted label: 9, accumulative accuracy: 0.2
Image 15, true label: 5, predicted label: 9, accumulative accuracy: 0.1875
Image 16, true label: 9, predicted label: 9, accumulative accuracy: 0.23529411764705882
Image 17, true label: 7, predicted label: 9, accumulative accuracy: 0.2222222222222222
Image 18, true label: 3, predicted label: 9, accumulative accuracy: 0.21052631578947367
Image 19, true label: 4, predicted label: 9, accumulative accuracy: 0.2
Image 20, true label: 9, predicted label: 9, accumulative accuracy: 0.23809523809523808
Image 21, true label: 6, predicted label: 9, accumulative accuracy: 0.22727272727272727
Image 22, true label: 6, predicted label: 9, accumulative accuracy: 0.21739130434782608
Image 23, true label: 5, predicted label: 9, accumulative accuracy: 0.20833333333333334
Image 24, true label: 4, predicted label: 9, accumulative accuracy: 0.2
Image 25, true label: 0, predicted label: 9, accumulative accuracy: 0.19230769230769232
Image 26, true label: 7, predicted label: 9, accumulative accuracy: 0.18518518518518517
Image 27, true label: 4, predicted label: 9, accumulative accuracy: 0.17857142857142858
Image 28, true label: 0, predicted label: 9, accumulative accuracy: 0.1724137931034483
Image 29, true label: 1, predicted label: 9, accumulative accuracy: 0.16666666666666666
Image 30, true label: 3, predicted label: 9, accumulative accuracy: 0.16129032258064516
Image 31, true label: 1, predicted label: 9, accumulative accuracy: 0.15625
Image 32, true label: 3, predicted label: 9, accumulative accuracy: 0.15151515151515152
Image 33, true label: 4, predicted label: 9, accumulative accuracy: 0.14705882352941177
Image 34, true label: 7, predicted label: 9, accumulative accuracy: 0.14285714285714285
Image 35, true label: 2, predicted label: 9, accumulative accuracy: 0.1388888888888889
Image 36, true label: 7, predicted label: 9, accumulative accuracy: 0.13513513513513514
Image 37, true label: 1, predicted label: 9, accumulative accuracy: 0.13157894736842105
Image 38, true label: 2, predicted label: 9, accumulative accuracy: 0.1282051282051282
Image 39, true label: 1, predicted label: 9, accumulative accuracy: 0.125
Image 40, true label: 1, predicted label: 9, accumulative accuracy: 0.12195121951219512
Image 41, true label: 7, predicted label: 9, accumulative accuracy: 0.11904761904761904
Image 42, true label: 4, predicted label: 9, accumulative accuracy: 0.11627906976744186
Image 43, true label: 2, predicted label: 9, accumulative accuracy: 0.11363636363636363
Image 44, true label: 3, predicted label: 9, accumulative accuracy: 0.1111111111111111
Image 45, true label: 5, predicted label: 9, accumulative accuracy: 0.10869565217391304
Image 46, true label: 1, predicted label: 9, accumulative accuracy: 0.10638297872340426
Image 47, true label: 2, predicted label: 9, accumulative accuracy: 0.10416666666666667
Image 48, true label: 4, predicted label: 9, accumulative accuracy: 0.10204081632653061
Image 49, true label: 4, predicted label: 9, accumulative accuracy: 0.1
Image 50, true label: 6, predicted label: 9, accumulative accuracy: 0.09803921568627451
Image 51, true label: 3, predicted label: 9, accumulative accuracy: 0.09615384615384616
Image 52, true label: 5, predicted label: 9, accumulative accuracy: 0.09433962264150944
Image 53, true label: 5, predicted label: 9, accumulative accuracy: 0.09259259259259259
Image 54, true label: 6, predicted label: 9, accumulative accuracy: 0.09090909090909091
Image 55, true label: 0, predicted label: 9, accumulative accuracy: 0.08928571428571429
Image 56, true label: 4, predicted label: 9, accumulative accuracy: 0.08771929824561403
Image 57, true label: 1, predicted label: 9, accumulative accuracy: 0.08620689655172414
Image 58, true label: 9, predicted label: 9, accumulative accuracy: 0.1016949152542373
Image 59, true label: 5, predicted label: 9, accumulative accuracy: 0.1
Image 60, true label: 7, predicted label: 9, accumulative accuracy: 0.09836065573770492
Image 61, true label: 8, predicted label: 9, accumulative accuracy: 0.0967741935483871
Image 62, true label: 9, predicted label: 9, accumulative accuracy: 0.1111111111111111
