Image 0, true label: 0, predicted label: 1, accumulative accuracy: 0.0
Image 1, true label: 0, predicted label: 0, accumulative accuracy: 0.5
Image 2, true label: 0, predicted label: 1, accumulative accuracy: 0.3333333333333333
Image 3, true label: 1, predicted label: 1, accumulative accuracy: 0.5
Image 4, true label: 0, predicted label: 0, accumulative accuracy: 0.6
Image 5, true label: 0, predicted label: 0, accumulative accuracy: 0.6666666666666666
Image 6, true label: 0, predicted label: 0, accumulative accuracy: 0.7142857142857143
Image 7, true label: 1, predicted label: 1, accumulative accuracy: 0.75
Image 8, true label: 0, predicted label: 0, accumulative accuracy: 0.7777777777777778
Image 9, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 302286
Image 10, true label: 1, predicted label: 0, accumulative accuracy: 0.7272727272727273
Image 11, true label: 0, predicted label: 0, accumulative accuracy: 0.75
Image 12, true label: 0, predicted label: 0, accumulative accuracy: 0.7692307692307693
Image 13, true label: 1, predicted label: 1, accumulative accuracy: 0.7857142857142857
Image 14, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Image 15, true label: 1, predicted label: 0, accumulative accuracy: 0.75
Image 16, true label: 0, predicted label: 0, accumulative accuracy: 0.7647058823529411
Image 17, true label: 0, predicted label: 0, accumulative accuracy: 0.7777777777777778
Image 18, true label: 1, predicted label: 1, accumulative accuracy: 0.7894736842105263
Image 19, true label: 1, predicted label: 0, accumulative accuracy: 0.75
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 302532
Image 20, true label: 0, predicted label: 0, accumulative accuracy: 0.7619047619047619
Image 21, true label: 0, predicted label: 0, accumulative accuracy: 0.7727272727272727
Image 22, true label: 1, predicted label: 1, accumulative accuracy: 0.782608695652174
Image 23, true label: 0, predicted label: 0, accumulative accuracy: 0.7916666666666666
Image 24, true label: 1, predicted label: 1, accumulative accuracy: 0.8
Image 25, true label: 0, predicted label: 0, accumulative accuracy: 0.8076923076923077
Image 26, true label: 0, predicted label: 0, accumulative accuracy: 0.8148148148148148
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.8214285714285714
Image 28, true label: 1, predicted label: 0, accumulative accuracy: 0.7931034482758621
Image 29, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 302181
Image 30, true label: 1, predicted label: 1, accumulative accuracy: 0.8064516129032258
Image 31, true label: 1, predicted label: 1, accumulative accuracy: 0.8125
Image 32, true label: 1, predicted label: 1, accumulative accuracy: 0.8181818181818182
Image 33, true label: 0, predicted label: 1, accumulative accuracy: 0.7941176470588235
Image 34, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Image 35, true label: 1, predicted label: 1, accumulative accuracy: 0.8055555555555556
