Image 0, true label: 0, predicted label: 1, accumulative accuracy: 0.0
Image 1, true label: 0, predicted label: 0, accumulative accuracy: 0.5
Image 2, true label: 0, predicted label: 0, accumulative accuracy: 0.6666666666666666
Image 3, true label: 1, predicted label: 1, accumulative accuracy: 0.75
Image 4, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Image 5, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Image 6, true label: 0, predicted label: 0, accumulative accuracy: 0.8571428571428571
Image 7, true label: 1, predicted label: 1, accumulative accuracy: 0.875
Image 8, true label: 0, predicted label: 0, accumulative accuracy: 0.8888888888888888
Image 9, true label: 0, predicted label: 0, accumulative accuracy: 0.9
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529692
Image 10, true label: 1, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 11, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Image 12, true label: 0, predicted label: 0, accumulative accuracy: 0.8461538461538461
Image 13, true label: 1, predicted label: 1, accumulative accuracy: 0.8571428571428571
Image 14, true label: 0, predicted label: 0, accumulative accuracy: 0.8666666666666667
Image 15, true label: 1, predicted label: 0, accumulative accuracy: 0.8125
Image 16, true label: 0, predicted label: 0, accumulative accuracy: 0.8235294117647058
Image 17, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Image 18, true label: 1, predicted label: 1, accumulative accuracy: 0.8421052631578947
Image 19, true label: 1, predicted label: 0, accumulative accuracy: 0.8
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529904
Image 20, true label: 0, predicted label: 0, accumulative accuracy: 0.8095238095238095
Image 21, true label: 0, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 22, true label: 1, predicted label: 1, accumulative accuracy: 0.8260869565217391
Image 23, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Image 24, true label: 1, predicted label: 1, accumulative accuracy: 0.84
Image 25, true label: 0, predicted label: 0, accumulative accuracy: 0.8461538461538461
Image 26, true label: 0, predicted label: 0, accumulative accuracy: 0.8518518518518519
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.8571428571428571
Image 28, true label: 1, predicted label: 0, accumulative accuracy: 0.8275862068965517
Image 29, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529544
Image 30, true label: 1, predicted label: 1, accumulative accuracy: 0.8387096774193549
Image 31, true label: 1, predicted label: 1, accumulative accuracy: 0.84375
Image 32, true label: 1, predicted label: 1, accumulative accuracy: 0.8484848484848485
Image 33, true label: 0, predicted label: 1, accumulative accuracy: 0.8235294117647058
Image 34, true label: 0, predicted label: 0, accumulative accuracy: 0.8285714285714286
Image 35, true label: 1, predicted label: 1, accumulative accuracy: 0.8333333333333334
Image 36, true label: 1, predicted label: 1, accumulative accuracy: 0.8378378378378378
Image 37, true label: 0, predicted label: 0, accumulative accuracy: 0.8421052631578947
Image 38, true label: 1, predicted label: 0, accumulative accuracy: 0.8205128205128205
Image 39, true label: 1, predicted label: 1, accumulative accuracy: 0.825
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529773
Image 40, true label: 0, predicted label: 0, accumulative accuracy: 0.8292682926829268
Image 41, true label: 1, predicted label: 1, accumulative accuracy: 0.8333333333333334
Image 42, true label: 1, predicted label: 0, accumulative accuracy: 0.813953488372093
Image 43, true label: 0, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 44, true label: 0, predicted label: 0, accumulative accuracy: 0.8222222222222222
Image 45, true label: 0, predicted label: 0, accumulative accuracy: 0.8260869565217391
Image 46, true label: 0, predicted label: 0, accumulative accuracy: 0.8297872340425532
Image 47, true label: 1, predicted label: 1, accumulative accuracy: 0.8333333333333334
Image 48, true label: 0, predicted label: 0, accumulative accuracy: 0.8367346938775511
Image 49, true label: 0, predicted label: 0, accumulative accuracy: 0.84
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529612
Image 50, true label: 1, predicted label: 0, accumulative accuracy: 0.8235294117647058
Image 51, true label: 1, predicted label: 1, accumulative accuracy: 0.8269230769230769
Image 52, true label: 0, predicted label: 0, accumulative accuracy: 0.8301886792452831
Image 53, true label: 1, predicted label: 1, accumulative accuracy: 0.8333333333333334
Image 54, true label: 0, predicted label: 1, accumulative accuracy: 0.8181818181818182
Image 55, true label: 1, predicted label: 0, accumulative accuracy: 0.8035714285714286
Image 56, true label: 1, predicted label: 1, accumulative accuracy: 0.8070175438596491
Image 57, true label: 0, predicted label: 0, accumulative accuracy: 0.8103448275862069
Image 58, true label: 0, predicted label: 0, accumulative accuracy: 0.8135593220338984
Image 59, true label: 0, predicted label: 0, accumulative accuracy: 0.8166666666666667
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529822
Image 60, true label: 1, predicted label: 1, accumulative accuracy: 0.819672131147541
Image 61, true label: 1, predicted label: 1, accumulative accuracy: 0.8225806451612904
Image 62, true label: 0, predicted label: 0, accumulative accuracy: 0.8253968253968254
Image 63, true label: 0, predicted label: 0, accumulative accuracy: 0.828125
Image 64, true label: 0, predicted label: 0, accumulative accuracy: 0.8307692307692308
Image 65, true label: 1, predicted label: 1, accumulative accuracy: 0.8333333333333334
Image 66, true label: 1, predicted label: 1, accumulative accuracy: 0.835820895522388
Image 67, true label: 1, predicted label: 1, accumulative accuracy: 0.8382352941176471
Image 68, true label: 1, predicted label: 0, accumulative accuracy: 0.8260869565217391
Image 69, true label: 1, predicted label: 1, accumulative accuracy: 0.8285714285714286
Running MobileNetV2 (dma_lea_opt_adaptive_buffer_mem_batched) total cycles (32767 Hz) (CNT=10): 529805
Image 70, true label: 1, predicted label: 1, accumulative accuracy: 0.8309859154929577
Image 71, true label: 0, predicted label: 0, accumulative accuracy: 0.8333333333333334
Image 72, true label: 0, predicted label: 0, accumulative accuracy: 0.8356164383561644
Image 73, true label: 0, predicted label: 0, accumulative accuracy: 0.8378378378378378
Image 74, true label: 0, predicted label: 0, accumulative accuracy: 0.84
Image 75, true label: 0, predicted label: 1, accumulative accuracy: 0.8289473684210527
