Image 0, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 1, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 2, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 3, true label: 0, predicted label: 8, accumulative accuracy: 0.75
Image 4, true label: 6, predicted label: 6, accumulative accuracy: 0.8
Image 5, true label: 6, predicted label: 6, accumulative accuracy: 0.8333333333333334
Image 6, true label: 1, predicted label: 1, accumulative accuracy: 0.8571428571428571
Image 7, true label: 6, predicted label: 4, accumulative accuracy: 0.75
Image 8, true label: 3, predicted label: 3, accumulative accuracy: 0.7777777777777778
Image 9, true label: 1, predicted label: 1, accumulative accuracy: 0.8
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711990
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 11, true label: 9, predicted label: 9, accumulative accuracy: 0.8333333333333334
Image 12, true label: 5, predicted label: 5, accumulative accuracy: 0.8461538461538461
Image 13, true label: 7, predicted label: 7, accumulative accuracy: 0.8571428571428571
Image 14, true label: 9, predicted label: 9, accumulative accuracy: 0.8666666666666667
Image 15, true label: 8, predicted label: 8, accumulative accuracy: 0.875
Image 16, true label: 5, predicted label: 5, accumulative accuracy: 0.8823529411764706
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 0.8888888888888888
Image 18, true label: 8, predicted label: 8, accumulative accuracy: 0.8947368421052632
Image 19, true label: 6, predicted label: 6, accumulative accuracy: 0.9
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 712014
Image 20, true label: 7, predicted label: 7, accumulative accuracy: 0.9047619047619048
Image 21, true label: 0, predicted label: 0, accumulative accuracy: 0.9090909090909091
Image 22, true label: 4, predicted label: 4, accumulative accuracy: 0.9130434782608695
Image 23, true label: 9, predicted label: 9, accumulative accuracy: 0.9166666666666666
Image 24, true label: 5, predicted label: 4, accumulative accuracy: 0.88
Image 25, true label: 2, predicted label: 3, accumulative accuracy: 0.8461538461538461
Image 26, true label: 4, predicted label: 3, accumulative accuracy: 0.8148148148148148
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.8214285714285714
Image 28, true label: 9, predicted label: 9, accumulative accuracy: 0.8275862068965517
Image 29, true label: 6, predicted label: 6, accumulative accuracy: 0.8333333333333334
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711992
Image 30, true label: 6, predicted label: 6, accumulative accuracy: 0.8387096774193549
Image 31, true label: 5, predicted label: 5, accumulative accuracy: 0.84375
Image 32, true label: 4, predicted label: 4, accumulative accuracy: 0.8484848484848485
Image 33, true label: 5, predicted label: 5, accumulative accuracy: 0.8529411764705882
Image 34, true label: 9, predicted label: 9, accumulative accuracy: 0.8571428571428571
Image 35, true label: 2, predicted label: 3, accumulative accuracy: 0.8333333333333334
Image 36, true label: 4, predicted label: 4, accumulative accuracy: 0.8378378378378378
Image 37, true label: 1, predicted label: 1, accumulative accuracy: 0.8421052631578947
Image 38, true label: 9, predicted label: 9, accumulative accuracy: 0.8461538461538461
Image 39, true label: 5, predicted label: 5, accumulative accuracy: 0.85
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711941
Image 40, true label: 4, predicted label: 4, accumulative accuracy: 0.8536585365853658
Image 41, true label: 6, predicted label: 6, accumulative accuracy: 0.8571428571428571
Image 42, true label: 5, predicted label: 3, accumulative accuracy: 0.8372093023255814
Image 43, true label: 6, predicted label: 6, accumulative accuracy: 0.8409090909090909
Image 44, true label: 0, predicted label: 0, accumulative accuracy: 0.8444444444444444
Image 45, true label: 9, predicted label: 9, accumulative accuracy: 0.8478260869565217
Image 46, true label: 3, predicted label: 3, accumulative accuracy: 0.851063829787234
Image 47, true label: 9, predicted label: 9, accumulative accuracy: 0.8541666666666666
Image 48, true label: 7, predicted label: 7, accumulative accuracy: 0.8571428571428571
Image 49, true label: 6, predicted label: 2, accumulative accuracy: 0.84
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711978
Image 50, true label: 9, predicted label: 9, accumulative accuracy: 0.8431372549019608
Image 51, true label: 8, predicted label: 8, accumulative accuracy: 0.8461538461538461
Image 52, true label: 0, predicted label: 7, accumulative accuracy: 0.8301886792452831
Image 53, true label: 3, predicted label: 5, accumulative accuracy: 0.8148148148148148
Image 54, true label: 8, predicted label: 8, accumulative accuracy: 0.8181818181818182
Image 55, true label: 8, predicted label: 8, accumulative accuracy: 0.8214285714285714
Image 56, true label: 7, predicted label: 7, accumulative accuracy: 0.8245614035087719
Image 57, true label: 7, predicted label: 3, accumulative accuracy: 0.8103448275862069
Image 58, true label: 4, predicted label: 3, accumulative accuracy: 0.7966101694915254
Image 59, true label: 6, predicted label: 3, accumulative accuracy: 0.7833333333333333
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711923
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 0.7868852459016393
Image 61, true label: 3, predicted label: 5, accumulative accuracy: 0.7741935483870968
Image 62, true label: 6, predicted label: 6, accumulative accuracy: 0.7777777777777778
Image 63, true label: 3, predicted label: 3, accumulative accuracy: 0.78125
Image 64, true label: 6, predicted label: 6, accumulative accuracy: 0.7846153846153846
Image 65, true label: 2, predicted label: 2, accumulative accuracy: 0.7878787878787878
Image 66, true label: 1, predicted label: 1, accumulative accuracy: 0.7910447761194029
Image 67, true label: 2, predicted label: 2, accumulative accuracy: 0.7941176470588235
Image 68, true label: 3, predicted label: 5, accumulative accuracy: 0.782608695652174
Image 69, true label: 7, predicted label: 7, accumulative accuracy: 0.7857142857142857
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711993
Image 70, true label: 2, predicted label: 2, accumulative accuracy: 0.7887323943661971
Image 71, true label: 6, predicted label: 6, accumulative accuracy: 0.7916666666666666
Image 72, true label: 8, predicted label: 8, accumulative accuracy: 0.7945205479452054
Image 73, true label: 8, predicted label: 8, accumulative accuracy: 0.7972972972972973
Image 74, true label: 0, predicted label: 0, accumulative accuracy: 0.8
Image 75, true label: 2, predicted label: 2, accumulative accuracy: 0.8026315789473685
Image 76, true label: 9, predicted label: 9, accumulative accuracy: 0.8051948051948052
Image 77, true label: 3, predicted label: 3, accumulative accuracy: 0.8076923076923077
Image 78, true label: 3, predicted label: 5, accumulative accuracy: 0.7974683544303798
Image 79, true label: 8, predicted label: 8, accumulative accuracy: 0.8
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711922
Image 80, true label: 8, predicted label: 8, accumulative accuracy: 0.8024691358024691
Image 81, true label: 1, predicted label: 1, accumulative accuracy: 0.8048780487804879
Image 82, true label: 1, predicted label: 1, accumulative accuracy: 0.8072289156626506
Image 83, true label: 7, predicted label: 7, accumulative accuracy: 0.8095238095238095
Image 84, true label: 2, predicted label: 2, accumulative accuracy: 0.8117647058823529
Image 85, true label: 5, predicted label: 9, accumulative accuracy: 0.8023255813953488
Image 86, true label: 2, predicted label: 2, accumulative accuracy: 0.8045977011494253
Image 87, true label: 7, predicted label: 7, accumulative accuracy: 0.8068181818181818
Image 88, true label: 8, predicted label: 8, accumulative accuracy: 0.8089887640449438
Image 89, true label: 9, predicted label: 9, accumulative accuracy: 0.8111111111111111
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711956
Image 90, true label: 0, predicted label: 0, accumulative accuracy: 0.8131868131868132
Image 91, true label: 3, predicted label: 3, accumulative accuracy: 0.8152173913043478
Image 92, true label: 8, predicted label: 8, accumulative accuracy: 0.8172043010752689
Image 93, true label: 6, predicted label: 6, accumulative accuracy: 0.8191489361702128
Image 94, true label: 4, predicted label: 4, accumulative accuracy: 0.8210526315789474
Image 95, true label: 6, predicted label: 3, accumulative accuracy: 0.8125
Image 96, true label: 6, predicted label: 6, accumulative accuracy: 0.8144329896907216
Image 97, true label: 0, predicted label: 0, accumulative accuracy: 0.8163265306122449
Image 98, true label: 0, predicted label: 0, accumulative accuracy: 0.8181818181818182
Image 99, true label: 7, predicted label: 7, accumulative accuracy: 0.82
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711999
Image 100, true label: 4, predicted label: 7, accumulative accuracy: 0.8118811881188119
Image 101, true label: 5, predicted label: 5, accumulative accuracy: 0.8137254901960784
Image 102, true label: 6, predicted label: 6, accumulative accuracy: 0.8155339805825242
Image 103, true label: 3, predicted label: 3, accumulative accuracy: 0.8173076923076923
Image 104, true label: 1, predicted label: 1, accumulative accuracy: 0.819047619047619
Image 105, true label: 1, predicted label: 1, accumulative accuracy: 0.8207547169811321
Image 106, true label: 3, predicted label: 2, accumulative accuracy: 0.8130841121495327
Image 107, true label: 6, predicted label: 6, accumulative accuracy: 0.8148148148148148
Image 108, true label: 8, predicted label: 8, accumulative accuracy: 0.8165137614678899
Image 109, true label: 7, predicted label: 7, accumulative accuracy: 0.8181818181818182
Running ResNet3 (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 711983
Image 110, true label: 4, predicted label: 4, accumulative accuracy: 0.8198198198198198
