Image 0, true label: 3, predicted label: 4, accumulative accuracy: 0.0
Image 1, true label: 8, predicted label: 9, accumulative accuracy: 0.0
Image 2, true label: 8, predicted label: 0, accumulative accuracy: 0.0
Image 3, true label: 0, predicted label: 1, accumulative accuracy: 0.0
Image 4, true label: 6, predicted label: 5, accumulative accuracy: 0.0
Image 5, true label: 6, predicted label: 9, accumulative accuracy: 0.0
Image 6, true label: 1, predicted label: 5, accumulative accuracy: 0.0
Image 7, true label: 6, predicted label: 7, accumulative accuracy: 0.0
Image 8, true label: 3, predicted label: 7, accumulative accuracy: 0.0
Image 9, true label: 1, predicted label: 1, accumulative accuracy: 0.1
Image 10, true label: 0, predicted label: 9, accumulative accuracy: 0.09090909090909091
Image 11, true label: 9, predicted label: 3, accumulative accuracy: 0.08333333333333333
Image 12, true label: 5, predicted label: 4, accumulative accuracy: 0.07692307692307693
Image 13, true label: 7, predicted label: 7, accumulative accuracy: 0.14285714285714285
Image 14, true label: 9, predicted label: 9, accumulative accuracy: 0.2
Image 15, true label: 8, predicted label: 9, accumulative accuracy: 0.1875
Image 16, true label: 5, predicted label: 0, accumulative accuracy: 0.17647058823529413
Image 17, true label: 7, predicted label: 3, accumulative accuracy: 0.16666666666666666
Image 18, true label: 8, predicted label: 0, accumulative accuracy: 0.15789473684210525
