Image 0, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 1, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 2, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 3, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 4, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 5, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 6, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 7, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 8, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 9, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Running DS_CNN (dma_lea_opt_adaptive_buffer_mem) total cycles (32767 Hz) (CNT=10): 5141198
Image 10, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 11, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 12, true label: 10, predicted label: 10, accumulative accuracy: 1.0
Image 13, true label: 10, predicted label: 5, accumulative accuracy: 0.9285714285714286
Image 14, true label: 10, predicted label: 10, accumulative accuracy: 0.9333333333333333
Image 15, true label: 10, predicted label: 10, accumulative accuracy: 0.9375
Image 16, true label: 10, predicted label: 10, accumulative accuracy: 0.9411764705882353
Image 17, true label: 10, predicted label: 10, accumulative accuracy: 0.9444444444444444
Image 18, true label: 10, predicted label: 10, accumulative accuracy: 0.9473684210526315
Image 19, true label: 10, predicted label: 10, accumulative accuracy: 0.95
Running DS_CNN (dma_lea_opt_adaptive_buffer_mem) total cycles (32767 Hz) (CNT=10): 5141391
Image 20, true label: 10, predicted label: 10, accumulative accuracy: 0.9523809523809523
Image 21, true label: 10, predicted label: 10, accumulative accuracy: 0.9545454545454546
Image 22, true label: 10, predicted label: 10, accumulative accuracy: 0.9565217391304348
Image 23, true label: 10, predicted label: 10, accumulative accuracy: 0.9583333333333334
Image 24, true label: 10, predicted label: 10, accumulative accuracy: 0.96
Image 25, true label: 10, predicted label: 10, accumulative accuracy: 0.9615384615384616
Image 26, true label: 10, predicted label: 10, accumulative accuracy: 0.9629629629629629
Image 27, true label: 10, predicted label: 10, accumulative accuracy: 0.9642857142857143
Image 28, true label: 10, predicted label: 10, accumulative accuracy: 0.9655172413793104
Image 29, true label: 10, predicted label: 10, accumulative accuracy: 0.9666666666666667
Running DS_CNN (dma_lea_opt_adaptive_buffer_mem) total cycles (32767 Hz) (CNT=10): 5141363
Image 30, true label: 10, predicted label: 10, accumulative accuracy: 0.967741935483871
Image 31, true label: 10, predicted label: 10, accumulative accuracy: 0.96875
Image 32, true label: 10, predicted label: 10, accumulative accuracy: 0.9696969696969697
Image 33, true label: 10, predicted label: 10, accumulative accuracy: 0.9705882352941176
Image 34, true label: 10, predicted label: 10, accumulative accuracy: 0.9714285714285714
Image 35, true label: 10, predicted label: 10, accumulative accuracy: 0.9722222222222222
Image 36, true label: 10, predicted label: 10, accumulative accuracy: 0.972972972972973
Image 37, true label: 10, predicted label: 10, accumulative accuracy: 0.9736842105263158
