Image 0, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 1, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 2, true label: 8, predicted label: 8, accumulative accuracy: 1.0
Image 3, true label: 0, predicted label: 8, accumulative accuracy: 0.75
Image 4, true label: 6, predicted label: 6, accumulative accuracy: 0.8
Image 5, true label: 6, predicted label: 6, accumulative accuracy: 0.8333333333333334
Image 6, true label: 1, predicted label: 1, accumulative accuracy: 0.8571428571428571
Image 7, true label: 6, predicted label: 4, accumulative accuracy: 0.75
Image 8, true label: 3, predicted label: 3, accumulative accuracy: 0.7777777777777778
Image 9, true label: 1, predicted label: 9, accumulative accuracy: 0.7
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030443
Image 10, true label: 0, predicted label: 0, accumulative accuracy: 0.7272727272727273
Image 11, true label: 9, predicted label: 9, accumulative accuracy: 0.75
Image 12, true label: 5, predicted label: 5, accumulative accuracy: 0.7692307692307693
Image 13, true label: 7, predicted label: 7, accumulative accuracy: 0.7857142857142857
Image 14, true label: 9, predicted label: 9, accumulative accuracy: 0.8
Image 15, true label: 8, predicted label: 8, accumulative accuracy: 0.8125
Image 16, true label: 5, predicted label: 5, accumulative accuracy: 0.8235294117647058
Image 17, true label: 7, predicted label: 7, accumulative accuracy: 0.8333333333333334
Image 18, true label: 8, predicted label: 8, accumulative accuracy: 0.8421052631578947
Image 19, true label: 6, predicted label: 6, accumulative accuracy: 0.85
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030493
Image 20, true label: 7, predicted label: 7, accumulative accuracy: 0.8571428571428571
Image 21, true label: 0, predicted label: 0, accumulative accuracy: 0.8636363636363636
Image 22, true label: 4, predicted label: 4, accumulative accuracy: 0.8695652173913043
Image 23, true label: 9, predicted label: 9, accumulative accuracy: 0.875
Image 24, true label: 5, predicted label: 4, accumulative accuracy: 0.84
Image 25, true label: 2, predicted label: 3, accumulative accuracy: 0.8076923076923077
Image 26, true label: 4, predicted label: 3, accumulative accuracy: 0.7777777777777778
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.7857142857142857
Image 28, true label: 9, predicted label: 9, accumulative accuracy: 0.7931034482758621
Image 29, true label: 6, predicted label: 6, accumulative accuracy: 0.8
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030430
Image 30, true label: 6, predicted label: 6, accumulative accuracy: 0.8064516129032258
Image 31, true label: 5, predicted label: 5, accumulative accuracy: 0.8125
Image 32, true label: 4, predicted label: 4, accumulative accuracy: 0.8181818181818182
Image 33, true label: 5, predicted label: 5, accumulative accuracy: 0.8235294117647058
Image 34, true label: 9, predicted label: 9, accumulative accuracy: 0.8285714285714286
Image 35, true label: 2, predicted label: 3, accumulative accuracy: 0.8055555555555556
Image 36, true label: 4, predicted label: 4, accumulative accuracy: 0.8108108108108109
Image 37, true label: 1, predicted label: 9, accumulative accuracy: 0.7894736842105263
Image 38, true label: 9, predicted label: 9, accumulative accuracy: 0.7948717948717948
Image 39, true label: 5, predicted label: 5, accumulative accuracy: 0.8
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030348
Image 40, true label: 4, predicted label: 4, accumulative accuracy: 0.8048780487804879
Image 41, true label: 6, predicted label: 6, accumulative accuracy: 0.8095238095238095
Image 42, true label: 5, predicted label: 5, accumulative accuracy: 0.813953488372093
Image 43, true label: 6, predicted label: 6, accumulative accuracy: 0.8181818181818182
Image 44, true label: 0, predicted label: 0, accumulative accuracy: 0.8222222222222222
Image 45, true label: 9, predicted label: 6, accumulative accuracy: 0.8043478260869565
Image 46, true label: 3, predicted label: 3, accumulative accuracy: 0.8085106382978723
Image 47, true label: 9, predicted label: 9, accumulative accuracy: 0.8125
Image 48, true label: 7, predicted label: 4, accumulative accuracy: 0.7959183673469388
Image 49, true label: 6, predicted label: 6, accumulative accuracy: 0.8
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030470
Image 50, true label: 9, predicted label: 9, accumulative accuracy: 0.803921568627451
Image 51, true label: 8, predicted label: 8, accumulative accuracy: 0.8076923076923077
Image 52, true label: 0, predicted label: 7, accumulative accuracy: 0.7924528301886793
Image 53, true label: 3, predicted label: 5, accumulative accuracy: 0.7777777777777778
Image 54, true label: 8, predicted label: 8, accumulative accuracy: 0.7818181818181819
Image 55, true label: 8, predicted label: 8, accumulative accuracy: 0.7857142857142857
Image 56, true label: 7, predicted label: 7, accumulative accuracy: 0.7894736842105263
Image 57, true label: 7, predicted label: 3, accumulative accuracy: 0.7758620689655172
Image 58, true label: 4, predicted label: 4, accumulative accuracy: 0.7796610169491526
Image 59, true label: 6, predicted label: 3, accumulative accuracy: 0.7666666666666667
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030413
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 0.7704918032786885
Image 61, true label: 3, predicted label: 5, accumulative accuracy: 0.7580645161290323
Image 62, true label: 6, predicted label: 6, accumulative accuracy: 0.7619047619047619
Image 63, true label: 3, predicted label: 3, accumulative accuracy: 0.765625
Image 64, true label: 6, predicted label: 6, accumulative accuracy: 0.7692307692307693
Image 65, true label: 2, predicted label: 2, accumulative accuracy: 0.7727272727272727
Image 66, true label: 1, predicted label: 8, accumulative accuracy: 0.7611940298507462
Image 67, true label: 2, predicted label: 2, accumulative accuracy: 0.7647058823529411
Image 68, true label: 3, predicted label: 5, accumulative accuracy: 0.7536231884057971
Image 69, true label: 7, predicted label: 7, accumulative accuracy: 0.7571428571428571
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030433
Image 70, true label: 2, predicted label: 2, accumulative accuracy: 0.7605633802816901
Image 71, true label: 6, predicted label: 6, accumulative accuracy: 0.7638888888888888
Image 72, true label: 8, predicted label: 8, accumulative accuracy: 0.7671232876712328
Image 73, true label: 8, predicted label: 8, accumulative accuracy: 0.7702702702702703
Image 74, true label: 0, predicted label: 0, accumulative accuracy: 0.7733333333333333
Image 75, true label: 2, predicted label: 2, accumulative accuracy: 0.7763157894736842
Image 76, true label: 9, predicted label: 9, accumulative accuracy: 0.7792207792207793
Image 77, true label: 3, predicted label: 3, accumulative accuracy: 0.782051282051282
Image 78, true label: 3, predicted label: 5, accumulative accuracy: 0.7721518987341772
Image 79, true label: 8, predicted label: 8, accumulative accuracy: 0.775
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030439
Image 80, true label: 8, predicted label: 8, accumulative accuracy: 0.7777777777777778
Image 81, true label: 1, predicted label: 1, accumulative accuracy: 0.7804878048780488
Image 82, true label: 1, predicted label: 1, accumulative accuracy: 0.7831325301204819
Image 83, true label: 7, predicted label: 7, accumulative accuracy: 0.7857142857142857
Image 84, true label: 2, predicted label: 2, accumulative accuracy: 0.788235294117647
Image 85, true label: 5, predicted label: 9, accumulative accuracy: 0.7790697674418605
Image 86, true label: 2, predicted label: 2, accumulative accuracy: 0.7816091954022989
Image 87, true label: 7, predicted label: 7, accumulative accuracy: 0.7840909090909091
Image 88, true label: 8, predicted label: 8, accumulative accuracy: 0.7865168539325843
Image 89, true label: 9, predicted label: 9, accumulative accuracy: 0.7888888888888889
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030499
Image 90, true label: 0, predicted label: 0, accumulative accuracy: 0.7912087912087912
Image 91, true label: 3, predicted label: 3, accumulative accuracy: 0.7934782608695652
Image 92, true label: 8, predicted label: 8, accumulative accuracy: 0.7956989247311828
Image 93, true label: 6, predicted label: 6, accumulative accuracy: 0.7978723404255319
Image 94, true label: 4, predicted label: 4, accumulative accuracy: 0.8
Image 95, true label: 6, predicted label: 6, accumulative accuracy: 0.8020833333333334
Image 96, true label: 6, predicted label: 6, accumulative accuracy: 0.8041237113402062
Image 97, true label: 0, predicted label: 0, accumulative accuracy: 0.8061224489795918
Image 98, true label: 0, predicted label: 0, accumulative accuracy: 0.8080808080808081
Image 99, true label: 7, predicted label: 7, accumulative accuracy: 0.81
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030609
Image 100, true label: 4, predicted label: 4, accumulative accuracy: 0.8118811881188119
Image 101, true label: 5, predicted label: 5, accumulative accuracy: 0.8137254901960784
Image 102, true label: 6, predicted label: 6, accumulative accuracy: 0.8155339805825242
Image 103, true label: 3, predicted label: 3, accumulative accuracy: 0.8173076923076923
Image 104, true label: 1, predicted label: 1, accumulative accuracy: 0.819047619047619
Image 105, true label: 1, predicted label: 1, accumulative accuracy: 0.8207547169811321
Image 106, true label: 3, predicted label: 6, accumulative accuracy: 0.8130841121495327
Image 107, true label: 6, predicted label: 6, accumulative accuracy: 0.8148148148148148
Image 108, true label: 8, predicted label: 8, accumulative accuracy: 0.8165137614678899
Image 109, true label: 7, predicted label: 7, accumulative accuracy: 0.8181818181818182
Running ResNet3 (dma_lea_opt_adaptive_buffer) total cycles (32767 Hz) (CNT=10): 2030527
Image 110, true label: 4, predicted label: 4, accumulative accuracy: 0.8198198198198198
Image 111, true label: 0, predicted label: 0, accumulative accuracy: 0.8214285714285714
Image 112, true label: 6, predicted label: 2, accumulative accuracy: 0.8141592920353983
