Image 0, true label: 9, predicted label: 9, accumulative accuracy: 1.0
Image 1, true label: 2, predicted label: 2, accumulative accuracy: 1.0
Image 2, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 3, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 4, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 5, true label: 1, predicted label: 1, accumulative accuracy: 1.0
Image 6, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 7, true label: 6, predicted label: 6, accumulative accuracy: 1.0
Image 8, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 9, true label: 7, predicted label: 7, accumulative accuracy: 1.0
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21334
Image 10, true label: 4, predicted label: 4, accumulative accuracy: 1.0
Image 11, true label: 5, predicted label: 5, accumulative accuracy: 1.0
Image 12, true label: 7, predicted label: 5, accumulative accuracy: 0.9230769230769231
Image 13, true label: 3, predicted label: 3, accumulative accuracy: 0.9285714285714286
Image 14, true label: 4, predicted label: 4, accumulative accuracy: 0.9333333333333333
Image 15, true label: 1, predicted label: 1, accumulative accuracy: 0.9375
Image 16, true label: 2, predicted label: 2, accumulative accuracy: 0.9411764705882353
Image 17, true label: 4, predicted label: 4, accumulative accuracy: 0.9444444444444444
Image 18, true label: 8, predicted label: 8, accumulative accuracy: 0.9473684210526315
Image 19, true label: 0, predicted label: 0, accumulative accuracy: 0.95
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21339
Image 20, true label: 2, predicted label: 2, accumulative accuracy: 0.9523809523809523
Image 21, true label: 5, predicted label: 5, accumulative accuracy: 0.9545454545454546
Image 22, true label: 7, predicted label: 7, accumulative accuracy: 0.9565217391304348
Image 23, true label: 9, predicted label: 5, accumulative accuracy: 0.9166666666666666
Image 24, true label: 1, predicted label: 1, accumulative accuracy: 0.92
Image 25, true label: 4, predicted label: 2, accumulative accuracy: 0.8846153846153846
Image 26, true label: 6, predicted label: 6, accumulative accuracy: 0.8888888888888888
Image 27, true label: 0, predicted label: 0, accumulative accuracy: 0.8928571428571429
Image 28, true label: 9, predicted label: 9, accumulative accuracy: 0.896551724137931
Image 29, true label: 3, predicted label: 3, accumulative accuracy: 0.9
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21334
Image 30, true label: 8, predicted label: 8, accumulative accuracy: 0.9032258064516129
Image 31, true label: 8, predicted label: 8, accumulative accuracy: 0.90625
Image 32, true label: 3, predicted label: 3, accumulative accuracy: 0.9090909090909091
Image 33, true label: 3, predicted label: 3, accumulative accuracy: 0.9117647058823529
Image 34, true label: 8, predicted label: 8, accumulative accuracy: 0.9142857142857143
Image 35, true label: 0, predicted label: 0, accumulative accuracy: 0.9166666666666666
Image 36, true label: 7, predicted label: 7, accumulative accuracy: 0.918918918918919
Image 37, true label: 5, predicted label: 5, accumulative accuracy: 0.9210526315789473
Image 38, true label: 7, predicted label: 7, accumulative accuracy: 0.9230769230769231
Image 39, true label: 9, predicted label: 9, accumulative accuracy: 0.925
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21330
Image 40, true label: 6, predicted label: 0, accumulative accuracy: 0.9024390243902439
Image 41, true label: 1, predicted label: 1, accumulative accuracy: 0.9047619047619048
Image 42, true label: 3, predicted label: 6, accumulative accuracy: 0.8837209302325582
Image 43, true label: 7, predicted label: 7, accumulative accuracy: 0.8863636363636364
Image 44, true label: 6, predicted label: 6, accumulative accuracy: 0.8888888888888888
Image 45, true label: 7, predicted label: 7, accumulative accuracy: 0.8913043478260869
Image 46, true label: 2, predicted label: 2, accumulative accuracy: 0.8936170212765957
Image 47, true label: 1, predicted label: 1, accumulative accuracy: 0.8958333333333334
Image 48, true label: 2, predicted label: 2, accumulative accuracy: 0.8979591836734694
Image 49, true label: 2, predicted label: 6, accumulative accuracy: 0.88
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21335
Image 50, true label: 4, predicted label: 4, accumulative accuracy: 0.8823529411764706
Image 51, true label: 4, predicted label: 4, accumulative accuracy: 0.8846153846153846
Image 52, true label: 5, predicted label: 5, accumulative accuracy: 0.8867924528301887
Image 53, true label: 8, predicted label: 8, accumulative accuracy: 0.8888888888888888
Image 54, true label: 2, predicted label: 2, accumulative accuracy: 0.8909090909090909
Image 55, true label: 2, predicted label: 2, accumulative accuracy: 0.8928571428571429
Image 56, true label: 8, predicted label: 8, accumulative accuracy: 0.8947368421052632
Image 57, true label: 4, predicted label: 6, accumulative accuracy: 0.8793103448275862
Image 58, true label: 8, predicted label: 8, accumulative accuracy: 0.8813559322033898
Image 59, true label: 0, predicted label: 0, accumulative accuracy: 0.8833333333333333
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21341
Image 60, true label: 7, predicted label: 7, accumulative accuracy: 0.8852459016393442
Image 61, true label: 7, predicted label: 7, accumulative accuracy: 0.8870967741935484
Image 62, true label: 8, predicted label: 8, accumulative accuracy: 0.8888888888888888
Image 63, true label: 5, predicted label: 5, accumulative accuracy: 0.890625
Image 64, true label: 1, predicted label: 1, accumulative accuracy: 0.8923076923076924
Image 65, true label: 1, predicted label: 1, accumulative accuracy: 0.8939393939393939
Image 66, true label: 2, predicted label: 6, accumulative accuracy: 0.8805970149253731
Image 67, true label: 3, predicted label: 4, accumulative accuracy: 0.8676470588235294
Image 68, true label: 9, predicted label: 7, accumulative accuracy: 0.855072463768116
Image 69, true label: 8, predicted label: 8, accumulative accuracy: 0.8571428571428571
Running MLPClassifier (dma_lea_opt_adaptive_buffer_mem_acc) total cycles (32767 Hz) (CNT=10): 21333
Image 70, true label: 7, predicted label: 7, accumulative accuracy: 0.8591549295774648
Image 71, true label: 0, predicted label: 0, accumulative accuracy: 0.8611111111111112
Image 72, true label: 2, predicted label: 2, accumulative accuracy: 0.863013698630137
Image 73, true label: 6, predicted label: 6, accumulative accuracy: 0.8648648648648649
Image 74, true label: 2, predicted label: 4, accumulative accuracy: 0.8533333333333334
