Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","12.7","","","","","","","","0","3278",""
"268000","0.0","","15.7","","","","","","","","0","3289",""
"477000","0.0","","17.6","","","","","","","","0","3284",""
"686000","0.0","","19.8","","","","","","","","0","3289",""
"895000","0.0","","22.0","","","","","","","","0","3285",""
"1302000","0.0","","26.2","","","","","","","","0","3286",""
"1570000","0.0","","28.8","","","","","","","","0","3285",""
"1785000","0.0","","31.0","","","","","","","","0","3287",""
"1994000","0.0","","33.3","","","","","","","","0","3285",""
"2203000","0.0","","35.2","","","0.0","","","","","0","3287",""
"2668000","0.0","","40.0","","","0.0","","","","","0","3286",""
"2877000","0.0","","42.3","","","0.0","","","","","0","3287",""
"3086000","0.0","","44.5","","","0.0","","","","","0","3285",""
"3295000","0.0","","46.4","","","0.0","","","","","0","3286",""
"3504000","0.0","","48.6","","","0.0","","","","","0","3286",""
"3912000","10.1897","","52.8","","","1.01897","","","","","3100000","3287",""
"4180000","10.1866","","55.8","","","2.03763","","","","","3100000","3286",""
"4390000","10.1897","","57.6","","","3.0566000000000004","","","","","3100000","3287",""
"4599000","10.1866","","59.9","","","4.07526","","","","","3100000","3286",""
"4808000","10.1897","","62.1","","","5.0942300000000005","","","","","3100000","3287",""
"5272000","10.1866","","67.0","","","6.11289","","","","","3100000","3286",""
"5482000","10.1897","","68.9","","","7.1318600000000005","","","","","3100000","3287",""
"5692000","10.1866","","71.1","","","8.15052","","","","","3100000","3286",""
"5901000","10.1897","","73.4","","","9.16949","","","","","3100000","3287",""
"6111000","10.1866","","75.6","","","10.18815","","","","","3100000","3286",""
"6518000","10.1866","","79.7","","","10.18784","","","","","3100000","3286",""
"6786000","10.1866","","82.3","","","10.18784","","","","","3100000","3286",""
"6994000","10.1866","","84.6","","","10.187529999999999","","","","","3100000","3286",""
"7204000","10.1866","","86.8","","","10.187529999999999","","","","","3100000","3286",""
"7413000","10.1866","","88.7","","","10.18722","","","","","3100000","3286",""
"7821000","10.1866","","92.8","","","10.18722","","","","","3100000","3286",""
"8087000","10.1866","","95.8","","","10.18691","","","","","3100000","3286",""
"8297000","10.1835","","98.1","","","10.186599999999999","","","","","3100000","3285",""
"8506000","10.1866","","99.9","","","10.186289999999998","","","","","3100000","3286",""
"8715000","10.1835","","102.2","","","10.185979999999997","","","","","3100000","3285",""
"9181000","10.2634924","","107.1","","","10.193669239999998","","","","","3123400","3286",""
"9390000","10.260369","","108.9","","","10.201046139999999","","","","","3123400","3285",""
"9599000","10.2634924","","111.2","","","10.208735379999998","","","","","3123400","3286",""
"9808000","10.260369","","113.4","","","10.216112279999999","","","","","3123400","3285",""
"10017000","10.260369","","115.7","","","10.223489179999998","","","","","3123400","3285",""
"10482000","10.260369","","120.2","","","10.230866079999998","","","","","3123400","3285",""
"10692000","10.260369","","122.4","","","10.238242979999999","","","","","3123400","3285",""
"10900000","10.260369","","124.7","","","10.245929879999998","","","","","3123400","3285",""
"11110000","10.260369","","126.5","","","10.253306779999999","","","","","3123400","3285",""
"11319000","10.260369","","128.8","","","10.260993679999999","","","","","3123400","3285",""
"11732000","10.2634924","","132.9","","","10.260993679999999","","","","","3123400","3286",""
"11942000","10.260369","","135.1","","","10.260993679999999","","","","","3123400","3285",""
"12210000","10.2634924","","137.8","","","10.260993679999999","","","","","3123400","3286",""
"12420000","10.2634924","","140.0","","","10.26130602","","","","","3123400","3286",""
"12629000","10.2634924","","142.3","","","10.26161836","","","","","3123400","3286",""
"13035000","10.2634924","","146.4","","","10.2619307","","","","","3123400","3286",""
"13244000","10.260369","","148.6","","","10.2619307","","","","","3123400","3285",""
"13454000","10.260369","","150.5","","","10.2619307","","","","","3123400","3285",""
"13721000","10.260369","","153.5","","","10.2619307","","","","","3123400","3285",""
"13931000","10.260369","","155.4","","","10.2619307","","","","","3123400","3285",""
"14396000","10.149993","","160.2","","","10.25058076","","","","","3089800","3285",""
"14606000","10.149993","","162.5","","","10.23954316","","","","","3089800","3285",""
"14815000","10.149993","","164.7","","","10.228193219999998","","","","","3089800","3285",""
