Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.5","","","","","","","","0","3272",""
"209000","0.0","","9.6","","","","","","","","0","3288",""
"419000","0.0","","11.1","","","","","","","","0","3282",""
"629000","0.0","","12.6","","","","","","","","0","3285",""
"837000","0.0","","13.8","","","","","","","","0","3284",""
"1302000","0.0","","16.7","","","","","","","","0","3287",""
"1512000","0.0","","18.2","","","","","","","","0","3284",""
"1721000","0.0","","19.7","","","","","","","","0","3285",""
"1931000","0.0","","21.2","","","","","","","","0","3284",""
"2139000","0.0","","22.3","","","0.0","","","","","0","3285",""
"2603000","0.0","","25.7","","","0.0","","","","","0","3284",""
"2812000","0.0","","26.8","","","0.0","","","","","0","3285",""
"3022000","0.0","","28.3","","","0.0","","","","","0","3284",""
"3230000","0.0","","29.8","","","0.0","","","","","0","3285",""
"3440000","0.0","","30.9","","","0.0","","","","","0","3284",""
"3906000","0.0","","34.3","","","0.0","","","","","0","3285",""
"4115000","0.0","","35.4","","","0.0","","","","","0","3285",""
"4324000","0.0","","36.9","","","0.0","","","","","0","3285",""
"4533000","0.0","","38.4","","","0.0","","","","","0","3284",""
"4742000","0.0","","39.5","","","0.0","","","","","0","3285",""
"5149000","0.0","","42.5","","","0.0","","","","","0","3285",""
"5415000","0.0","","44.0","","","0.0","","","","","0","3285",""
"5625000","0.0","","45.5","","","0.0","","","","","0","3285",""
"5834000","0.0","","47.0","","","0.0","","","","","0","3285",""
"6044000","0.0","","48.4","","","0.0","","","","","0","3285",""
"6451000","6.4606095","","50.3","","","0.6460609500000001","","","","","1966700","3285",""
"6718000","6.4606095","","51.8","","","1.2921219000000002","","","","","1966700","3285",""
"6927000","6.4625762","","52.9","","","1.9383795200000002","","","","","1966700","3286",""
"7138000","6.4606095","","54.0","","","2.58444047","","","","","1966700","3285",""
"7347000","6.4625762","","55.5","","","3.2306980899999997","","","","","1966700","3286",""
"7811000","6.4606095","","57.8","","","3.8767590400000005","","","","","1966700","3285",""
"8019000","6.4625762","","58.9","","","4.523016660000001","","","","","1966700","3286",""
"8228000","6.4625762","","60.0","","","5.169274280000001","","","","","1966700","3286",""
"8438000","6.4625762","","61.1","","","5.815531900000001","","","","","1966700","3286",""
"8648000","6.4625762","","62.2","","","6.461789520000001","","","","","1966700","3286",""
"9118000","6.4645429","","64.8","","","6.46218286","","","","","1966700","3287",""
"9328000","6.4625762","","66.0","","","6.46237953","","","","","1966700","3286",""
"9538000","6.4645429","","67.1","","","6.462576199999999","","","","","1966700","3287",""
"9747000","6.4625762","","68.6","","","6.462772869999999","","","","","1966700","3286",""
"9957000","6.4645429","","69.7","","","6.462969539999999","","","","","1966700","3287",""
"10364000","6.4625762","","71.9","","","6.463166209999999","","","","","1966700","3286",""
"10630000","6.4645429","","73.4","","","6.463362879999998","","","","","1966700","3287",""
"10840000","6.4625762","","74.5","","","6.463362879999998","","","","","1966700","3286",""
"11049000","6.4645429","","75.6","","","6.463559549999998","","","","","1966700","3287",""
"11259000","6.4625762","","76.8","","","6.463559549999998","","","","","1966700","3286",""
"11723000","6.4645429","","79.0","","","6.463559549999998","","","","","1966700","3287",""
"11933000","6.4625762","","80.1","","","6.463559549999998","","","","","1966700","3286",""
"12142000","6.4645429","","81.6","","","6.463559549999998","","","","","1966700","3287",""
"12350000","6.4625762","","83.1","","","6.463559549999998","","","","","1966700","3286",""
"12560000","6.4625762","","84.2","","","6.463362879999998","","","","","1966700","3286",""
"13025000","6.4625762","","87.2","","","6.463362879999998","","","","","1966700","3286",""
"13234000","6.4625762","","88.7","","","6.463166209999999","","","","","1966700","3286",""
"13443000","6.4625762","","89.8","","","6.463166209999999","","","","","1966700","3286",""
"13653000","6.4625762","","91.3","","","6.462969539999999","","","","","1966700","3286",""
"13862000","6.4625762","","92.8","","","6.462969539999999","","","","","1966700","3286",""
"14327000","6.4625762","","95.8","","","6.462772869999999","","","","","1966700","3286",""
"14536000","6.4625762","","97.3","","","6.462772869999999","","","","","1966700","3286",""
"14745000","6.4625762","","98.8","","","6.462576199999999","","","","","1966700","3286",""
"14955000","6.4625762","","99.9","","","6.462576199999999","","","","","1966700","3286",""
"15164000","5.8356074","","101.4","","","6.399879319999999","","","","","1775900","3286",""
"15572000","5.8356074","","104.0","","","6.337182439999999","","","","","1775900","3286",""
"15838000","5.8356074","","105.8","","","6.27448556","","","","","1775900","3286",""
"16047000","5.8356074","","107.0","","","6.21178868","","","","","1775900","3286",""
"16256000","5.8356074","","108.5","","","6.149091799999999","","","","","1775900","3286",""
"16465000","5.8356074","","110.0","","","6.086394919999999","","","","","1775900","3286",""
"16872000","5.8356074","","112.6","","","6.023698039999999","","","","","1775900","3286",""
"17140000","5.8356074","","114.4","","","5.9610011599999995","","","","","1775900","3286",""
"17349000","5.8356074","","115.9","","","5.89830428","","","","","1775900","3286",""
"17559000","5.8356074","","117.0","","","5.835607399999999","","","","","1775900","3286",""
"17767000","5.8356074","","118.5","","","5.835607399999999","","","","","1775900","3286",""
"18232000","5.8356074","","121.5","","","5.835607399999999","","","","","1775900","3286",""
"18441000","5.8338315","","123.0","","","5.835429809999999","","","","","1775900","3285",""
"18650000","5.8356074","","124.1","","","5.835429809999999","","","","","1775900","3286",""
"18865000","5.8356074","","125.6","","","5.835429809999999","","","","","1775900","3286",""
"19074000","5.8356074","","127.1","","","5.835429809999999","","","","","1775900","3286",""
"19481000","5.8338315","","129.7","","","5.835252219999999","","","","","1775900","3285",""
"19749000","5.8338315","","131.6","","","5.835074629999999","","","","","1775900","3285",""
"19959000","5.8338315","","132.7","","","5.8348970399999995","","","","","1775900","3285",""
"20168000","5.8338315","","134.2","","","5.83471945","","","","","1775900","3285",""
"20377000","5.8338315","","135.7","","","5.83454186","","","","","1775900","3285",""
"20842000","5.8338315","","138.7","","","5.83436427","","","","","1775900","3285",""
"21051000","5.8338315","","140.2","","","5.83436427","","","","","1775900","3285",""
"21260000","5.8338315","","141.3","","","5.83418668","","","","","1775900","3285",""
"21470000","5.8320556","","142.8","","","5.8338315000000005","","","","","1775900","3284",""
"21679000","5.8320556","","144.3","","","5.833476320000001","","","","","1775900","3284",""
"22086000","5.8320556","","146.9","","","5.833298730000001","","","","","1775900","3284",""
"22354000","5.8320556","","148.8","","","5.833121140000001","","","","","1775900","3284",""
"22563000","5.8320556","","150.2","","","5.832943550000001","","","","","1775900","3284",""
"22772000","6.5387724","","151.4","","","5.903437640000002","","","","","1991100","3284",""
"22981000","6.5387724","","152.9","","","5.973931730000001","","","","","1991100","3284",""
"23387000","6.5387724","","155.5","","","6.044425820000001","","","","","1991100","3284",""
"23654000","6.5387724","","157.3","","","6.11491991","","","","","1991100","3284",""
"23864000","6.5367813","","158.8","","","6.18521489","","","","","1991100","3283",""
"24073000","6.5367813","","159.9","","","6.25568746","","","","","1991100","3283",""
"24283000","6.5367813","","161.4","","","6.32616003","","","","","1991100","3283",""
"24690000","6.5367813","","164.0","","","6.396632599999999","","","","","1991100","3283",""
"24958000","6.5367813","","165.9","","","6.467105169999999","","","","","1991100","3283",""
"25167000","6.5367813","","167.4","","","6.537577739999999","","","","","1991100","3283",""
"25377000","6.5367813","","168.5","","","6.537378629999999","","","","","1991100","3283",""
"25586000","6.5367813","","170.0","","","6.53717952","","","","","1991100","3283",""
"26050000","6.5367813","","173.0","","","6.53698041","","","","","1991100","3283",""
"26259000","6.5367813","","174.5","","","6.5367812999999995","","","","","1991100","3283",""
"26469000","6.5367813","","176.0","","","6.5367812999999995","","","","","1991100","3283",""
"26679000","6.5367813","","177.1","","","6.5367812999999995","","","","","1991100","3283",""
"26887000","6.5367813","","178.6","","","6.5367812999999995","","","","","1991100","3283",""
"27353000","6.5367813","","181.2","","","6.5367812999999995","","","","","1991100","3283",""
"27561000","6.5367813","","182.3","","","6.5367812999999995","","","","","1991100","3283",""
"27771000","6.5367813","","183.4","","","6.5367812999999995","","","","","1991100","3283",""
"27980000","6.5367813","","184.6","","","6.5367812999999995","","","","","1991100","3283",""
"28189000","6.5367813","","185.7","","","6.5367812999999995","","","","","1991100","3283",""
"28596000","6.5367813","","187.9","","","6.5367812999999995","","","","","1991100","3283",""
"28868000","6.5367813","","189.4","","","6.5367812999999995","","","","","1991100","3283",""
"29078000","6.5367813","","190.5","","","6.5367812999999995","","","","","1991100","3283",""
"29287000","6.5367813","","191.6","","","6.5367812999999995","","","","","1991100","3283",""
"29497000","6.5367813","","192.8","","","6.5367812999999995","","","","","1991100","3283",""
"29904000","6.5367813","","195.0","","","6.5367812999999995","","","","","1991100","3283",""
"30171000","6.5367813","","196.5","","","6.5367812999999995","","","","","1991100","3283",""
"30380000","6.5367813","","197.6","","","6.5367812999999995","","","","","1991100","3283",""
"30590000","6.5367813","","198.7","","","6.5367812999999995","","","","","1991100","3283",""
"30800000","6.5367813","","199.8","","","6.5367812999999995","","","","","1991100","3283",""
"31264000","5.9832675","","202.4","","","6.481429919999999","","","","","1822500","3283",""
"31474000","5.9832675","","203.6","","","6.426078539999999","","","","","1822500","3283",""
"31683000","5.981445","","204.7","","","6.370544909999998","","","","","1822500","3282",""
"31892000","5.981445","","205.8","","","6.315011279999998","","","","","1822500","3282",""
"32101000","5.981445","","206.9","","","6.2594776499999965","","","","","1822500","3282",""
"32508000","5.981445","","209.1","","","6.203944019999996","","","","","1822500","3282",""
"32776000","5.981445","","210.6","","","6.148410389999995","","","","","1822500","3282",""
"32985000","5.981445","","212.1","","","6.092876759999994","0.0","6.5387724","","","1822500","3282",""
"33194000","5.981445","","213.2","","","6.037343129999994","","","","","1822500","3282",""
"33404000","5.981445","","214.7","","","5.981809499999993","","","","","1822500","3282",""
"33811000","5.981445","","217.3","","","5.981627249999993","","","","","1822500","3282",""
"34078000","5.981445","","219.2","","","5.981444999999992","","","","","1822500","3282",""
"34286000","5.981445","","220.3","","","5.981444999999992","","","","","1822500","3282",""
"34495000","5.9832675","","221.8","","","5.981627249999992","","","","","1822500","3283",""
"34704000","5.9832675","","223.3","","","5.981809499999992","","","","","1822500","3283",""
"35170000","5.9832675","","226.3","","","5.981991749999993","","","","","1822500","3283",""
"35379000","5.9832675","","227.8","","","5.9821739999999926","","","","","1822500","3283",""
"35608000","5.9832675","","229.3","","","5.982356249999993","","","","","1822500","3283",""
"35818000","5.9832675","","230.4","","","5.982538499999993","","","","","1822500","3283",""
"36027000","5.9832675","","231.9","","","5.982720749999993","","","","","1822500","3283",""
"36434000","5.9832675","","234.5","","","5.982902999999994","","","","","1822500","3283",""
"36701000","5.9832675","","236.4","","","5.983085249999994","","","","","1822500","3283",""
"36911000","5.9832675","","237.9","","","5.983267499999995","","","","","1822500","3283",""
"37120000","5.9832675","","239.0","","","5.983267499999995","","","","","1822500","3283",""
"37331000","5.9832675","","240.5","","","5.983267499999995","","","","","1822500","3283",""
"37796000","5.981445","","243.5","","","5.983085249999995","","","","","1822500","3282",""
"38006000","5.981445","","245.0","","","5.982902999999995","","","","","1822500","3282",""
"38215000","5.981445","","246.1","","","5.982720749999994","","","","","1822500","3282",""
"38425000","5.9832675","","247.6","","","5.982720749999994","","","","","1822500","3283",""
"38635000","5.9832675","","249.1","","","5.982720749999994","","","","","1822500","3283",""
"39047000","5.9832675","","251.7","","","5.982720749999994","","","","","1822500","3283",""
"39314000","6.3151788","","253.5","","","6.015911879999995","","","","","1923600","3283",""
"39523000","6.3151788","","254.6","","","6.049103009999994","","","","","1923600","3283",""
"39732000","6.3151788","","256.1","","","6.082294139999995","","","","","1923600","3283",""
"39941000","6.3151788","","257.6","","","6.115485269999995","","","","","1923600","3283",""
"40407000","6.3132552","","260.6","","","6.148666289999995","","","","","1923600","3282",""
"40616000","6.3151788","","262.1","","","6.1820396699999955","","","","","1923600","3283",""
"40826000","6.3151788","","263.2","","","6.215413049999996","","","","","1923600","3283",""
"41035000","6.3151788","","264.7","","","6.2486041799999965","","","","","1923600","3283",""
"41244000","6.3151788","","266.2","","","6.281795309999997","","","","","1923600","3283",""
"41709000","6.3151788","","269.2","","","6.314986439999997","","","","","1923600","3283",""
"41918000","6.3151788","","270.7","","","6.314986439999997","","","","","1923600","3283",""
"42128000","6.3151788","","271.8","","","6.314986439999997","","","","","1923600","3283",""
