Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.9","","","","","","","","0","3267",""
"208000","0.0","","10.0","","","","","","","","0","3285",""
"418000","0.0","","11.5","","","","","","","","0","3280",""
"627000","0.0","","13.0","","","","","","","","0","3283",""
"837000","0.0","","14.5","","","","","","","","0","3281",""
"1301000","0.0","","17.9","","","","","","","","0","3285",""
"1511000","0.0","","19.4","","","","","","","","0","3283",""
"1720000","0.0","","20.9","","","","","","","","0","3284",""
"1929000","0.0","","22.4","","","","","","","","0","3283",""
"2138000","0.0","","23.9","","","0.0","","","","","0","3284",""
"2603000","0.0","","26.9","","","0.0","","","","","0","3283",""
"2813000","0.0","","28.3","","","0.0","","","","","0","3284",""
"3022000","0.0","","29.5","","","0.0","","","","","0","3283",""
"3230000","0.0","","31.0","","","0.0","","","","","0","3285",""
"3440000","0.0","","32.8","","","0.0","","","","","0","3284",""
"3847000","0.0","","35.8","","","0.0","","","","","0","3285",""
"4113000","0.0","","37.3","","","0.0","","","","","0","3284",""
"4322000","0.0","","38.8","","","0.0","","","","","0","3285",""
"4532000","0.0","","40.3","","","0.0","","","","","0","3284",""
"4741000","0.0","","41.8","","","0.0","","","","","0","3284",""
"5148000","0.0","","44.8","","","0.0","","","","","0","3283",""
"5420000","0.0","","46.3","","","0.0","","","","","0","3284",""
"5630000","0.0","","47.8","","","0.0","","","","","0","3283",""
"5839000","0.0","","49.3","","","0.0","","","","","0","3283",""
"6049000","6.8762435","","50.8","","","0.68762435","","","","","2094500","3283",""
"6455000","6.8762435","","53.8","","","1.3752487","","","","","2094500","3283",""
"6723000","6.8762435","","55.3","","","2.06287305","","","","","2094500","3283",""
"6931000","6.8762435","","56.7","","","2.7504974","","","","","2094500","3283",""
"7140000","6.8762435","","57.9","","","3.4381217499999996","","","","","2094500","3283",""
"7350000","6.878338","","59.4","","","4.12595555","","","","","2094500","3284",""
"7815000","6.8762435","","62.7","","","4.8135799","","","","","2094500","3283",""
"8072000","6.8762435","","64.2","","","5.50120425","","","","","2094500","3283",""
"8281000","6.8762435","","65.3","","","6.1888286","","","","","2094500","3283",""
"8490000","6.878338","","66.8","","","6.876662400000001","","","","","2094500","3284",""
"8700000","6.8762435","","68.3","","","6.876662400000001","","","","","2094500","3283",""
"9165000","6.878338","","71.7","","","6.876871850000001","","","","","2094500","3284",""
"9376000","6.8762435","","73.2","","","6.876871850000001","","","","","2094500","3283",""
"9585000","6.878338","","74.7","","","6.8770813","","","","","2094500","3284",""
"9794000","6.8762435","","76.2","","","6.8770813","","","","","2094500","3283",""
"10003000","6.878338","","77.7","","","6.8770813","","","","","2094500","3284",""
"10410000","6.8762435","","80.3","","","6.8770813","","","","","2094500","3283",""
"10677000","6.878338","","81.8","","","6.87729075","","","","","2094500","3284",""
"10887000","6.878338","","83.3","","","6.8775002","","","","","2094500","3284",""
"11097000","6.878338","","84.8","","","6.8775002","","","","","2094500","3284",""
"11306000","6.878338","","86.3","","","6.87770965","","","","","2094500","3284",""
"11770000","6.878338","","89.6","","","6.87770965","","","","","2094500","3284",""
"11980000","6.878338","","91.1","","","6.8779191","","","","","2094500","3284",""
"12189000","6.878338","","92.6","","","6.8779191","","","","","2094500","3284",""
"12399000","6.878338","","94.1","","","6.87812855","","","","","2094500","3284",""
"12608000","6.878338","","95.6","","","6.87812855","","","","","2094500","3284",""
"13015000","6.878338","","98.6","","","6.878337999999999","","","","","2094500","3284",""
"13281000","6.878338","","100.1","","","6.878337999999999","","","","","2094500","3284",""
"13491000","6.7446792","","101.2","","","6.86497212","","","","","2053800","3284",""
"13700000","6.7446792","","103.1","","","6.85160624","","","","","2053800","3284",""
"13909000","6.7446792","","104.6","","","6.838240359999999","","","","","2053800","3284",""
"14316000","6.7446792","","107.6","","","6.824874479999998","","","","","2053800","3284",""
"14525000","6.7446792","","109.1","","","6.811508599999998","","","","","2053800","3284",""
"14734000","6.7446792","","110.2","","","6.798142719999997","","","","","2053800","3284",""
"14944000","6.7446792","","111.7","","","6.784776839999997","","","","","2053800","3284",""
"15153000","6.7446792","","113.2","","","6.771410959999995","","","","","2053800","3284",""
"15567000","6.7446792","","116.2","","","6.758045079999995","","","","","2053800","3284",""
"15776000","6.7446792","","117.7","","","6.744679199999995","","","","","2053800","3284",""
"16042000","6.7446792","","119.1","","","6.744679199999993","","","","","2053800","3284",""
"16252000","6.7446792","","120.6","","","6.744679199999993","","","","","2053800","3284",""
"16462000","6.7426254","","122.1","","","6.744473819999993","","","","","2053800","3283",""
"16868000","6.7426254","","125.1","","","6.744268439999994","","","","","2053800","3283",""
