Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.9","","","","","","","","0","3266",""
"208000","0.0","","10.4","","","","","","","","0","3280",""
"418000","0.0","","11.5","","","","","","","","0","3277",""
"627000","0.0","","13.0","","","","","","","","0","3283",""
"837000","0.0","","14.1","","","","","","","","0","3279",""
"1308000","0.0","","17.1","","","","","","","","0","3282",""
"1517000","0.0","","18.6","","","","","","","","0","3280",""
"1726000","0.0","","19.7","","","","","","","","0","3282",""
"1936000","0.0","","21.2","","","","","","","","0","3281",""
"2145000","0.0","","22.3","","","0.0","","","","","0","3283",""
"2610000","0.0","","25.3","","","0.0","","","","","0","3283",""
"2820000","0.0","","26.8","","","0.0","","","","","0","3284",""
"3029000","0.0","","27.9","","","0.0","","","","","0","3283",""
"3237000","0.0","","29.4","","","0.0","","","","","0","3284",""
"3447000","0.0","","30.5","","","0.0","","","","","0","3284",""
"3911000","0.0","","33.5","","","0.0","","","","","0","3284",""
"4121000","0.0","","35.0","","","0.0","","","","","0","3284",""
"4331000","0.0","","36.1","","","0.0","","","","","0","3285",""
"4541000","0.0","","37.6","","","0.0","","","","","0","3284",""
"4750000","0.0","","38.8","","","0.0","","","","","0","3285",""
"5140000","0.0","","41.4","","","0.0","","","","","0","3284",""
"5415000","0.0","","42.9","","","0.0","","","","","0","3285",""
"5625000","0.0","","44.3","","","0.0","","","","","0","3284",""
"5833000","0.0","","45.8","","","0.0","","","","","0","3284",""
"6043000","0.0","","47.0","","","0.0","","","","","0","3283",""
"6508000","6.282292","","49.9","","","0.6282292","","","","","1913000","3284",""
"6718000","6.282292","","51.4","","","1.2564584","","","","","1913000","3284",""
"6927000","6.282292","","52.6","","","1.8846876000000001","","","","","1913000","3284",""
"7137000","6.282292","","54.0","","","2.5129168","","","","","1913000","3284",""
"7346000","6.282292","","55.2","","","3.141146","","","","","1913000","3284",""
"7812000","6.282292","","58.2","","","3.7693752","","","","","1913000","3284",""
"8021000","6.284205","","59.6","","","4.3977957","","","","","1913000","3285",""
"8230000","6.282292","","60.8","","","5.0260248999999995","","","","","1913000","3284",""
