Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3270",""
"273000","0.0","","9.2","","","","","","","","0","3283",""
"481000","0.0","","10.4","","","","","","","","0","3279",""
"691000","0.0","","12.2","","","","","","","","0","3283",""
"900000","0.0","","13.7","","","","","","","","0","3280",""
"1364000","0.0","","17.8","","","","","","","","0","3282",""
"1574000","0.0","","18.9","","","","","","","","0","3280",""
"1783000","0.0","","20.4","","","","","","","","0","3282",""
"1992000","0.0","","21.5","","","","","","","","0","3281",""
"2201000","0.0","","23.0","","","0.0","","","","","0","3282",""
"2666000","0.0","","25.6","","","0.0","","","","","0","3281",""
"2875000","0.0","","27.1","","","0.0","","","","","0","3283",""
"3085000","0.0","","28.2","","","0.0","","","","","0","3283",""
"3294000","0.0","","29.3","","","0.0","","","","","0","3284",""
"3504000","0.0","","31.2","","","0.0","","","","","0","3283",""
"3910000","0.0","","33.4","","","0.0","","","","","0","3284",""
"4178000","0.0","","35.3","","","0.0","","","","","0","3284",""
"4386000","0.0","","36.8","","","0.0","","","","","0","3285",""
"4595000","0.0","","37.9","","","0.0","","","","","0","3284",""
"4804000","0.0","","39.4","","","0.0","","","","","0","3284",""
"5268000","0.0","","42.4","","","0.0","","","","","0","3284",""
"5478000","0.0","","43.5","","","0.0","","","","","0","3284",""
"5688000","0.0","","45.4","","","0.0","","","","","0","3283",""
"5896000","0.0","","46.5","","","0.0","","","","","0","3284",""
"6106000","0.0","","47.6","","","0.0","","","","","0","3283",""
"6570000","6.4425592","","50.9","","","0.64425592","","","","","1962400","3283",""
"6779000","6.4425592","","52.0","","","1.28851184","","","","","1962400","3283",""
"6989000","6.4445216","","53.5","","","1.9329639999999997","","","","","1962400","3284",""
"7198000","6.4425592","","55.0","","","2.5772199199999997","","","","","1962400","3283",""
"7407000","6.4445216","","56.5","","","3.22167208","","","","","1962400","3284",""
"7873000","6.4425592","","59.1","","","3.8659279999999994","","","","","1962400","3283",""
"8082000","6.4445216","","60.6","","","4.5103801599999995","","","","","1962400","3284",""
"8291000","6.4425592","","61.7","","","5.1546360799999995","","","","","1962400","3283",""
"8500000","6.4445216","","63.2","","","5.79908824","","","","","1962400","3284",""
