Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","11.5","","","","","","","","0","3295",""
"210000","0.0","","13.4","","","","","","","","0","3282",""
"420000","0.0","","14.9","","","","","","","","0","3289",""
"630000","0.0","","16.8","","","","","","","","0","3285",""
"838000","0.0","","18.6","","","","","","","","0","3287",""
"1309000","0.0","","22.4","","","","","","","","0","3284",""
"1519000","0.0","","24.2","","","","","","","","0","3287",""
"1728000","0.0","","26.1","","","","","","","","0","3285",""
"1938000","0.0","","27.6","","","","","","","","0","3287",""
"2147000","0.0","","29.5","","","0.0","","","","","0","3285",""
"2612000","0.0","","32.5","","","0.0","","","","","0","3287",""
"2822000","0.0","","34.3","","","0.0","","","","","0","3286",""
"3030000","0.0","","35.8","","","0.0","","","","","0","3286",""
"3239000","0.0","","37.3","","","0.0","","","","","0","3285",""
"3448000","0.0","","38.8","","","0.0","","","","","0","3286",""
"3913000","0.0","","42.2","","","0.0","","","","","0","3285",""
"4123000","0.0","","43.7","","","0.0","","","","","0","3285",""
"4332000","0.0","","45.1","","","0.0","","","","","0","3284",""
"4541000","0.0","","46.6","","","0.0","","","","","0","3285",""
"4750000","0.0","","48.1","","","0.0","","","","","0","3284",""
"5215000","7.745373","","51.1","","","0.7745373","","","","","2357800","3285",""
"5424000","7.745373","","52.6","","","1.5490746","","","","","2357800","3285",""
"5634000","7.745373","","54.1","","","2.3236119","","","","","2357800","3285",""
"5843000","7.7430152","","55.6","","","3.09791342","","","","","2357800","3284",""
"6052000","7.745373","","57.1","","","3.87245072","","","","","2357800","3285",""
"6518000","7.7430152","","60.4","","","4.64675224","","","","","2357800","3284",""
"6727000","7.745373","","61.9","","","5.42128954","","","","","2357800","3285",""
"6937000","7.7430152","","63.4","","","6.19559106","","","","","2357800","3284",""
"7146000","7.745373","","64.6","","","6.9701283599999995","","","","","2357800","3285",""
"7356000","7.745373","","66.0","","","7.74466566","","","","","2357800","3285",""
"7763000","7.745373","","69.0","","","7.74466566","","","","","2357800","3285",""
"8029000","7.745373","","70.9","","","7.74466566","","","","","2357800","3285",""
"8239000","7.7477308","","72.4","","","7.74490144","","","","","2357800","3286",""
"8449000","7.745373","","73.9","","","7.745137219999999","","","","","2357800","3285",""
"8656000","7.745373","","75.4","","","7.745137219999999","","","","","2357800","3285",""
"9122000","7.7477308","","78.7","","","7.7456087799999995","","","","","2357800","3286",""
"9332000","7.745373","","80.2","","","7.7456087799999995","","","","","2357800","3285",""
"9541000","7.7477308","","81.7","","","7.746080339999999","","","","","2357800","3286",""
"9750000","7.745373","","83.2","","","7.746080339999999","","","","","2357800","3285",""
"9959000","7.7477308","","84.7","","","7.746316119999999","","","","","2357800","3286",""
"10367000","7.745373","","87.7","","","7.746316119999999","","","","","2357800","3285",""
"10634000","7.7477308","","89.6","","","7.746551899999998","","","","","2357800","3286",""
"10844000","7.745373","","91.1","","","7.746316119999999","","","","","2357800","3285",""
"11059000","7.7477308","","92.5","","","7.746551899999998","","","","","2357800","3286",""
"11268000","7.745373","","94.0","","","7.746551899999998","","","","","2357800","3285",""
"11675000","7.7477308","","97.0","","","7.746551899999998","","","","","2357800","3286",""
"11942000","7.745373","","98.9","","","7.746551899999998","","","","","2357800","3285",""
"12151000","7.7477308","","100.4","","","7.746551899999998","","","","","2357800","3286",""
"12360000","7.0716195","","101.9","","","7.679176549999998","","","","","2152700","3285",""
"12569000","7.0716195","","103.4","","","7.611565419999998","","","","","2152700","3285",""
"13033000","7.0716195","","107.5","","","7.544190069999997","","","","","2152700","3285",""
