Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.2","","","","","","","","0","3306",""
"209000","0.0","","9.7","","","","","","","","0","3289",""
"418000","0.0","","10.8","","","","","","","","0","3292",""
"627000","0.0","","12.3","","","","","","","","0","3286",""
"836000","0.0","","13.8","","","","","","","","0","3288",""
"1242000","0.0","","16.4","","","","","","","","0","3285",""
"1510000","0.0","","17.9","","","","","","","","0","3287",""
"1719000","0.0","","19.4","","","","","","","","0","3284",""
"1929000","0.0","","20.5","","","","","","","","0","3286",""
"2138000","0.0","","22.0","","","0.0","","","","","0","3285",""
"2603000","0.0","","25.0","","","0.0","","","","","0","3286",""
"2811000","0.0","","26.1","","","0.0","","","","","0","3285",""
"3021000","0.0","","27.6","","","0.0","","","","","0","3286",""
"3229000","0.0","","28.7","","","0.0","","","","","0","3285",""
"3439000","0.0","","30.2","","","0.0","","","","","0","3286",""
"3903000","0.0","","33.2","","","0.0","","","","","0","3285",""
"4113000","0.0","","34.7","","","0.0","","","","","0","3285",""
"4322000","0.0","","35.8","","","0.0","","","","","0","3284",""
"4531000","0.0","","37.3","","","0.0","","","","","0","3285",""
"4740000","0.0","","38.4","","","0.0","","","","","0","3285",""
"5148000","0.0","","41.0","","","0.0","","","","","0","3286",""
"5416000","0.0","","42.9","","","0.0","","","","","0","3285",""
"5624000","0.0","","44.0","","","0.0","","","","","0","3286",""
"5833000","0.0","","45.5","","","0.0","","","","","0","3285",""
"6042000","0.0","","47.0","","","0.0","","","","","0","3286",""
"6508000","6.3797985","","50.0","","","0.63797985","","","","","1942100","3285",""
"6718000","6.3797985","","51.1","","","1.2759597","","","","","1942100","3285",""
"6927000","6.3797985","","52.6","","","1.9139395499999998","","","","","1942100","3285",""
"7137000","6.3797985","","53.7","","","2.5519194","","","","","1942100","3285",""
"7352000","6.3797985","","55.2","","","3.18989925","","","","","1942100","3285",""
"7816000","6.3797985","","58.2","","","3.8278790999999996","","","","","1942100","3285",""
"8026000","6.3778564","","59.7","","","4.465664739999999","","","","","1942100","3284",""
"8235000","6.3797985","","60.8","","","5.10364459","","","","","1942100","3285",""
"8445000","6.3778564","","62.3","","","5.74143023","","","","","1942100","3284",""
"8654000","6.3797985","","63.5","","","6.3794100799999995","","","","","1942100","3285",""
"9061000","6.3797985","","66.1","","","6.379410079999999","","","","","1942100","3285",""
"9329000","6.3797985","","67.9","","","6.379410079999999","","","","","1942100","3285",""
"9538000","6.3797985","","69.1","","","6.379410079999999","","","","","1942100","3285",""
"9747000","6.3797985","","70.6","","","6.379410079999999","","","","","1942100","3285",""
"9956000","6.3797985","","72.0","","","6.379410079999999","","","","","1942100","3285",""
"10420000","6.3797985","","74.7","","","6.379410079999999","","","","","1942100","3285",""
"10630000","6.3797985","","76.2","","","6.379604289999999","","","","","1942100","3285",""
"10838000","6.3797985","","77.7","","","6.37960429","","","","","1942100","3285",""
"11048000","6.3797985","","78.8","","","6.3797985","","","","","1942100","3285",""
"11256000","6.3797985","","80.3","","","6.379798500000001","","","","","1942100","3285",""
"11722000","6.3778564","","83.3","","","6.379604290000001","","","","","1942100","3284",""
"11931000","6.3797985","","84.4","","","6.379604290000001","","","","","1942100","3285",""
"12141000","6.3797985","","85.9","","","6.379604290000001","","","","","1942100","3285",""
"12351000","6.3797985","","87.0","","","6.379604290000001","","","","","1942100","3285",""
"12561000","6.3797985","","88.5","","","6.379604290000001","","","","","1942100","3285",""
"13026000","6.3778564","","91.5","","","6.379410080000001","","","","","1942100","3284",""
"13234000","6.3797985","","92.6","","","6.379410080000001","","","","","1942100","3285",""
"13444000","6.3778564","","94.1","","","6.379215870000002","","","","","1942100","3284",""
"13653000","6.3797985","","95.6","","","6.379215870000002","","","","","1942100","3285",""
"13862000","6.3797985","","96.7","","","6.379215870000002","","","","","1942100","3285",""
"14327000","6.3797985","","99.7","","","6.379410080000002","","","","","1942100","3285",""
"14536000","6.345963","","101.2","","","6.3760265300000025","","","","","1931800","3285",""
"14745000","6.345963","","102.3","","","6.372642980000003","","","","","1931800","3285",""
"14954000","6.345963","","103.8","","","6.369259430000003","","","","","1931800","3285",""
"15164000","6.345963","","104.9","","","6.3658758800000035","","","","","1931800","3285",""
"15628000","6.345963","","107.9","","","6.362686540000004","","","","","1931800","3285",""
"15838000","6.345963","","109.4","","","6.359302990000004","","","","","1931800","3285",""
"16047000","6.345963","","110.9","","","6.356113650000005","","","","","1931800","3285",""
"16257000","6.345963","","112.0","","","6.352730100000004","","","","","1931800","3285",""
"16467000","6.345963","","113.5","","","6.349346550000005","","","","","1931800","3285",""
"16932000","6.345963","","116.5","","","6.345963000000006","","","","","1931800","3285",""
"17141000","6.345963","","117.6","","","6.3459630000000065","","","","","1931800","3285",""
"17356000","6.345963","","119.1","","","6.3459630000000065","","","","","1931800","3285",""
"17565000","6.345963","","120.6","","","6.3459630000000065","","","","","1931800","3285",""
"17775000","6.345963","","121.7","","","6.3459630000000065","","","","","1931800","3285",""
"18243000","6.345963","","124.7","","","6.3459630000000065","","","","","1931800","3285",""
"18452000","6.345963","","126.2","","","6.3459630000000065","","","","","1931800","3285",""
