Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3269",""
"210000","0.0","","8.5","","","","","","","","0","3286",""
"420000","0.0","","10.0","","","","","","","","0","3281",""
"629000","0.0","","11.2","","","","","","","","0","3285",""
"838000","0.0","","12.3","","","","","","","","0","3281",""
"1244000","0.0","","14.5","","","","","","","","0","3285",""
"1511000","0.0","","16.4","","","","","","","","0","3284",""
"1721000","0.0","","17.5","","","","","","","","0","3285",""
"1930000","0.0","","18.6","","","","","","","","0","3284",""
"2140000","0.0","","20.1","","","0.0","","","","","0","3286",""
"2604000","0.0","","22.7","","","0.0","","","","","0","3284",""
"2814000","0.0","","23.9","","","0.0","","","","","0","3285",""
"3023000","0.0","","25.0","","","0.0","","","","","0","3284",""
"3233000","0.0","","26.5","","","0.0","","","","","0","3285",""
"3441000","0.0","","27.6","","","0.0","","","","","0","3284",""
"3906000","0.0","","30.2","","","0.0","","","","","0","3286",""
"4116000","0.0","","31.7","","","0.0","","","","","0","3285",""
"4326000","0.0","","32.8","","","0.0","","","","","0","3286",""
"4535000","0.0","","33.9","","","0.0","","","","","0","3285",""
"4745000","0.0","","35.1","","","0.0","","","","","0","3285",""
"5145000","0.0","","37.7","","","0.0","","","","","0","3285",""
"5419000","0.0","","39.2","","","0.0","","","","","0","3285",""
"5629000","0.0","","40.3","","","0.0","","","","","0","3285",""
"5838000","0.0","","41.8","","","0.0","","","","","0","3285",""
"6048000","0.0","","42.9","","","0.0","","","","","0","3285",""
"6512000","0.0","","45.5","","","0.0","","","","","0","3285",""
"6723000","0.0","","47.0","","","0.0","","","","","0","3285",""
"6932000","0.0","","48.1","","","0.0","","","","","0","3285",""
"7147000","0.0","","49.3","","","0.0","","","","","0","3285",""
"7356000","5.7994614","","50.4","","","0.57994614","","","","","1764900","3286",""
"7821000","5.7976965","","53.4","","","1.15971579","","","","","1764900","3285",""
"8030000","5.7994614","","54.5","","","1.7396619299999998","","","","","1764900","3286",""
"8239000","5.7976965","","55.6","","","2.31943158","","","","","1764900","3285",""
"8448000","5.7994614","","57.1","","","2.8993777199999995","","","","","1764900","3286",""
"8658000","5.7976965","","58.2","","","3.4791473699999997","","","","","1764900","3285",""
"9123000","5.7994614","","60.8","","","4.059093509999999","","","","","1764900","3286",""
"9333000","5.7994614","","61.9","","","4.639039649999999","","","","","1764900","3286",""
"9542000","5.7994614","","63.4","","","5.21898579","","","","","1764900","3286",""
"9751000","5.7976965","","64.6","","","5.798755439999999","","","","","1764900","3285",""
"9961000","5.7994614","","65.7","","","5.798755439999999","","","","","1764900","3286",""
"10425000","5.7976965","","68.7","","","5.798755439999999","","","","","1764900","3285",""
"10635000","5.7994614","","69.8","","","5.798755439999999","","","","","1764900","3286",""
"10845000","5.7976965","","70.9","","","5.798755439999999","","","","","1764900","3285",""
"11054000","5.7994614","","72.4","","","5.798755439999999","","","","","1764900","3286",""
"11264000","5.7976965","","73.5","","","5.798755439999999","","","","","1764900","3285",""
"11729000","5.7976965","","76.1","","","5.79857895","","","","","1764900","3285",""
"11938000","5.7976965","","77.3","","","5.79840246","","","","","1764900","3285",""
"12146000","5.7976965","","78.8","","","5.79822597","","","","","1764900","3285",""
"12355000","5.7976965","","79.9","","","5.79822597","","","","","1764900","3285",""
"12564000","5.7976965","","81.0","","","5.79804948","","","","","1764900","3285",""
"13029000","5.7976965","","84.0","","","5.79804948","","","","","1764900","3285",""
"13237000","5.7976965","","85.1","","","5.79787299","","","","","1764900","3285",""
"13447000","5.7976965","","86.2","","","5.79787299","","","","","1764900","3285",""
"13656000","5.7976965","","87.3","","","5.797696500000001","","","","","1764900","3285",""
"13865000","5.7976965","","88.8","","","5.797696500000001","","","","","1764900","3285",""
"14272000","5.7976965","","91.1","","","5.797696500000001","","","","","1764900","3285",""
"14540000","5.7976965","","92.6","","","5.797696500000001","","","","","1764900","3285",""
"14749000","5.7976965","","94.1","","","5.797696500000001","","","","","1764900","3285",""
"14959000","5.7976965","","95.2","","","5.797696500000001","","","","","1764900","3285",""
"15168000","5.7976965","","96.3","","","5.797696500000001","","","","","1764900","3285",""
"15632000","5.7976965","","98.9","","","5.797696500000001","","","","","1764900","3285",""
"15841000","5.8719375","","100.4","","","5.8051206","","","","","1787500","3285",""
"16050000","5.8719375","","101.5","","","5.812544700000001","","","","","1787500","3285",""
"16259000","5.8719375","","102.7","","","5.819968800000001","","","","","1787500","3285",""
"16469000","5.8719375","","104.2","","","5.827392900000001","","","","","1787500","3285",""
"16934000","5.8719375","","106.8","","","5.834817000000001","","","","","1787500","3285",""
"17149000","5.8719375","","107.9","","","5.842241100000001","","","","","1787500","3285",""
"17358000","5.8719375","","109.0","","","5.849665200000001","","","","","1787500","3285",""
"17568000","5.8719375","","110.5","","","5.857089300000001","","","","","1787500","3285",""
"17777000","5.8719375","","111.6","","","5.864513400000002","","","","","1787500","3285",""
"18177000","5.8719375","","113.9","","","5.871937500000001","","","","","1787500","3285",""
"18451000","5.8719375","","115.7","","","5.871937500000001","","","","","1787500","3285",""
"18661000","5.8719375","","116.9","","","5.871937500000001","","","","","1787500","3285",""
