Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.5","","","","","","","","0","3297",""
"208000","0.0","","10.0","","","","","","","","0","3284",""
"417000","0.0","","11.2","","","","","","","","0","3287",""
"626000","0.0","","12.7","","","","","","","","0","3283",""
"835000","0.0","","13.8","","","","","","","","0","3288",""
"1301000","0.0","","16.8","","","","","","","","0","3285",""
"1510000","0.0","","18.3","","","","","","","","0","3286",""
"1720000","0.0","","19.4","","","","","","","","0","3284",""
"1928000","0.0","","20.9","","","","","","","","0","3285",""
"2138000","0.0","","22.4","","","0.0","","","","","0","3283",""
"2603000","0.0","","25.4","","","0.0","","","","","0","3285",""
"2812000","0.0","","26.5","","","0.0","","","","","0","3284",""
"3021000","0.0","","28.0","","","0.0","","","","","0","3285",""
"3231000","0.0","","29.1","","","0.0","","","","","0","3284",""
"3440000","0.0","","30.6","","","0.0","","","","","0","3284",""
"3904000","0.0","","33.6","","","0.0","","","","","0","3283",""
"4119000","0.0","","35.1","","","0.0","","","","","0","3284",""
"4328000","0.0","","36.2","","","0.0","","","","","0","3283",""
"4537000","0.0","","37.7","","","0.0","","","","","0","3284",""
"4747000","0.0","","39.2","","","0.0","","","","","0","3283",""
"5154000","0.0","","41.8","","","0.0","","","","","0","3284",""
"5422000","0.0","","43.3","","","0.0","","","","","0","3284",""
"5631000","0.0","","44.8","","","0.0","","","","","0","3284",""
"5840000","0.0","","45.9","","","0.0","","","","","0","3284",""
"6048000","0.0","","47.4","","","0.0","","","","","0","3285",""
"6456000","0.0","","50.0","","","0.0","","","","","0","3284",""
"6723000","6.4392672","","51.9","","","0.64392672","","","","","1960800","3284",""
"6932000","6.4392672","","53.0","","","1.28785344","","","","","1960800","3284",""
"7141000","6.441228","","54.5","","","1.9319762399999998","","","","","1960800","3285",""
"7350000","6.4392672","","55.6","","","2.5759029599999996","","","","","1960800","3284",""
"7820000","6.441228","","58.6","","","3.22002576","","","","","1960800","3285",""
"8030000","6.4392672","","60.1","","","3.8639524800000005","","","","","1960800","3284",""
"8239000","6.441228","","61.6","","","4.508075280000001","","","","","1960800","3285",""
"8448000","6.441228","","62.7","","","5.152198080000001","","","","","1960800","3285",""
"8657000","6.441228","","64.2","","","5.7963208800000015","","","","","1960800","3285",""
"9121000","6.4392672","","67.2","","","6.440247600000001","","","","","1960800","3284",""
"9330000","6.441228","","68.3","","","6.44044368","","","","","1960800","3285",""
"9540000","6.4392672","","69.8","","","6.44044368","","","","","1960800","3284",""
"9749000","6.441228","","71.3","","","6.44044368","","","","","1960800","3285",""
"9958000","6.4392672","","72.4","","","6.44044368","","","","","1960800","3284",""
"10364000","6.441228","","75.0","","","6.44044368","","","","","1960800","3285",""
"10631000","6.4392672","","76.9","","","6.44044368","","","","","1960800","3284",""
"10840000","6.441228","","78.0","","","6.44044368","","","","","1960800","3285",""
"11050000","6.4392672","","79.5","","","6.440247600000001","","","","","1960800","3284",""
"11259000","6.441228","","81.0","","","6.440247600000001","","","","","1960800","3285",""
"11667000","6.4392672","","83.6","","","6.440247600000001","","","","","1960800","3284",""
"11934000","6.441228","","85.1","","","6.440247600000001","","","","","1960800","3285",""
"12144000","6.4392672","","86.6","","","6.440247600000001","","","","","1960800","3284",""
"12352000","6.441228","","87.8","","","6.440247600000001","","","","","1960800","3285",""
"12561000","6.441228","","89.2","","","6.44044368","","","","","1960800","3285",""
"13026000","6.4392672","","92.2","","","6.440247600000001","","","","","1960800","3284",""
"13236000","6.4392672","","93.7","","","6.440247600000001","","","","","1960800","3284",""
"13445000","6.441228","","94.8","","","6.440247600000001","","","","","1960800","3285",""
"13654000","6.441228","","96.3","","","6.44044368","","","","","1960800","3285",""
"13863000","6.4392672","","97.8","","","6.440247600000001","","","","","1960800","3284",""
"14329000","6.4392672","","100.5","","","6.440247600000001","","","","","1960800","3284",""
"14538000","6.4392672","","101.9","","","6.440051520000002","","","","","1960800","3284",""
"14747000","6.3942764","","103.4","","","6.43555244","","","","","1947100","3284",""
"14956000","6.3962235","","104.6","","","6.431051990000002","","","","","1947100","3285",""
"15167000","6.3962235","","106.1","","","6.426551540000003","","","","","1947100","3285",""
"15631000","6.3962235","","109.0","","","6.422247170000003","","","","","1947100","3285",""
"15841000","6.3962235","","110.5","","","6.417942800000003","","","","","1947100","3285",""
