Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","13.8","","","","","","","","0","3270",""
"209000","0.0","","16.1","","","","","","","","0","3282",""
"419000","0.0","","18.3","","","","","","","","0","3277",""
"628000","0.0","","20.6","","","","","","","","0","3281",""
"838000","0.0","","22.4","","","","","","","","0","3279",""
"1307000","0.0","","28.4","","","","","","","","0","3283",""
"1517000","0.0","","31.1","","","","","","","","0","3282",""
"1726000","0.0","","33.3","","","","","","","","0","3284",""
"1934000","0.0","","35.6","","","","","","","","0","3282",""
"2144000","0.0","","37.8","","","0.0","","","","","0","3285",""
"2534000","0.0","","42.3","","","0.0","","","","","0","3283",""
"2810000","0.0","","44.9","","","0.0","","","","","0","3284",""
"3020000","0.0","","47.5","","","0.0","","","","","0","3283",""
"3229000","11.0257016","","50.2","","","1.10257016","","","","","3357400","3284",""
"3438000","11.0223442","","52.0","","","2.20480458","","","","","3357400","3283",""
"3909000","11.0257016","","57.3","","","3.3073747399999993","","","","","3357400","3284",""
"4119000","11.0257016","","59.2","","","4.409944899999999","","","","","3357400","3284",""
"4328000","11.0257016","","61.4","","","5.512515059999999","","","","","3357400","3284",""
"4538000","11.0257016","","63.7","","","6.615085219999999","","","","","3357400","3284",""
"4748000","11.029059","","65.9","","","7.717991119999999","","","","","3357400","3285",""
"5212000","11.0257016","","70.8","","","8.82056128","","","","","3357400","3284",""
"5422000","11.029059","","73.0","","","9.92346718","","","","","3357400","3285",""
"5632000","11.029059","","75.3","","","11.02637308","","","","","3357400","3285",""
"5841000","11.0324164","","77.5","","","11.02704456","","","","","3357400","3286",""
"6050000","11.029059","","79.8","","","11.027716040000001","","","","","3357400","3285",""
"6515000","11.0324164","","84.6","","","11.02838752","","","","","3357400","3286",""
"6725000","11.0324164","","86.9","","","11.029059","","","","","3357400","3286",""
"6935000","11.0357738","","89.1","","","11.03006622","","","","","3357400","3287",""
"7144000","11.0324164","","91.4","","","11.0307377","","","","","3357400","3286",""
"7354000","11.0324164","","93.6","","","11.03107344","","","","","3357400","3286",""
"7819000","11.0324164","","98.5","","","11.03174492","","","","","3357400","3286",""
"8028000","10.4941696","","100.7","","","10.978255979999998","","","","","3193600","3286",""
"8238000","10.4941696","","103.0","","","10.924767039999999","","","","","3193600","3286",""
