Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.2","","","","","","","","0","3269",""
"209000","0.0","","9.3","","","","","","","","0","3281",""
"419000","0.0","","10.8","","","","","","","","0","3278",""
"629000","0.0","","11.9","","","","","","","","0","3282",""
"838000","0.0","","13.0","","","","","","","","0","3280",""
"1303000","0.0","","16.0","","","","","","","","0","3283",""
"1512000","0.0","","17.1","","","","","","","","0","3282",""
"1721000","0.0","","18.6","","","","","","","","0","3284",""
"1930000","0.0","","19.7","","","","","","","","0","3282",""
"2139000","0.0","","21.2","","","0.0","","","","","0","3284",""
"2538000","0.0","","23.5","","","0.0","","","","","0","3282",""
"2812000","0.0","","25.3","","","0.0","","","","","0","3283",""
"3027000","0.0","","26.4","","","0.0","","","","","0","3282",""
"3236000","0.0","","27.9","","","0.0","","","","","0","3283",""
"3445000","0.0","","29.1","","","0.0","","","","","0","3282",""
"3852000","0.0","","31.7","","","0.0","","","","","0","3283",""
"4119000","0.0","","33.2","","","0.0","","","","","0","3282",""
"4328000","0.0","","34.3","","","0.0","","","","","0","3283",""
"4538000","0.0","","35.8","","","0.0","","","","","0","3283",""
"4746000","0.0","","36.9","","","0.0","","","","","0","3283",""
"5212000","0.0","","39.9","","","0.0","","","","","0","3283",""
"5421000","0.0","","41.0","","","0.0","","","","","0","3283",""
"5632000","0.0","","42.1","","","0.0","","","","","0","3283",""
"5841000","0.0","","43.6","","","0.0","","","","","0","3283",""
"6050000","0.0","","44.7","","","0.0","","","","","0","3283",""
"6515000","0.0","","47.7","","","0.0","","","","","0","3284",""
"6725000","0.0","","48.8","","","0.0","","","","","0","3283",""
"6935000","6.0435452","","50.3","","","0.60435452","","","","","1840300","3284",""
"7143000","6.0417049","","51.4","","","1.20852501","","","","","1840300","3283",""
"7353000","6.0435452","","52.6","","","1.81287953","","","","","1840300","3284",""
"7818000","6.0435452","","55.5","","","2.4172340500000002","","","","","1840300","3284",""
"8027000","6.0435452","","56.7","","","3.02158857","","","","","1840300","3284",""
"8237000","6.0435452","","58.2","","","3.62594309","","","","","1840300","3284",""
"8446000","6.0435452","","59.3","","","4.230297609999999","","","","","1840300","3284",""
"8655000","6.0435452","","60.8","","","4.834652129999999","","","","","1840300","3284",""
"9120000","6.0435452","","63.4","","","5.439006649999999","","","","","1840300","3284",""
"9329000","6.0435452","","64.9","","","6.043361169999999","","","","","1840300","3284",""
"9538000","6.0435452","","66.0","","","6.043361169999999","","","","","1840300","3284",""
"9749000","6.0435452","","67.1","","","6.043545199999999","","","","","1840300","3284",""
"9957000","6.0435452","","68.6","","","6.043545199999999","","","","","1840300","3284",""
"10422000","6.0435452","","71.2","","","6.043545199999999","","","","","1840300","3284",""
"10631000","6.0435452","","72.7","","","6.043545199999999","","","","","1840300","3284",""
"10841000","6.0435452","","73.8","","","6.043545199999999","","","","","1840300","3284",""
"11049000","6.0435452","","75.3","","","6.043545199999999","","","","","1840300","3284",""
"11260000","6.0435452","","76.4","","","6.043545199999999","","","","","1840300","3284",""
"11667000","6.0435452","","79.1","","","6.043545199999999","","","","","1840300","3284",""
"11875000","6.0435452","","80.2","","","6.043545199999999","","","","","1840300","3284",""
"12084000","6.0435452","","81.3","","","6.043545199999999","","","","","1840300","3284",""
"12294000","6.0435452","","82.8","","","6.043545199999999","","","","","1840300","3284",""
"12561000","6.0435452","","84.3","","","6.043545199999999","","","","","1840300","3284",""
"12974000","6.0435452","","86.9","","","6.043545199999999","","","","","1840300","3284",""
"13183000","6.0435452","","88.0","","","6.043545199999999","","","","","1840300","3284",""
"13393000","6.0435452","","89.5","","","6.043545199999999","","","","","1840300","3284",""
"13660000","6.0435452","","91.0","","","6.043545199999999","","","","","1840300","3284",""
"13870000","6.0435452","","92.1","","","6.043545199999999","","","","","1840300","3284",""
"14277000","6.0435452","","94.7","","","6.043545199999999","","","","","1840300","3284",""
"14487000","6.0435452","","95.8","","","6.043545199999999","","","","","1840300","3284",""
"14696000","6.0435452","","97.3","","","6.043545199999999","","","","","1840300","3284",""
"14963000","6.0435452","","98.8","","","6.043545199999999","","","","","1840300","3284",""
"15173000","6.0402612","","100.3","","","6.043216799999999","","","","","1839300","3284",""
