Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.2","","","","","","","","0","3280",""
"210000","0.0","","9.7","","","","","","","","0","3288",""
"418000","0.0","","10.8","","","","","","","","0","3284",""
"628000","0.0","","12.3","","","","","","","","0","3286",""
"838000","0.0","","13.8","","","","","","","","0","3283",""
"1250000","0.0","","16.4","","","","","","","","0","3285",""
"1517000","0.0","","17.9","","","","","","","","0","3284",""
"1727000","0.0","","19.4","","","","","","","","0","3285",""
"1935000","0.0","","20.9","","","","","","","","0","3284",""
"2145000","0.0","","22.0","","","0.0","","","","","0","3285",""
"2552000","0.0","","24.6","","","0.0","","","","","0","3283",""
"2818000","0.0","","26.5","","","0.0","","","","","0","3284",""
"3028000","0.0","","28.3","","","0.0","","","","","0","3283",""
"3237000","0.0","","29.8","","","0.0","","","","","0","3284",""
"3446000","0.0","","30.9","","","0.0","","","","","0","3283",""
"3853000","0.0","","33.9","","","0.0","","","","","0","3284",""
"4121000","0.0","","35.8","","","0.0","","","","","0","3284",""
"4330000","0.0","","37.7","","","0.0","","","","","0","3284",""
"4539000","0.0","","39.2","","","0.0","","","","","0","3284",""
"4749000","0.0","","40.3","","","0.0","","","","","0","3285",""
"5156000","0.0","","43.3","","","0.0","","","","","0","3284",""
"5423000","0.0","","45.1","","","0.0","","","","","0","3285",""
"5632000","0.0","","47.0","","","0.0","","","","","0","3284",""
"5842000","0.0","","48.1","","","0.0","","","","","0","3285",""
"6109000","0.0","","50.0","","","0.0","","","","","0","3284",""
"6516000","6.705342","","52.6","","","0.6705342","","","","","2041200","3285",""
"6785000","6.7033008","","54.1","","","1.34086428","","","","","2041200","3284",""
"6994000","6.705342","","56.0","","","2.0113984799999995","","","","","2041200","3285",""
"7204000","6.7033008","","57.1","","","2.68172856","","","","","2041200","3284",""
"7412000","6.705342","","58.6","","","3.35226276","","","","","2041200","3285",""
"7876000","6.705342","","61.6","","","4.02279696","","","","","2041200","3285",""
"8086000","6.705342","","63.1","","","4.6933311600000005","","","","","2041200","3285",""
"8296000","6.705342","","64.2","","","5.36386536","","","","","2041200","3285",""
"8505000","6.705342","","65.7","","","6.034399560000001","","","","","2041200","3285",""
"8714000","6.705342","","67.2","","","6.70493376","","","","","2041200","3285",""
"9179000","6.705342","","69.8","","","6.70493376","","","","","2041200","3285",""
"9389000","6.705342","","71.3","","","6.7051378800000005","","","","","2041200","3285",""
"9599000","6.705342","","72.8","","","6.7051378800000005","","","","","2041200","3285",""
"9808000","6.705342","","73.9","","","6.705342000000002","","","","","2041200","3285",""
"10017000","6.705342","","75.4","","","6.705342000000002","","","","","2041200","3285",""
"10482000","6.705342","","78.4","","","6.705342000000002","","","","","2041200","3285",""
"10691000","6.705342","","79.5","","","6.705342000000002","","","","","2041200","3285",""
"10900000","6.705342","","81.0","","","6.705342000000002","","","","","2041200","3285",""
