Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.8","","","","","","","","0","3298",""
"210000","0.0","","8.9","","","","","","","","0","3286",""
"419000","0.0","","10.4","","","","","","","","0","3290",""
"629000","0.0","","11.5","","","","","","","","0","3285",""
"838000","0.0","","12.6","","","","","","","","0","3287",""
"1303000","0.0","","15.2","","","","","","","","0","3284",""
"1511000","0.0","","16.4","","","","","","","","0","3287",""
"1721000","0.0","","17.8","","","","","","","","0","3285",""
"1930000","0.0","","19.0","","","","","","","","0","3286",""
"2140000","0.0","","20.1","","","0.0","","","","","0","3284",""
"2604000","0.0","","22.7","","","0.0","","","","","0","3285",""
"2814000","0.0","","23.8","","","0.0","","","","","0","3284",""
"3023000","0.0","","25.3","","","0.0","","","","","0","3285",""
"3232000","0.0","","26.4","","","0.0","","","","","0","3284",""
"3442000","0.0","","27.5","","","0.0","","","","","0","3285",""
"3907000","0.0","","30.1","","","0.0","","","","","0","3283",""
"4116000","0.0","","31.3","","","0.0","","","","","0","3285",""
"4325000","0.0","","32.4","","","0.0","","","","","0","3284",""
"4535000","0.0","","33.9","","","0.0","","","","","0","3285",""
"4744000","0.0","","35.0","","","0.0","","","","","0","3284",""
"5209000","0.0","","37.6","","","0.0","","","","","0","3285",""
"5418000","0.0","","38.7","","","0.0","","","","","0","3284",""
"5627000","0.0","","39.8","","","0.0","","","","","0","3284",""
"5837000","0.0","","41.3","","","0.0","","","","","0","3284",""
"6046000","0.0","","42.4","","","0.0","","","","","0","3284",""
"6511000","0.0","","45.1","","","0.0","","","","","0","3284",""
"6720000","0.0","","46.2","","","0.0","","","","","0","3284",""
"6930000","0.0","","47.3","","","0.0","","","","","0","3284",""
"7139000","0.0","","48.8","","","0.0","","","","","0","3284",""
"7348000","5.7098908","","49.9","","","0.57098908","","","","","1738700","3284",""
"7761000","5.7098908","","52.1","","","1.14197816","","","","","1738700","3284",""
"8028000","5.7098908","","53.6","","","1.71296724","","","","","1738700","3284",""
"8238000","5.7098908","","54.7","","","2.28395632","","","","","1738700","3284",""
"8447000","5.7098908","","56.2","","","2.8549454","","","","","1738700","3284",""
"8656000","5.7098908","","57.4","","","3.42593448","","","","","1738700","3284",""
"9121000","5.7098908","","60.0","","","3.9969235600000004","","","","","1738700","3284",""
"9330000","5.7098908","","61.1","","","4.56791264","","","","","1738700","3284",""
"9540000","5.7098908","","62.2","","","5.13890172","","","","","1738700","3284",""
"9750000","5.7098908","","63.3","","","5.709890799999999","","","","","1738700","3284",""
"9960000","5.7098908","","64.8","","","5.709890799999999","","","","","1738700","3284",""
"10425000","5.7098908","","67.4","","","5.709890799999999","","","","","1738700","3284",""
"10633000","5.7098908","","68.5","","","5.709890799999999","","","","","1738700","3284",""
"10842000","5.7098908","","69.7","","","5.709890799999999","","","","","1738700","3284",""
"11052000","5.7098908","","70.8","","","5.709890799999999","","","","","1738700","3284",""
"11261000","5.7098908","","72.3","","","5.709890799999999","","","","","1738700","3284",""
"11651000","5.7098908","","74.5","","","5.709890799999999","","","","","1738700","3284",""
"11927000","5.7098908","","76.0","","","5.709890799999999","","","","","1738700","3284",""
"12137000","5.7098908","","77.1","","","5.709890799999999","","","","","1738700","3284",""
"12345000","5.7098908","","78.2","","","5.709890799999999","","","","","1738700","3284",""
"12554000","5.7098908","","79.4","","","5.709890799999999","","","","","1738700","3284",""
"13019000","5.7098908","","82.3","","","5.709890799999999","","","","","1738700","3284",""
"13229000","5.7098908","","83.5","","","5.709890799999999","","","","","1738700","3284",""
"13439000","5.7098908","","84.6","","","5.709890799999999","","","","","1738700","3284",""
"13649000","5.7098908","","85.7","","","5.709890799999999","","","","","1738700","3284",""
"13858000","5.7098908","","86.8","","","5.709890799999999","","","","","1738700","3284",""
"14264000","5.7098908","","89.4","","","5.709890799999999","","","","","1738700","3284",""
"14531000","5.7098908","","90.9","","","5.709890799999999","","","","","1738700","3284",""
"14741000","5.7098908","","92.0","","","5.709890799999999","","","","","1738700","3284",""
"14950000","5.7098908","","93.1","","","5.709890799999999","","","","","1738700","3284",""
"15160000","5.7098908","","94.3","","","5.709890799999999","","","","","1738700","3284",""
"15625000","5.7098908","","97.2","","","5.709890799999999","","","","","1738700","3284",""
"15833000","5.7098908","","98.4","","","5.709890799999999","","","","","1738700","3284",""
"16042000","5.7098908","","99.5","","","5.709890799999999","","","","","1738700","3284",""
"16251000","5.6668704","","100.6","","","5.7055887599999995","","","","","1725600","3284",""
"16459000","5.6668704","","101.7","","","5.701286719999999","","","","","1725600","3284",""
"16924000","5.6668704","","104.3","","","5.696984679999998","","","","","1725600","3284",""
"17134000","5.6668704","","105.8","","","5.692682639999998","","","","","1725600","3284",""
"17343000","5.6668704","","106.9","","","5.688380599999998","","","","","1725600","3284",""
"17558000","5.6668704","","108.1","","","5.684078559999998","","","","","1725600","3284",""
"17768000","5.6668704","","109.2","","","5.679776519999997","","","","","1725600","3284",""
"18232000","5.6668704","","111.8","","","5.6754744799999965","","","","","1725600","3284",""
"18442000","5.668596","","113.3","","","5.671344999999997","","","","","1725600","3285",""
"18650000","5.6668704","","114.4","","","5.667042959999996","","","","","1725600","3284",""
"18860000","5.6668704","","115.5","","","5.667042959999996","","","","","1725600","3284",""
"19070000","5.668596","","116.6","","","5.6672155199999965","","","","","1725600","3285",""
"19477000","5.668596","","118.9","","","5.667388079999997","","","","","1725600","3285",""
"19745000","5.668596","","120.7","","","5.667560639999996","","","","","1725600","3285",""
"19954000","5.668596","","121.9","","","5.667733199999996","","","","","1725600","3285",""
"20163000","5.668596","","123.0","","","5.6679057599999965","","","","","1725600","3285",""
"20373000","5.668596","","124.1","","","5.668078319999997","","","","","1725600","3285",""
"20837000","5.668596","","126.7","","","5.668250879999997","","","","","1725600","3285",""
"21046000","5.668596","","127.8","","","5.668250879999997","","","","","1725600","3285",""
"21255000","5.668596","","129.3","","","5.668423439999996","","","","","1725600","3285",""
"21464000","5.668596","","130.4","","","5.668595999999996","","","","","1725600","3285",""
"21673000","5.668596","","131.5","","","5.668595999999996","","","","","1725600","3285",""
"22081000","5.668596","","133.8","","","5.668595999999996","","","","","1725600","3285",""
"22349000","5.668596","","135.3","","","5.668595999999996","","","","","1725600","3285",""
"22558000","5.668596","","136.8","","","5.668595999999996","","","","","1725600","3285",""
"22767000","5.668596","","137.9","","","5.668595999999996","","","","","1725600","3285",""
"22977000","5.668596","","139.4","","","5.668595999999996","","","","","1725600","3285",""
"23447000","5.668596","","142.4","","","5.668595999999996","","","","","1725600","3285",""
