Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3273",""
"266000","0.0","","9.3","","","","","","","","0","3286",""
"476000","0.0","","10.4","","","","","","","","0","3280",""
"684000","0.0","","11.5","","","","","","","","0","3283",""
"894000","0.0","","12.6","","","","","","","","0","3281",""
"1359000","0.0","","15.6","","","","","","","","0","3284",""
"1568000","0.0","","16.7","","","","","","","","0","3281",""
"1777000","0.0","","17.8","","","","","","","","0","3283",""
"1985000","0.0","","19.0","","","","","","","","0","3282",""
"2195000","0.0","","20.5","","","0.0","","","","","0","3284",""
"2659000","0.0","","23.1","","","0.0","","","","","0","3282",""
"2868000","0.0","","24.2","","","0.0","","","","","0","3284",""
"3082000","0.0","","25.7","","","0.0","","","","","0","3282",""
"3292000","0.0","","26.8","","","0.0","","","","","0","3283",""
"3501000","0.0","","27.9","","","0.0","","","","","0","3282",""
"3965000","0.0","","30.5","","","0.0","","","","","0","3284",""
"4175000","0.0","","32.0","","","0.0","","","","","0","3283",""
"4384000","0.0","","33.1","","","0.0","","","","","0","3284",""
"4593000","0.0","","34.3","","","0.0","","","","","0","3283",""
"4803000","0.0","","35.4","","","0.0","","","","","0","3283",""
"5267000","0.0","","38.4","","","0.0","","","","","0","3283",""
"5476000","0.0","","39.5","","","0.0","","","","","0","3283",""
"5686000","0.0","","40.6","","","0.0","","","","","0","3283",""
"5895000","0.0","","41.7","","","0.0","","","","","0","3283",""
"6105000","0.0","","43.2","","","0.0","","","","","0","3283",""
"6570000","0.0","","45.8","","","0.0","","","","","0","3283",""
"6778000","0.0","","46.9","","","0.0","","","","","0","3283",""
"6987000","0.0","","48.0","","","0.0","","","","","0","3283",""
"7197000","0.0","","49.5","","","0.0","","","","","0","3283",""
"7406000","5.7925252","","50.7","","","0.57925252","","","","","1764400","3283",""
"7813000","5.7925252","","52.9","","","1.15850504","","","","","1764400","3283",""
"8080000","5.7942896","","54.8","","","1.7379339999999999","","","","","1764400","3284",""
"8289000","5.7925252","","55.9","","","2.31718652","","","","","1764400","3283",""
"8498000","5.7925252","","57.0","","","2.8964390399999997","","","","","1764400","3283",""
"8707000","5.7925252","","58.1","","","3.47569156","","","","","1764400","3283",""
"9173000","5.7942896","","61.1","","","4.05512052","","","","","1764400","3284",""
"9381000","5.7925252","","62.2","","","4.63437304","","","","","1764400","3283",""
"9591000","5.7925252","","63.3","","","5.21362556","","","","","1764400","3283",""
"9801000","5.7925252","","64.5","","","5.7928780799999995","","","","","1764400","3283",""
"10010000","5.7942896","","66.0","","","5.79305452","","","","","1764400","3284",""
"10474000","5.7925252","","68.6","","","5.79305452","","","","","1764400","3283",""
"10684000","5.7942896","","69.7","","","5.79305452","","","","","1764400","3284",""
"10894000","5.7925252","","70.8","","","5.79305452","","","","","1764400","3283",""
"11103000","5.7942896","","72.3","","","5.79323096","","","","","1764400","3284",""
"11312000","5.7925252","","73.4","","","5.79323096","","","","","1764400","3283",""
"11719000","5.7942896","","75.6","","","5.79323096","","","","","1764400","3284",""
"11987000","5.7942896","","77.5","","","5.7934073999999995","","","","","1764400","3284",""
"12196000","5.7942896","","78.6","","","5.793583839999999","","","","","1764400","3284",""
"12405000","5.7942896","","79.7","","","5.793760279999999","","","","","1764400","3284",""
"12614000","5.7942896","","80.9","","","5.793760279999999","","","","","1764400","3284",""
"13084000","5.7942896","","83.8","","","5.79393672","","","","","1764400","3284",""
"13294000","5.7942896","","85.0","","","5.79393672","","","","","1764400","3284",""
"13503000","5.7942896","","86.1","","","5.794113159999999","","","","","1764400","3284",""
"13712000","5.7942896","","87.6","","","5.794113159999999","","","","","1764400","3284",""
"13922000","5.7942896","","88.7","","","5.794289599999999","","","","","1764400","3284",""
"14387000","5.7942896","","91.3","","","5.794289599999999","","","","","1764400","3284",""
"14597000","5.7942896","","92.4","","","5.794289599999999","","","","","1764400","3284",""
"14807000","5.7942896","","93.9","","","5.794289599999999","","","","","1764400","3284",""
"15015000","5.7942896","","95.0","","","5.794289599999999","","","","","1764400","3284",""
"15225000","5.7942896","","96.2","","","5.794289599999999","","","","","1764400","3284",""
"15689000","5.7942896","","98.8","","","5.794289599999999","","","","","1764400","3284",""
"15898000","5.7942896","","100.3","","","5.794289599999999","","","","","1764400","3284",""
"16108000","5.7998724","","101.4","","","5.794847879999999","","","","","1766100","3284",""
"16317000","5.7998724","","102.5","","","5.795406159999999","","","","","1766100","3284",""
"16527000","5.7998724","","103.6","","","5.795964439999999","","","","","1766100","3284",""
"16935000","5.7998724","","106.2","","","5.796522719999999","","","","","1766100","3284",""
"17201000","5.7998724","","107.7","","","5.797080999999999","","","","","1766100","3284",""
"17411000","5.7998724","","108.8","","","5.7976392799999985","","","","","1766100","3284",""
"17621000","5.7998724","","109.9","","","5.798197559999998","","","","","1766100","3284",""
"17831000","5.7998724","","111.4","","","5.798755839999998","","","","","1766100","3284",""
