Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.7","","","","","","","","0","3298",""
"209000","0.0","","8.9","","","","","","","","0","3282",""
"418000","0.0","","10.0","","","","","","","","0","3285",""
"628000","0.0","","11.1","","","","","","","","0","3282",""
"837000","0.0","","12.6","","","","","","","","0","3285",""
"1244000","0.0","","14.8","","","","","","","","0","3283",""
"1512000","0.0","","16.3","","","","","","","","0","3284",""
"1727000","0.0","","17.8","","","","","","","","0","3283",""
"1936000","0.0","","18.9","","","","","","","","0","3284",""
"2146000","0.0","","20.0","","","0.0","","","","","0","3282",""
"2611000","0.0","","22.6","","","0.0","","","","","0","3284",""
"2821000","0.0","","24.1","","","0.0","","","","","0","3283",""
"3030000","0.0","","25.2","","","0.0","","","","","0","3284",""
"3239000","0.0","","26.3","","","0.0","","","","","0","3283",""
"3449000","0.0","","27.4","","","0.0","","","","","0","3284",""
"3913000","0.0","","30.4","","","0.0","","","","","0","3283",""
"4122000","0.0","","31.5","","","0.0","","","","","0","3284",""
"4332000","0.0","","32.6","","","0.0","","","","","0","3283",""
"4540000","0.0","","33.7","","","0.0","","","","","0","3284",""
"4750000","0.0","","35.2","","","0.0","","","","","0","3283",""
"5214000","0.0","","37.8","","","0.0","","","","","0","3284",""
"5423000","0.0","","38.9","","","0.0","","","","","0","3283",""
"5632000","0.0","","40.0","","","0.0","","","","","0","3284",""
"5842000","0.0","","41.5","","","0.0","","","","","0","3283",""
"6050000","0.0","","42.6","","","0.0","","","","","0","3283",""
"6516000","0.0","","45.2","","","0.0","","","","","0","3283",""
"6726000","0.0","","46.7","","","0.0","","","","","0","3284",""
"6936000","0.0","","47.8","","","0.0","","","","","0","3283",""
"7145000","0.0","","49.0","","","0.0","","","","","0","3283",""
"7355000","5.7557556","","50.1","","","0.57557556","","","","","1753200","3283",""
"7819000","5.7575088","","53.0","","","1.15132644","","","","","1753200","3284",""
"8028000","5.7557556","","54.5","","","1.7269020000000002","","","","","1753200","3283",""
"8237000","5.7557556","","56.0","","","2.3024775600000003","","","","","1753200","3283",""
"8446000","5.7557556","","57.1","","","2.87805312","","","","","1753200","3283",""
"8655000","5.7575088","","58.6","","","3.4538040000000003","","","","","1753200","3284",""
"9120000","5.7557556","","61.6","","","4.029379560000001","","","","","1753200","3283",""
"9330000","5.7575088","","63.1","","","4.605130440000001","","","","","1753200","3284",""
"9540000","5.7557556","","64.2","","","5.180706000000001","","","","","1753200","3283",""
"9749000","5.7575088","","66.1","","","5.75645688","","","","","1753200","3284",""
"9958000","5.7557556","","67.2","","","5.75645688","","","","","1753200","3283",""
"10365000","5.7575088","","69.8","","","5.75645688","","","","","1753200","3284",""
"10632000","5.7557556","","71.6","","","5.75645688","","","","","1753200","3283",""
"10841000","5.7575088","","73.1","","","5.7566322","","","","","1753200","3284",""
"11050000","5.7557556","","74.2","","","5.7566322","","","","","1753200","3283",""
"11259000","5.7575088","","75.7","","","5.7566322","","","","","1753200","3284",""
"11730000","5.7557556","","78.7","","","5.7566322","","","","","1753200","3283",""
"11938000","5.7575088","","80.2","","","5.7566322","","","","","1753200","3284",""
"12148000","5.7557556","","82.0","","","5.7566322","","","","","1753200","3283",""
