Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.1","","","","","","","","0","3302",""
"209000","0.0","","9.6","","","","","","","","0","3286",""
"419000","0.0","","11.1","","","","","","","","0","3288",""
"629000","0.0","","12.2","","","","","","","","0","3283",""
"838000","0.0","","13.4","","","","","","","","0","3287",""
"1304000","0.0","","16.7","","","","","","","","0","3285",""
"1513000","0.0","","18.2","","","","","","","","0","3286",""
"1724000","0.0","","19.7","","","","","","","","0","3284",""
"1932000","0.0","","20.8","","","","","","","","0","3286",""
"2142000","0.0","","21.9","","","0.0","","","","","0","3284",""
"2541000","0.0","","24.9","","","0.0","","","","","0","3285",""
"2815000","0.0","","26.0","","","0.0","","","","","0","3284",""
"3024000","0.0","","27.5","","","0.0","","","","","0","3284",""
"3234000","0.0","","29.0","","","0.0","","","","","0","3284",""
"3443000","0.0","","30.1","","","0.0","","","","","0","3285",""
"3914000","0.0","","33.5","","","0.0","","","","","0","3284",""
"4122000","0.0","","34.6","","","0.0","","","","","0","3285",""
"4332000","0.0","","36.5","","","0.0","","","","","0","3284",""
"4540000","0.0","","37.6","","","0.0","","","","","0","3285",""
"4750000","0.0","","38.7","","","0.0","","","","","0","3284",""
"5214000","0.0","","41.7","","","0.0","","","","","0","3284",""
"5424000","0.0","","43.2","","","0.0","","","","","0","3283",""
"5632000","0.0","","44.7","","","0.0","","","","","0","3284",""
"5842000","0.0","","45.8","","","0.0","","","","","0","3283",""
"6051000","0.0","","46.9","","","0.0","","","","","0","3284",""
"6458000","0.0","","49.5","","","0.0","","","","","0","3283",""
"6725000","6.375886","","51.8","","","0.6375886000000001","","","","","1941500","3284",""
"6935000","6.3739445","","53.2","","","1.2749830500000001","","","","","1941500","3283",""
"7144000","6.375886","","54.4","","","1.9125716500000003","","","","","1941500","3284",""
"7354000","6.3739445","","55.5","","","2.5499661000000002","","","","","1941500","3283",""
"7818000","6.3739445","","58.8","","","3.18736055","","","","","1941500","3283",""
"8027000","6.3739445","","60.0","","","3.8247550000000006","","","","","1941500","3283",""
"8237000","6.3739445","","61.1","","","4.46214945","","","","","1941500","3283",""
"8447000","6.3739445","","62.9","","","5.0995439000000005","","","","","1941500","3283",""
"8656000","6.3739445","","64.1","","","5.736938350000001","","","","","1941500","3283",""
"9121000","6.3739445","","67.0","","","6.3743328","","","","","1941500","3283",""
"9331000","6.3739445","","68.2","","","6.374138650000001","","","","","1941500","3283",""
"9540000","6.3739445","","70.0","","","6.374138650000001","","","","","1941500","3283",""
"9749000","6.3739445","","71.1","","","6.373944500000001","","","","","1941500","3283",""
"9959000","6.3739445","","72.3","","","6.373944500000001","","","","","1941500","3283",""
"10424000","6.3739445","","75.2","","","6.373944500000001","","","","","1941500","3283",""
"10633000","6.3739445","","76.7","","","6.373944500000001","","","","","1941500","3283",""
"10842000","6.3739445","","78.2","","","6.373944500000001","","","","","1941500","3283",""
"11051000","6.3739445","","79.3","","","6.373944500000001","","","","","1941500","3283",""
"11261000","6.3739445","","80.5","","","6.373944500000001","","","","","1941500","3283",""
"11667000","6.3739445","","83.4","","","6.373944500000001","","","","","1941500","3283",""
"11934000","6.3739445","","85.3","","","6.373944500000001","","","","","1941500","3283",""
"12144000","6.3739445","","86.8","","","6.373944500000001","","","","","1941500","3283",""
