Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3300",""
"209000","0.0","","8.9","","","","","","","","0","3285",""
"418000","0.0","","10.0","","","","","","","","0","3288",""
"628000","0.0","","11.1","","","","","","","","0","3285",""
"837000","0.0","","12.3","","","","","","","","0","3286",""
"1302000","0.0","","14.9","","","","","","","","0","3284",""
"1511000","0.0","","16.4","","","","","","","","0","3285",""
"1720000","0.0","","17.5","","","","","","","","0","3283",""
"1929000","0.0","","18.6","","","","","","","","0","3285",""
"2138000","0.0","","20.1","","","0.0","","","","","0","3284",""
"2603000","0.0","","22.7","","","0.0","","","","","0","3285",""
"2817000","0.0","","23.8","","","0.0","","","","","0","3284",""
"3026000","0.0","","25.3","","","0.0","","","","","0","3285",""
"3236000","0.0","","26.4","","","0.0","","","","","0","3284",""
"3445000","0.0","","27.6","","","0.0","","","","","0","3285",""
"3910000","0.0","","30.6","","","0.0","","","","","0","3284",""
"4119000","0.0","","31.7","","","0.0","","","","","0","3285",""
"4328000","0.0","","32.8","","","0.0","","","","","0","3284",""
"4538000","0.0","","34.3","","","0.0","","","","","0","3285",""
"4747000","0.0","","35.4","","","0.0","","","","","0","3284",""
"5154000","0.0","","37.6","","","0.0","","","","","0","3285",""
"5421000","0.0","","39.5","","","0.0","","","","","0","3285",""
"5631000","0.0","","40.6","","","0.0","","","","","0","3285",""
"5840000","0.0","","41.8","","","0.0","","","","","0","3284",""
"6049000","0.0","","42.9","","","0.0","","","","","0","3285",""
"6457000","0.0","","45.5","","","0.0","","","","","0","3284",""
"6724000","0.0","","47.0","","","0.0","","","","","0","3285",""
"6933000","0.0","","48.1","","","0.0","","","","","0","3284",""
"7142000","0.0","","49.2","","","0.0","","","","","0","3285",""
"7352000","5.8379668","","50.7","","","0.5837966800000001","","","","","1777700","3284",""
"7816000","5.8397445","","53.3","","","1.16777113","","","","","1777700","3285",""
"8026000","5.8379668","","54.4","","","1.7515678100000003","","","","","1777700","3284",""
"8235000","5.8397445","","55.9","","","2.3355422600000004","","","","","1777700","3285",""
"8444000","5.8379668","","57.1","","","2.9193389400000003","","","","","1777700","3284",""
"8653000","5.8397445","","58.2","","","3.50331339","","","","","1777700","3285",""
"9061000","5.8379668","","60.8","","","4.08711007","","","","","1777700","3284",""
"9328000","5.8379668","","62.3","","","4.67090675","","","","","1777700","3284",""
"9538000","5.8379668","","63.4","","","5.254703430000001","","","","","1777700","3284",""
"9747000","5.8379668","","64.5","","","5.838500110000001","","","","","1777700","3284",""
"9956000","5.8379668","","66.0","","","5.838500110000001","","","","","1777700","3284",""
"10363000","5.8379668","","68.2","","","5.838322340000001","","","","","1777700","3284",""
"10630000","5.8379668","","69.7","","","5.83832234","","","","","1777700","3284",""
"10839000","5.8379668","","70.9","","","5.838144570000001","","","","","1777700","3284",""
"11049000","5.8379668","","72.4","","","5.83814457","","","","","1777700","3284",""
"11258000","5.8379668","","73.5","","","5.8379668","","","","","1777700","3284",""
"11722000","5.8379668","","76.1","","","5.837966799999999","","","","","1777700","3284",""
"11931000","5.8379668","","77.6","","","5.837966799999999","","","","","1777700","3284",""
"12141000","5.8379668","","78.7","","","5.837966799999999","","","","","1777700","3284",""
"12350000","5.8379668","","79.8","","","5.837966799999999","","","","","1777700","3284",""
"12560000","5.8379668","","80.9","","","5.837966799999999","","","","","1777700","3284",""
"13030000","5.8379668","","83.9","","","5.837966799999999","","","","","1777700","3284",""
"13240000","5.8379668","","85.0","","","5.837966799999999","","","","","1777700","3284",""
