Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","8.2","","","","","","","","0","3302",""
"209000","0.0","","9.7","","","","","","","","0","3286",""
"419000","0.0","","11.1","","","","","","","","0","3291",""
"629000","0.0","","12.3","","","","","","","","0","3286",""
"838000","0.0","","13.8","","","","","","","","0","3288",""
"1303000","0.0","","16.7","","","","","","","","0","3285",""
"1512000","0.0","","17.9","","","","","","","","0","3288",""
"1722000","0.0","","19.4","","","","","","","","0","3286",""
"1932000","0.0","","20.5","","","","","","","","0","3288",""
"2142000","0.0","","22.0","","","0.0","","","","","0","3286",""
"2607000","0.0","","24.9","","","0.0","","","","","0","3287",""
"2815000","0.0","","26.1","","","0.0","","","","","0","3286",""
"3025000","0.0","","27.6","","","0.0","","","","","0","3287",""
"3234000","0.0","","29.1","","","0.0","","","","","0","3285",""
"3443000","0.0","","30.2","","","0.0","","","","","0","3287",""
"3909000","0.0","","33.5","","","0.0","","","","","0","3286",""
"4118000","0.0","","35.4","","","0.0","","","","","0","3287",""
"4326000","0.0","","36.9","","","0.0","","","","","0","3286",""
"4536000","0.0","","38.4","","","0.0","","","","","0","3287",""
"4745000","0.0","","39.9","","","0.0","","","","","0","3286",""
"5210000","0.0","","43.6","","","0.0","","","","","0","3286",""
"5418000","0.0","","45.1","","","0.0","","","","","0","3286",""
"5628000","0.0","","47.0","","","0.0","","","","","0","3286",""
"5837000","0.0","","48.5","","","0.0","","","","","0","3286",""
"6046000","6.7737604","","50.0","","","0.67737604","","","","","2061400","3286",""
"6511000","6.7737604","","53.7","","","1.35475208","","","","","2061400","3286",""
"6720000","6.7737604","","55.2","","","2.03212812","","","","","2061400","3286",""
"6929000","6.7737604","","57.1","","","2.70950416","","","","","2061400","3286",""
"7139000","6.7737604","","58.6","","","3.3868801999999993","","","","","2061400","3286",""
"7348000","6.7737604","","60.1","","","4.06425624","","","","","2061400","3286",""
"7813000","6.7737604","","63.8","","","4.741632279999999","","","","","2061400","3286",""
"8022000","6.7737604","","65.3","","","5.41900832","","","","","2061400","3286",""
"8232000","6.7737604","","67.2","","","6.09638436","","","","","2061400","3286",""
