Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3266",""
"209000","0.0","","8.5","","","","","","","","0","3282",""
"418000","0.0","","9.6","","","","","","","","0","3280",""
"627000","0.0","","11.1","","","","","","","","0","3285",""
"836000","0.0","","12.2","","","","","","","","0","3282",""
"1301000","0.0","","14.9","","","","","","","","0","3285",""
"1510000","0.0","","16.0","","","","","","","","0","3283",""
"1720000","0.0","","17.1","","","","","","","","0","3284",""
"1930000","0.0","","18.2","","","","","","","","0","3283",""
"2139000","0.0","","19.3","","","0.0","","","","","0","3285",""
"2602000","0.0","","22.3","","","0.0","","","","","0","3284",""
"2811000","0.0","","23.4","","","0.0","","","","","0","3284",""
"3020000","0.0","","24.5","","","0.0","","","","","0","3283",""
"3230000","0.0","","25.7","","","0.0","","","","","0","3284",""
"3439000","0.0","","26.8","","","0.0","","","","","0","3283",""
"3846000","0.0","","29.0","","","0.0","","","","","0","3285",""
"4114000","0.0","","30.5","","","0.0","","","","","0","3284",""
"4323000","0.0","","32.0","","","0.0","","","","","0","3285",""
"4538000","0.0","","33.1","","","0.0","","","","","0","3284",""
"4747000","0.0","","34.2","","","0.0","","","","","0","3285",""
"5213000","0.0","","36.8","","","0.0","","","","","0","3284",""
"5422000","0.0","","38.0","","","0.0","","","","","0","3284",""
"5632000","0.0","","39.1","","","0.0","","","","","0","3284",""
"5841000","0.0","","40.6","","","0.0","","","","","0","3284",""
"6050000","0.0","","41.7","","","0.0","","","","","0","3284",""
"6515000","0.0","","44.3","","","0.0","","","","","0","3284",""
"6725000","0.0","","45.8","","","0.0","","","","","0","3284",""
"6934000","0.0","","46.9","","","0.0","","","","","0","3285",""
"7144000","0.0","","48.0","","","0.0","","","","","0","3284",""
"7354000","0.0","","49.5","","","0.0","","","","","0","3285",""
"7761000","5.688306","","51.7","","","0.5688306","","","","","1731600","3285",""
"8028000","5.688306","","53.2","","","1.1376612","","","","","1731600","3285",""
"8238000","5.688306","","54.3","","","1.7064917999999998","","","","","1731600","3285",""
"8447000","5.688306","","55.5","","","2.2753224","","","","","1731600","3285",""
"8657000","5.688306","","56.6","","","2.844153","","","","","1731600","3285",""
"9122000","5.688306","","59.2","","","3.4129835999999996","","","","","1731600","3285",""
"9331000","5.6865744","","60.3","","","3.9816410399999995","","","","","1731600","3284",""
"9540000","5.688306","","61.4","","","4.55047164","","","","","1731600","3285",""
"9750000","5.6865744","","62.5","","","5.119129079999999","","","","","1731600","3284",""
"9960000","5.688306","","64.0","","","5.687959679999999","","","","","1731600","3285",""
"10368000","5.6865744","","67.0","","","5.687786519999999","","","","","1731600","3284",""
"10635000","5.688306","","68.9","","","5.687786519999999","","","","","1731600","3285",""
"10843000","5.6865744","","70.8","","","5.6876133599999985","","","","","1731600","3284",""
"11053000","5.688306","","72.3","","","5.6876133599999985","","","","","1731600","3285",""
"11262000","5.688306","","74.1","","","5.6876133599999985","","","","","1731600","3285",""
"11728000","5.688306","","78.2","","","5.6876133599999985","","","","","1731600","3285",""
"11937000","5.688306","","80.1","","","5.687786519999999","","","","","1731600","3285",""
"12146000","5.688306","","81.6","","","5.687786519999999","","","","","1731600","3285",""
"12355000","5.6865744","","82.7","","","5.687786519999999","","","","","1731600","3284",""
"12564000","5.688306","","83.8","","","5.687786519999999","","","","","1731600","3285",""
"13029000","5.688306","","86.4","","","5.687959679999999","","","","","1731600","3285",""
"13238000","5.688306","","87.6","","","5.687959679999999","","","","","1731600","3285",""
"13448000","5.6865744","","88.7","","","5.687959679999999","","","","","1731600","3284",""
"13657000","5.6865744","","89.8","","","5.687786519999999","","","","","1731600","3284",""
"13866000","5.6865744","","90.9","","","5.6876133599999985","","","","","1731600","3284",""
"14337000","5.6865744","","93.5","","","5.687440199999999","","","","","1731600","3284",""
"14546000","5.6865744","","95.0","","","5.687267039999999","","","","","1731600","3284",""
"14756000","5.6865744","","96.1","","","5.687093879999999","","","","","1731600","3284",""
"14965000","5.6865744","","97.2","","","5.687093879999999","","","","","1731600","3284",""
"15175000","5.6865744","","98.4","","","5.686920719999999","","","","","1731600","3284",""
"15639000","5.6865744","","101.0","","","5.686747559999999","","","","","1731600","3284",""
"15848000","6.1949376","","102.1","","","5.73741072","","","","","1886400","3284",""
"16057000","6.1949376","","103.2","","","5.78824704","","","","","1886400","3284",""
"16266000","6.1949376","","104.3","","","5.839083360000001","","","","","1886400","3284",""
"16476000","6.1949376","","105.4","","","5.889919680000001","","","","","1886400","3284",""
"16882000","6.1930512","","107.7","","","5.940567360000001","","","","","1886400","3283",""
"17149000","6.1930512","","109.2","","","5.991215040000002","","","","","1886400","3283",""
"17358000","6.1930512","","110.3","","","6.041862720000002","","","","","1886400","3283",""
"17568000","6.1930512","","111.8","","","6.092510400000002","","","","","1886400","3283",""
"17777000","6.1949376","","112.9","","","6.143346720000002","","","","","1886400","3284",""
"18241000","6.1949376","","115.1","","","6.194183040000003","","","","","1886400","3284",""
"18450000","6.1949376","","116.2","","","6.194183040000003","","","","","1886400","3284",""
"18659000","6.1949376","","117.7","","","6.194183040000003","","","","","1886400","3284",""
"18868000","6.1949376","","118.8","","","6.194183040000003","","","","","1886400","3284",""
"19078000","6.1949376","","120.0","","","6.194183040000003","","","","","1886400","3284",""
"19485000","6.1949376","","122.2","","","6.194371680000003","","","","","1886400","3284",""
"19752000","6.1949376","","123.7","","","6.1945603200000035","","","","","1886400","3284",""
"19960000","6.1949376","","124.8","","","6.194748960000004","","","","","1886400","3284",""
"20170000","6.1949376","","125.9","","","6.194937600000005","","","","","1886400","3284",""
"20379000","6.1949376","","127.0","","","6.194937600000005","","","","","1886400","3284",""
"20786000","6.1949376","","129.3","","","6.194937600000005","","","","","1886400","3284",""
"21052000","6.1949376","","130.8","","","6.194937600000005","","","","","1886400","3284",""
"21263000","6.1949376","","132.3","","","6.194937600000005","","","","","1886400","3284",""
"21472000","6.1949376","","133.4","","","6.194937600000005","","","","","1886400","3284",""
"21681000","6.1949376","","134.5","","","6.194937600000005","","","","","1886400","3284",""
"22146000","6.1949376","","136.7","","","6.194937600000005","","","","","1886400","3284",""
"22356000","6.1949376","","138.2","","","6.194937600000005","","","","","1886400","3284",""
"22565000","6.1949376","","139.3","","","6.194937600000005","","","","","1886400","3284",""
