Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.8","","","","","","","","0","3270",""
"210000","0.0","","8.9","","","","","","","","0","3283",""
"419000","0.0","","10.0","","","","","","","","0","3278",""
"628000","0.0","","11.1","","","","","","","","0","3282",""
"837000","0.0","","12.2","","","","","","","","0","3280",""
"1302000","0.0","","14.8","","","","","","","","0","3284",""
"1511000","0.0","","16.3","","","","","","","","0","3283",""
"1720000","0.0","","17.4","","","","","","","","0","3285",""
"1930000","0.0","","18.6","","","","","","","","0","3283",""
"2139000","0.0","","19.7","","","0.0","","","","","0","3285",""
"2538000","0.0","","21.9","","","0.0","","","","","0","3283",""
"2814000","0.0","","23.4","","","0.0","","","","","0","3284",""
"3024000","0.0","","24.5","","","0.0","","","","","0","3283",""
"3232000","0.0","","25.6","","","0.0","","","","","0","3285",""
"3442000","0.0","","27.1","","","0.0","","","","","0","3284",""
"3907000","0.0","","29.4","","","0.0","","","","","0","3285",""
"4117000","0.0","","30.8","","","0.0","","","","","0","3284",""
"4326000","0.0","","32.0","","","0.0","","","","","0","3285",""
"4535000","0.0","","33.1","","","0.0","","","","","0","3284",""
"4744000","0.0","","34.2","","","0.0","","","","","0","3285",""
"5151000","0.0","","36.4","","","0.0","","","","","0","3284",""
"5418000","0.0","","37.9","","","0.0","","","","","0","3285",""
"5628000","0.0","","39.4","","","0.0","","","","","0","3284",""
"5837000","0.0","","40.5","","","0.0","","","","","0","3285",""
"6047000","0.0","","41.6","","","0.0","","","","","0","3284",""
"6454000","0.0","","43.9","","","0.0","","","","","0","3285",""
"6721000","0.0","","45.4","","","0.0","","","","","0","3284",""
"6930000","0.0","","46.5","","","0.0","","","","","0","3285",""
"7145000","0.0","","47.6","","","0.0","","","","","0","3284",""
"7354000","0.0","","48.7","","","0.0","","","","","0","3285",""
"7761000","5.6051955","","51.3","","","0.56051955","","","","","1706300","3285",""
"8028000","5.6051955","","52.4","","","1.1210391","","","","","1706300","3285",""
"8236000","5.6051955","","53.9","","","1.68155865","","","","","1706300","3285",""
"8446000","5.6051955","","55.0","","","2.2420782","","","","","1706300","3285",""
"8654000","5.6051955","","56.2","","","2.80259775","","","","","1706300","3285",""
"9119000","5.6051955","","58.8","","","3.3631173","","","","","1706300","3285",""
"9329000","5.6034892","","59.9","","","3.9234662199999994","","","","","1706300","3284",""
"9538000","5.6051955","","61.0","","","4.483985769999999","","","","","1706300","3285",""
"9748000","5.6051955","","62.1","","","5.04450532","","","","","1706300","3285",""
"9957000","5.6051955","","63.6","","","5.605024869999999","","","","","1706300","3285",""
"10422000","5.6051955","","66.2","","","5.605024869999999","","","","","1706300","3285",""
"10632000","5.6051955","","67.3","","","5.605024869999999","","","","","1706300","3285",""
"10842000","5.6051955","","68.4","","","5.605024869999999","","","","","1706300","3285",""
"11051000","5.6051955","","69.5","","","5.605024869999999","","","","","1706300","3285",""
"11261000","5.6051955","","70.7","","","5.605024869999999","","","","","1706300","3285",""
"11726000","5.6051955","","73.3","","","5.605024869999999","","","","","1706300","3285",""
"11936000","5.6034892","","74.8","","","5.605024869999999","","","","","1706300","3284",""
"12144000","5.6051955","","75.9","","","5.605024869999999","","","","","1706300","3285",""
"12353000","5.6034892","","77.0","","","5.60485424","","","","","1706300","3284",""
"12563000","5.6051955","","78.1","","","5.60485424","","","","","1706300","3285",""
"12970000","5.6051955","","80.3","","","5.60485424","","","","","1706300","3285",""
"13241000","5.6034892","","81.8","","","5.6046836099999995","","","","","1706300","3284",""
"13451000","5.6034892","","82.9","","","5.604512979999999","","","","","1706300","3284",""
"13660000","5.6051955","","84.4","","","5.604512979999999","","","","","1706300","3285",""
"13870000","5.6051955","","85.6","","","5.604512979999999","","","","","1706300","3285",""
"14335000","5.6034892","","88.2","","","5.604342349999999","","","","","1706300","3284",""
"14544000","5.6034892","","89.3","","","5.604342349999999","","","","","1706300","3284",""
"14753000","5.6034892","","90.4","","","5.604171719999998","","","","","1706300","3284",""
"14963000","5.6034892","","91.5","","","5.604171719999998","","","","","1706300","3284",""
"15172000","5.6034892","","92.6","","","5.604001089999999","","","","","1706300","3284",""
"15580000","5.6034892","","94.9","","","5.603830459999998","","","","","1706300","3284",""
"15847000","5.6051955","","96.3","","","5.604001089999999","","","","","1706300","3285",""
"16055000","5.6051955","","97.5","","","5.604171719999998","","","","","1706300","3285",""
"16265000","5.6051955","","99.0","","","5.604171719999998","","","","","1706300","3285",""
"16475000","5.6051955","","100.1","","","5.604171719999998","","","","","1706300","3285",""
"16882000","5.5634244","","102.3","","","5.600165239999999","","","","","1694100","3284",""
"17155000","5.5634244","","103.8","","","5.59615876","","","","","1694100","3284",""
"17365000","5.5634244","","104.9","","","5.59215228","","","","","1694100","3284",""
"17575000","5.5634244","","106.0","","","5.5881458","","","","","1694100","3284",""
"17784000","5.5634244","","107.5","","","5.58413932","","","","","1694100","3284",""
"18248000","5.5634244","","110.1","","","5.580132840000001","","","","","1694100","3284",""
"18458000","5.5634244","","111.2","","","5.575955730000001","","","","","1694100","3284",""
"18668000","5.5634244","","112.4","","","5.571778620000002","","","","","1694100","3284",""
"18878000","5.5634244","","113.5","","","5.567601510000001","","","","","1694100","3284",""
"19087000","5.5634244","","114.6","","","5.5634244000000015","","","","","1694100","3284",""
"19495000","5.5634244","","116.8","","","5.5634244000000015","","","","","1694100","3284",""
"19762000","5.5634244","","118.3","","","5.5634244000000015","","","","","1694100","3284",""
"19971000","5.5634244","","119.8","","","5.5634244000000015","","","","","1694100","3284",""
"20181000","5.5634244","","120.9","","","5.5634244000000015","","","","","1694100","3284",""
"20391000","5.5634244","","122.0","","","5.5634244000000015","","","","","1694100","3284",""
"20855000","5.5634244","","124.6","","","5.5634244000000015","","","","","1694100","3284",""
"21064000","5.5634244","","125.8","","","5.5634244000000015","","","","","1694100","3284",""
"21275000","5.5634244","","126.9","","","5.5634244000000015","","","","","1694100","3284",""
"21484000","5.5634244","","128.0","","","5.5634244000000015","","","","","1694100","3284",""
"21694000","5.5634244","","129.5","","","5.5634244000000015","","","","","1694100","3284",""
"22158000","5.5634244","","132.1","","","5.5634244000000015","","","","","1694100","3284",""
"22367000","5.5634244","","133.2","","","5.5634244000000015","","","","","1694100","3284",""
"22577000","5.5634244","","134.3","","","5.5634244000000015","","","","","1694100","3284",""
"22787000","5.5634244","","135.4","","","5.5634244000000015","","","","","1694100","3284",""
"22996000","5.5634244","","136.5","","","5.5634244000000015","","","","","1694100","3284",""
