Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.0","","","","","","","","0","3269",""
"267000","0.0","","8.5","","","","","","","","0","3282",""
"476000","0.0","","9.6","","","","","","","","0","3278",""
"686000","0.0","","11.1","","","","","","","","0","3283",""
"896000","0.0","","12.2","","","","","","","","0","3280",""
"1360000","0.0","","14.9","","","","","","","","0","3284",""
"1570000","0.0","","16.3","","","","","","","","0","3283",""
"1780000","0.0","","17.5","","","","","","","","0","3284",""
"1989000","0.0","","18.6","","","","","","","","0","3282",""
"2198000","0.0","","19.7","","","0.0","","","","","0","3285",""
"2663000","0.0","","22.7","","","0.0","","","","","0","3283",""
"2872000","0.0","","23.8","","","0.0","","","","","0","3284",""
"3081000","0.0","","24.9","","","0.0","","","","","0","3283",""
"3291000","0.0","","26.0","","","0.0","","","","","0","3284",""
"3501000","0.0","","27.5","","","0.0","","","","","0","3283",""
"3900000","0.0","","29.8","","","0.0","","","","","0","3284",""
"4174000","0.0","","31.2","","","0.0","","","","","0","3284",""
"4384000","0.0","","32.7","","","0.0","","","","","0","3284",""
"4593000","0.0","","33.9","","","0.0","","","","","0","3284",""
"4802000","0.0","","35.0","","","0.0","","","","","0","3284",""
"5215000","0.0","","37.6","","","0.0","","","","","0","3283",""
"5481000","0.0","","39.1","","","0.0","","","","","0","3284",""
"5691000","0.0","","40.2","","","0.0","","","","","0","3283",""
"5900000","0.0","","41.3","","","0.0","","","","","0","3284",""
"6109000","0.0","","42.8","","","0.0","","","","","0","3284",""
"6574000","0.0","","45.4","","","0.0","","","","","0","3284",""
"6783000","0.0","","46.5","","","0.0","","","","","0","3283",""
"6992000","0.0","","47.6","","","0.0","","","","","0","3284",""
"7201000","0.0","","49.1","","","0.0","","","","","0","3284",""
"7410000","5.784766","","50.3","","","0.5784766","","","","","1761500","3284",""
"7875000","5.7830045","","52.9","","","1.15677705","","","","","1761500","3283",""
"8084000","5.784766","","54.0","","","1.73525365","","","","","1761500","3284",""
"8292000","5.784766","","55.5","","","2.31373025","","","","","1761500","3284",""
"8501000","5.784766","","56.6","","","2.89220685","","","","","1761500","3284",""
"8711000","5.7830045","","57.7","","","3.4705073","","","","","1761500","3283",""
"9175000","5.784766","","60.7","","","4.0489839","","","","","1761500","3284",""
