Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3304",""
"210000","0.0","","8.9","","","","","","","","0","3289",""
"420000","0.0","","10.0","","","","","","","","0","3292",""
"629000","0.0","","11.1","","","","","","","","0","3286",""
"838000","0.0","","12.3","","","","","","","","0","3290",""
"1246000","0.0","","14.9","","","","","","","","0","3287",""
"1513000","0.0","","16.4","","","","","","","","0","3288",""
"1722000","0.0","","17.5","","","","","","","","0","3286",""
"1931000","0.0","","18.6","","","","","","","","0","3287",""
"2141000","0.0","","20.1","","","0.0","","","","","0","3286",""
"2548000","0.0","","22.3","","","0.0","","","","","0","3287",""
"2815000","0.0","","23.8","","","0.0","","","","","0","3285",""
"3025000","0.0","","24.9","","","0.0","","","","","0","3286",""
"3234000","0.0","","26.4","","","0.0","","","","","0","3285",""
"3444000","0.0","","27.6","","","0.0","","","","","0","3286",""
"3850000","0.0","","29.8","","","0.0","","","","","0","3285",""
"4117000","0.0","","31.3","","","0.0","","","","","0","3286",""
"4327000","0.0","","32.8","","","0.0","","","","","0","3285",""
"4536000","0.0","","33.9","","","0.0","","","","","0","3286",""
"4746000","0.0","","35.0","","","0.0","","","","","0","3285",""
"5153000","0.0","","37.6","","","0.0","","","","","0","3286",""
"5420000","0.0","","39.1","","","0.0","","","","","0","3285",""
"5629000","0.0","","40.2","","","0.0","","","","","0","3286",""
"5839000","0.0","","41.4","","","0.0","","","","","0","3285",""
"6049000","0.0","","42.8","","","0.0","","","","","0","3286",""
"6513000","0.0","","45.5","","","0.0","","","","","0","3285",""
"6722000","0.0","","46.6","","","0.0","","","","","0","3285",""
"6931000","0.0","","47.7","","","0.0","","","","","0","3285",""
"7140000","0.0","","49.2","","","0.0","","","","","0","3285",""
"7348000","5.795397","","50.3","","","0.5795397","","","","","1764200","3285",""
"7812000","5.795397","","52.9","","","1.1590794","","","","","1764200","3285",""
"8027000","5.795397","","54.4","","","1.7386191","","","","","1764200","3285",""
"8235000","5.795397","","55.5","","","2.3181588","","","","","1764200","3285",""
