Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3270",""
"210000","0.0","","8.5","","","","","","","","0","3281",""
"418000","0.0","","9.6","","","","","","","","0","3279",""
"628000","0.0","","11.1","","","","","","","","0","3285",""
"838000","0.0","","12.2","","","","","","","","0","3282",""
"1244000","0.0","","14.5","","","","","","","","0","3284",""
"1518000","0.0","","16.0","","","","","","","","0","3281",""
"1727000","0.0","","17.1","","","","","","","","0","3283",""
"1937000","0.0","","18.6","","","","","","","","0","3282",""
"2152000","0.0","","19.7","","","0.0","","","","","0","3283",""
"2617000","0.0","","22.3","","","0.0","","","","","0","3282",""
"2826000","0.0","","23.4","","","0.0","","","","","0","3283",""
"3035000","0.0","","24.9","","","0.0","","","","","0","3282",""
"3244000","0.0","","26.0","","","0.0","","","","","0","3283",""
"3453000","0.0","","27.1","","","0.0","","","","","0","3282",""
"3860000","0.0","","29.4","","","0.0","","","","","0","3283",""
"4127000","0.0","","30.9","","","0.0","","","","","0","3282",""
"4337000","0.0","","32.4","","","0.0","","","","","0","3283",""
"4546000","0.0","","33.5","","","0.0","","","","","0","3283",""
"4756000","0.0","","34.6","","","0.0","","","","","0","3283",""
"5155000","0.0","","36.8","","","0.0","","","","","0","3282",""
"5429000","0.0","","38.3","","","0.0","","","","","0","3283",""
"5638000","0.0","","39.8","","","0.0","","","","","0","3283",""
"5848000","0.0","","40.9","","","0.0","","","","","0","3284",""
"6057000","0.0","","42.0","","","0.0","","","","","0","3283",""
"6464000","0.0","","44.3","","","0.0","","","","","0","3284",""
"6731000","0.0","","45.8","","","0.0","","","","","0","3283",""
"6941000","0.0","","47.3","","","0.0","","","","","0","3284",""
"7150000","0.0","","48.4","","","0.0","","","","","0","3283",""
"7359000","0.0","","49.5","","","0.0","","","","","0","3284",""
"7825000","5.6832013","","52.1","","","0.56832013","","","","","1731100","3283",""
"8033000","5.6849324","","53.2","","","1.13681337","","","","","1731100","3284",""
"8243000","5.6832013","","54.7","","","1.7051335","","","","","1731100","3283",""
"8452000","5.6849324","","55.8","","","2.27362674","","","","","1731100","3284",""
"8662000","5.6832013","","56.9","","","2.84194687","","","","","1731100","3283",""
"9126000","5.6849324","","59.5","","","3.4104401100000006","","","","","1731100","3284",""
"9336000","5.6849324","","60.7","","","3.9789333500000006","","","","","1731100","3284",""
"9545000","5.6849324","","62.1","","","4.547426590000001","","","","","1731100","3284",""
"9755000","5.6849324","","63.3","","","5.115919830000001","","","","","1731100","3284",""
"9964000","5.6849324","","64.4","","","5.684413070000001","","","","","1731100","3284",""
"10372000","5.6849324","","66.6","","","5.684586180000001","","","","","1731100","3284",""
"10639000","5.6849324","","68.1","","","5.684586180000001","","","","","1731100","3284",""
"10849000","5.6849324","","69.6","","","5.684759290000001","","","","","1731100","3284",""
"11058000","5.6849324","","70.7","","","5.684759290000001","","","","","1731100","3284",""
"11268000","5.6849324","","71.8","","","5.684932400000001","","","","","1731100","3284",""
"11681000","5.6849324","","74.1","","","5.684932400000001","","","","","1731100","3284",""
"11949000","5.6849324","","75.9","","","5.684932400000001","","","","","1731100","3284",""
"12158000","5.6849324","","77.0","","","5.684932400000001","","","","","1731100","3284",""
"12367000","5.6849324","","78.2","","","5.684932400000001","","","","","1731100","3284",""
"12576000","5.6849324","","79.3","","","5.684932400000001","","","","","1731100","3284",""
"13041000","5.6849324","","81.9","","","5.684932400000001","","","","","1731100","3284",""
"13250000","5.6866635","","83.0","","","5.685105510000001","","","","","1731100","3285",""
