Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","13.1","","","","","","","","0","3299",""
"210000","0.0","","14.9","","","","","","","","0","3287",""
"419000","0.0","","17.2","","","","","","","","0","3289",""
"629000","0.0","","19.4","","","","","","","","0","3284",""
"839000","0.0","","21.3","","","","","","","","0","3288",""
"1304000","0.0","","26.2","","","","","","","","0","3285",""
"1513000","0.0","","28.0","","","","","","","","0","3287",""
"1723000","0.0","","30.3","","","","","","","","0","3285",""
"1932000","0.0","","32.5","","","","","","","","0","3287",""
"2141000","0.0","","34.4","","","0.0","","","","","0","3285",""
"2605000","0.0","","39.3","","","0.0","","","","","0","3286",""
"2815000","0.0","","41.5","","","0.0","","","","","0","3285",""
"3024000","0.0","","43.4","","","0.0","","","","","0","3286",""
"3234000","0.0","","45.6","","","0.0","","","","","0","3285",""
"3449000","0.0","","47.9","","","0.0","","","","","0","3286",""
"3913000","10.0051245","","52.4","","","1.00051245","","","","","3045700","3285",""
"4123000","10.0081702","","54.6","","","2.0013294700000004","","","","","3045700","3286",""
"4331000","10.0051245","","56.5","","","3.0018419200000004","","","","","3045700","3285",""
"4540000","10.0081702","","58.7","","","4.002658940000001","","","","","3045700","3286",""
"4750000","10.0051245","","61.0","","","5.00317139","","","","","3045700","3285",""
"5156000","10.0051245","","65.1","","","6.003683840000001","","","","","3045700","3285",""
"5422000","10.0051245","","67.7","","","7.004196290000001","","","","","3045700","3285",""
"5632000","10.0051245","","69.6","","","8.004708740000002","","","","","3045700","3285",""
"5842000","10.0051245","","71.8","","","9.00522119","","","","","3045700","3285",""
"6051000","10.0051245","","74.1","","","10.005733639999999","","","","","3045700","3285",""
"6517000","10.0051245","","78.6","","","10.005733639999999","","","","","3045700","3285",""
"6725000","10.0051245","","80.8","","","10.00542907","","","","","3045700","3285",""
"6934000","10.0051245","","82.7","","","10.00542907","","","","","3045700","3285",""
"7144000","10.0051245","","84.9","","","10.005124499999999","","","","","3045700","3285",""
"7353000","10.0051245","","87.2","","","10.005124499999999","","","","","3045700","3285",""
"7817000","10.0051245","","91.7","","","10.005124499999999","","","","","3045700","3285",""
"8027000","10.0051245","","93.9","","","10.005124499999999","","","","","3045700","3285",""
"8236000","10.0051245","","95.8","","","10.005124499999999","","","","","3045700","3285",""
"8446000","10.0051245","","98.0","","","10.005124499999999","","","","","3045700","3285",""
"8655000","10.0051245","","100.3","","","10.005124499999999","","","","","3045700","3285",""
"9062000","10.0609695","","104.4","","","10.010709","","","","","3062700","3285",""
"9329000","10.0609695","","107.0","","","10.0162935","","","","","3062700","3285",""
"9538000","10.0579068","","109.3","","","10.02157173","","","","","3062700","3284",""
"9747000","10.0609695","","111.1","","","10.02715623","","","","","3062700","3285",""
"9957000","10.0609695","","113.4","","","10.03274073","","","","","3062700","3285",""
"10422000","10.0609695","","117.9","","","10.038325230000002","","","","","3062700","3285",""
"10631000","10.0609695","","120.1","","","10.043909730000001","","","","","3062700","3285",""
"10840000","10.0609695","","122.4","","","10.049494230000002","","","","","3062700","3285",""
"11049000","10.0609695","","124.2","","","10.055078730000002","","","","","3062700","3285",""
"11259000","10.0609695","","126.5","","","10.060663230000003","","","","","3062700","3285",""
"11723000","10.0609695","","131.0","","","10.060663230000003","","","","","3062700","3285",""
"11932000","10.0609695","","133.2","","","10.060663230000003","","","","","3062700","3285",""
"12142000","10.0609695","","135.5","","","10.060969500000002","","","","","3062700","3285",""
"12351000","10.0609695","","137.3","","","10.060969500000002","","","","","3062700","3285",""
