Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","12.7","","","","","","","","0","3272",""
"210000","0.0","","14.9","","","","","","","","0","3288",""
"419000","0.0","","17.2","","","","","","","","0","3282",""
"628000","0.0","","19.0","","","","","","","","0","3287",""
"838000","0.0","","21.3","","","","","","","","0","3283",""
"1250000","0.0","","25.4","","","","","","","","0","3285",""
"1518000","0.0","","28.0","","","","","","","","0","3283",""
"1728000","0.0","","30.3","","","","","","","","0","3284",""
"1936000","0.0","","32.2","","","","","","","","0","3283",""
"2146000","0.0","","34.4","","","0.0","","","","","0","3285",""
"2610000","0.0","","38.9","","","0.0","","","","","0","3283",""
"2819000","0.0","","40.8","","","0.0","","","","","0","3285",""
"3028000","0.0","","43.0","","","0.0","","","","","0","3284",""
"3237000","0.0","","45.3","","","0.0","","","","","0","3285",""
"3447000","0.0","","47.1","","","0.0","","","","","0","3285",""
"3913000","9.9367965","","52.0","","","0.99367965","","","","","3024900","3285",""
"4121000","9.9367965","","53.9","","","1.9873593","","","","","3024900","3285",""
"4331000","9.9398214","","56.1","","","2.98134144","","","","","3024900","3286",""
"4539000","9.9367965","","58.0","","","3.97502109","","","","","3024900","3285",""
"4748000","9.9367965","","60.2","","","4.96870074","","","","","3024900","3285",""
"5155000","9.9367965","","64.4","","","5.96238039","","","","","3024900","3285",""
"5422000","9.9367965","","67.0","","","6.95606004","","","","","3024900","3285",""
"5632000","9.9337716","","68.8","","","7.9494372","","","","","3024900","3284",""
"5840000","9.9367965","","71.1","","","8.94311685","","","","","3024900","3285",""
"6050000","9.9337716","","73.0","","","9.93649401","","","","","3024900","3284",""
"6515000","9.9367965","","77.8","","","9.93649401","","","","","3024900","3285",""
"6724000","9.9337716","","79.7","","","9.93619152","","","","","3024900","3284",""
"6934000","9.9367965","","82.0","","","9.93588903","","","","","3024900","3285",""
"7144000","9.9337716","","84.2","","","9.93558654","","","","","3024900","3284",""
"7353000","9.9367965","","86.1","","","9.93558654","","","","","3024900","3285",""
"7818000","9.9337716","","90.6","","","9.93528405","","","","","3024900","3284",""
"8027000","9.9367965","","92.8","","","9.93528405","","","","","3024900","3285",""
"8236000","9.9367965","","95.1","","","9.93558654","","","","","3024900","3285",""
"8446000","9.9367965","","96.9","","","9.93558654","","","","","3024900","3285",""
"8656000","9.9367965","","99.2","","","9.93588903","","","","","3024900","3285",""
"9121000","9.876024","","103.7","","","9.92981178","","","","","3006400","3285",""
"9331000","9.876024","","105.9","","","9.92403702","","","","","3006400","3285",""
"9540000","9.876024","","107.8","","","9.91795977","","","","","3006400","3285",""
"9749000","9.876024","","110.0","","","9.91218501","","","","","3006400","3285",""
"9958000","9.876024","","111.9","","","9.906107760000001","","","","","3006400","3285",""
"10423000","9.876024","","116.8","","","9.900333","","","","","3006400","3285",""
"10632000","9.876024","","118.6","","","9.894255750000001","","","","","3006400","3285",""
"10841000","9.876024","","120.9","","","9.8881785","","","","","3006400","3285",""
"11056000","9.876024","","123.1","","","9.882101250000002","","","","","3006400","3285",""
"11266000","9.876024","","125.0","","","9.876024000000001","","","","","3006400","3285",""
