Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.4","","","","","","","","0","3266",""
"209000","0.0","","8.5","","","","","","","","0","3283",""
"418000","0.0","","10.0","","","","","","","","0","3279",""
"627000","0.0","","11.1","","","","","","","","0","3283",""
"836000","0.0","","12.2","","","","","","","","0","3281",""
"1301000","0.0","","15.2","","","","","","","","0","3284",""
"1510000","0.0","","16.3","","","","","","","","0","3282",""
"1719000","0.0","","17.5","","","","","","","","0","3283",""
"1929000","0.0","","18.6","","","","","","","","0","3282",""
"2137000","0.0","","20.1","","","0.0","","","","","0","3283",""
"2602000","0.0","","22.7","","","0.0","","","","","0","3281",""
"2811000","0.0","","23.8","","","0.0","","","","","0","3283",""
"3020000","0.0","","25.3","","","0.0","","","","","0","3283",""
"3229000","0.0","","26.4","","","0.0","","","","","0","3283",""
"3438000","0.0","","27.5","","","0.0","","","","","0","3283",""
"3829000","0.0","","29.7","","","0.0","","","","","0","3284",""
"4105000","0.0","","31.6","","","0.0","","","","","0","3283",""
"4314000","0.0","","32.7","","","0.0","","","","","0","3284",""
"4524000","0.0","","33.8","","","0.0","","","","","0","3283",""
"4733000","0.0","","35.3","","","0.0","","","","","0","3284",""
"5140000","0.0","","37.6","","","0.0","","","","","0","3283",""
"5406000","0.0","","39.1","","","0.0","","","","","0","3284",""
"5616000","0.0","","40.5","","","0.0","","","","","0","3283",""
"5829000","0.0","","41.7","","","0.0","","","","","0","3284",""
"6038000","0.0","","42.8","","","0.0","","","","","0","3283",""
"6451000","0.0","","45.4","","","0.0","","","","","0","3283",""
"6718000","0.0","","46.9","","","0.0","","","","","0","3283",""
"6926000","0.0","","48.0","","","0.0","","","","","0","3283",""
"7136000","0.0","","49.1","","","0.0","","","","","0","3282",""
"7346000","5.8269967","","50.6","","","0.58269967","","","","","1774900","3283",""
"7810000","5.8252218","","53.2","","","1.16522185","","","","","1774900","3282",""
"8019000","5.8269967","","54.3","","","1.7479215199999998","","","","","1774900","3283",""
"8229000","5.8269967","","55.8","","","2.3306211899999996","","","","","1774900","3283",""
"8438000","5.8269967","","56.9","","","2.91332086","","","","","1774900","3283",""
"8648000","5.8269967","","58.0","","","3.49602053","","","","","1774900","3283",""
