Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.8","","","","","","","","0","3269",""
"209000","0.0","","8.9","","","","","","","","0","3280",""
"418000","0.0","","10.0","","","","","","","","0","3278",""
"628000","0.0","","11.5","","","","","","","","0","3284",""
"837000","0.0","","12.6","","","","","","","","0","3281",""
"1302000","0.0","","15.2","","","","","","","","0","3283",""
"1512000","0.0","","16.3","","","","","","","","0","3282",""
"1720000","0.0","","17.8","","","","","","","","0","3284",""
"1929000","0.0","","18.9","","","","","","","","0","3282",""
"2138000","0.0","","20.1","","","0.0","","","","","0","3283",""
"2603000","0.0","","23.0","","","0.0","","","","","0","3282",""
"2812000","0.0","","23.8","","","0.0","","","","","0","3284",""
"3022000","0.0","","24.9","","","0.0","","","","","0","3282",""
"3231000","0.0","","25.6","","","0.0","","","","","0","3284",""
"3441000","0.0","","26.8","","","0.0","","","","","0","3283",""
"3848000","0.0","","28.6","","","0.0","","","","","0","3284",""
"4115000","0.0","","29.7","","","0.0","","","","","0","3282",""
"4325000","0.0","","30.8","","","0.0","","","","","0","3283",""
"4535000","0.0","","31.6","","","0.0","","","","","0","3283",""
"4744000","0.0","","32.7","","","0.0","","","","","0","3283",""
"5208000","0.0","","34.6","","","0.0","","","","","0","3283",""
"5417000","0.0","","35.7","","","0.0","","","","","0","3283",""
"5626000","0.0","","36.4","","","0.0","","","","","0","3283",""
"5835000","0.0","","37.5","","","0.0","","","","","0","3283",""
"6044000","0.0","","38.3","","","0.0","","","","","0","3283",""
"6509000","0.0","","40.5","","","0.0","","","","","0","3283",""
"6718000","0.0","","41.2","","","0.0","","","","","0","3283",""
"6927000","0.0","","42.4","","","0.0","","","","","0","3283",""
"7136000","0.0","","43.1","","","0.0","","","","","0","3283",""
"7345000","0.0","","44.2","","","0.0","","","","","0","3283",""
"7753000","0.0","","46.1","","","0.0","","","","","0","3283",""
"8019000","0.0","","47.6","","","0.0","","","","","0","3283",""
"8229000","0.0","","49.1","","","0.0","","","","","0","3283",""
"8438000","5.0962009","","50.2","","","0.5096200900000001","","","","","1552300","3283",""
"8648000","5.0962009","","51.3","","","1.0192401800000002","","","","","1552300","3283",""
"9119000","5.0977532","","54.3","","","1.5290155","","","","","1552300","3284",""
"9329000","5.0962009","","55.4","","","2.03863559","","","","","1552300","3283",""
"9538000","5.0977532","","56.5","","","2.5484109100000003","","","","","1552300","3284",""
"9748000","5.0962009","","58.0","","","3.058031","","","","","1552300","3283",""
"9958000","5.0977532","","59.1","","","3.56780632","","","","","1552300","3284",""
"10347000","5.0962009","","61.4","","","4.077426409999999","","","","","1552300","3283",""
"10623000","5.0962009","","62.8","","","4.5870465","","","","","1552300","3283",""
"10833000","5.0962009","","64.0","","","5.09666659","","","","","1552300","3283",""
"11042000","5.0962009","","65.5","","","5.09666659","","","","","1552300","3283",""
"11251000","5.0962009","","66.6","","","5.09666659","","","","","1552300","3283",""
"11658000","5.0962009","","68.8","","","5.096511359999999","","","","","1552300","3283",""
"11924000","5.0962009","","70.3","","","5.096511359999999","","","","","1552300","3283",""
"12134000","5.0977532","","71.8","","","5.096511359999999","","","","","1552300","3284",""
"12343000","5.0962009","","72.9","","","5.096511359999999","","","","","1552300","3283",""
"12552000","5.0977532","","74.0","","","5.096511359999999","","","","","1552300","3284",""
"13018000","5.0977532","","77.0","","","5.09666659","","","","","1552300","3284",""
"13227000","5.0977532","","78.1","","","5.09682182","","","","","1552300","3284",""
