Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","7.8","","","","","","","","0","3269",""
"209000","0.0","","8.9","","","","","","","","0","3284",""
"484000","0.0","","10.8","","","","","","","","0","3279",""
"693000","0.0","","11.9","","","","","","","","0","3283",""
"903000","0.0","","13.0","","","","","","","","0","3282",""
"1368000","0.0","","16.0","","","","","","","","0","3285",""
"1576000","0.0","","17.1","","","","","","","","0","3283",""
"1785000","0.0","","18.2","","","","","","","","0","3284",""
"1995000","0.0","","19.3","","","","","","","","0","3283",""
"2204000","0.0","","20.8","","","0.0","","","","","0","3285",""
"2668000","0.0","","23.4","","","0.0","","","","","0","3283",""
"2877000","0.0","","24.5","","","0.0","","","","","0","3284",""
"3087000","0.0","","25.6","","","0.0","","","","","0","3283",""
"3297000","0.0","","27.1","","","0.0","","","","","0","3284",""
"3507000","0.0","","28.3","","","0.0","","","","","0","3283",""
"3972000","0.0","","30.9","","","0.0","","","","","0","3285",""
"4182000","0.0","","32.0","","","0.0","","","","","0","3284",""
"4390000","0.0","","33.5","","","0.0","","","","","0","3285",""
"4600000","0.0","","34.6","","","0.0","","","","","0","3284",""
"4808000","0.0","","35.7","","","0.0","","","","","0","3284",""
"5272000","0.0","","38.7","","","0.0","","","","","0","3284",""
"5481000","0.0","","39.8","","","0.0","","","","","0","3284",""
"5690000","0.0","","40.9","","","0.0","","","","","0","3284",""
"5899000","0.0","","42.0","","","0.0","","","","","0","3284",""
"6109000","0.0","","43.5","","","0.0","","","","","0","3284",""
"6521000","0.0","","45.8","","","0.0","","","","","0","3284",""
"6790000","0.0","","47.2","","","0.0","","","","","0","3284",""
"6998000","0.0","","48.7","","","0.0","","","","","0","3285",""
"7208000","0.0","","49.9","","","0.0","","","","","0","3284",""
"7416000","5.7857512","","51.0","","","0.57857512","","","","","1761800","3284",""
"7823000","5.7857512","","53.2","","","1.15715024","","","","","1761800","3284",""
"8089000","5.7857512","","55.1","","","1.73572536","","","","","1761800","3284",""
