Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","0.0","","16.1","","","","","","","","0","3271",""
"209000","0.0","","18.7","","","","","","","","0","3287",""
"419000","0.0","","21.3","","","","","","","","0","3281",""
"628000","0.0","","23.6","","","","","","","","0","3285",""
"837000","0.0","","26.2","","","","","","","","0","3283",""
"1303000","0.0","","31.8","","","","","","","","0","3285",""
"1512000","0.0","","34.1","","","","","","","","0","3283",""
"1721000","0.0","","36.7","","","","","","","","0","3286",""
"1930000","0.0","","39.3","","","","","","","","0","3284",""
"2146000","0.0","","41.5","","","0.0","","","","","0","3285",""
"2610000","0.0","","47.2","","","0.0","","","","","0","3284",""
"2819000","0.0","","49.8","","","0.0","","","","","0","3285",""
"3029000","11.9008876","","52.4","","","1.19008876","","","","","3623900","3284",""
"3237000","11.9045115","","54.7","","","2.3805399100000004","","","","","3623900","3285",""
"3446000","11.9008876","","57.3","","","3.5706286700000005","","","","","3623900","3284",""
"3911000","11.9045115","","62.9","","","4.761079820000001","","","","","3623900","3285",""
"4121000","11.9008876","","65.5","","","5.951168580000001","","","","","3623900","3284",""
"4330000","11.9045115","","67.8","","","7.14161973","","","","","3623900","3285",""
"4540000","11.9008876","","70.4","","","8.33170849","","","","","3623900","3284",""
"4749000","11.9045115","","72.7","","","9.522159640000002","","","","","3623900","3285",""
"5155000","11.9008876","","77.5","","","10.712248400000002","","","","","3623900","3284",""
"5422000","11.9045115","","80.5","","","11.902699550000001","","","","","3623900","3285",""
"5632000","11.9045115","","82.8","","","11.90306194","","","","","3623900","3285",""
"5841000","11.9081354","","85.0","","","11.90342433","","","","","3623900","3286",""
"6051000","11.9045115","","87.3","","","11.90378672","","","","","3623900","3285",""
"6515000","11.9081354","","92.5","","","11.904149109999999","","","","","3623900","3286",""
"6725000","11.9045115","","94.8","","","11.904511499999998","","","","","3623900","3285",""
"6934000","11.9081354","","97.0","","","11.904873889999998","","","","","3623900","3286",""
"7144000","11.9081354","","99.3","","","11.905598669999998","","","","","3623900","3286",""
"7353000","11.9081354","","101.5","","","11.905961059999997","","","","","3623900","3286",""
"7760000","11.2755804","","106.0","","","11.843430339999998","","","","","3431400","3286",""
"8028000","11.2755804","","109.0","","","11.780537229999997","","","","","3431400","3286",""
"8236000","11.2755804","","111.2","","","11.71764412","","","","","3431400","3286",""
"8446000","11.2755804","","113.5","","","11.654388619999999","","","","","3431400","3286",""
"8656000","11.2755804","","116.1","","","11.591495509999998","","","","","3431400","3286",""
"9120000","11.2790118","","121.0","","","11.52858315","","","","","3431400","3287",""
"9331000","11.2755804","","123.2","","","11.465690039999998","","","","","3431400","3286",""
"9540000","11.2790118","","125.5","","","11.402777679999998","","","","","3431400","3287",""
"9750000","11.2755804","","128.1","","","11.339522179999998","","","","","3431400","3286",""
"9959000","11.2755804","","130.3","","","11.276266679999996","","","","","3431400","3286",""
"10366000","11.2755804","","134.5","","","11.276266679999996","","","","","3431400","3286",""
"10632000","11.2755804","","137.1","","","11.276266679999996","","","","","3431400","3286",""
"10842000","11.2755804","","139.3","","","11.276266679999996","","","","","3431400","3286",""
"11051000","11.2755804","","141.2","","","11.276266679999996","","","","","3431400","3286",""
"11260000","11.2755804","","143.5","","","11.276266679999996","","","","","3431400","3286",""
"11668000","11.2755804","","147.2","","","11.275923539999997","","","","","3431400","3286",""
"11936000","11.2755804","","149.8","","","11.275923539999997","","","","","3431400","3286",""
"12151000","11.2755804","","152.1","","","11.275580399999996","","","","","3431400","3286",""
"12360000","11.2755804","","153.9","","","11.275580399999996","","","","","3431400","3286",""
"12570000","11.2755804","","155.8","","","11.275580399999996","","","","","3431400","3286",""
"12977000","10.2940522","","159.9","","","11.177427579999996","","","","","3132700","3286",""
"13244000","10.2940522","","162.5","","","11.079274759999995","","","","","3132700","3286",""
"13453000","10.2940522","","164.4","","","10.981121939999996","","","","","3132700","3286",""
"13663000","10.2940522","","166.7","","","10.882969119999995","","","","","3132700","3286",""
"13872000","10.2940522","","168.5","","","10.784816299999996","","","","","3132700","3286",""
"14336000","10.2940522","","173.0","","","10.686663479999996","","","","","3132700","3286",""
"14546000","10.2940522","","175.3","","","10.588510659999995","","","","","3132700","3286",""
